generation,ID,score,rawScores,ownScore,minimumScore,maximumScore,averageOfScores,sumOfScores
0,187,35.25,"34.000000,29.000000,21.000000,57.000000",35.25,21.0,57.0,35.25,141.0
100,10162,36.25,"31.000000,36.000000,27.000000,51.000000",36.25,27.0,51.0,36.25,145.0
200,20146,37.0,"42.000000,36.000000,35.000000,35.000000",37.0,35.0,42.0,37.0,148.0
300,30174,37.25,"39.000000,43.000000,27.000000,40.000000",37.25,27.0,43.0,37.25,149.0
400,40175,37.0,"40.000000,55.000000,28.000000,25.000000",37.0,25.0,55.0,37.0,148.0
500,50142,36.75,"35.000000,25.000000,49.000000,38.000000",36.75,25.0,49.0,36.75,147.0
600,60110,36.5,"45.000000,32.000000,45.000000,24.000000",36.5,24.0,45.0,36.5,146.0
700,70197,37.0,"31.000000,32.000000,37.000000,48.000000",37.0,31.0,48.0,37.0,148.0
800,80157,37.0,"42.000000,30.000000,49.000000,27.000000",37.0,27.0,49.0,37.0,148.0
900,90106,35.25,"32.000000,23.000000,27.000000,59.000000",35.25,23.0,59.0,35.25,141.0
1000,100175,36.5,"37.000000,33.000000,47.000000,29.000000",36.5,29.0,47.0,36.5,146.0
1100,110141,36.25,"44.000000,33.000000,29.000000,39.000000",36.25,29.0,44.0,36.25,145.0
1200,120143,36.0,"29.000000,38.000000,40.000000,37.000000",36.0,29.0,40.0,36.0,144.0
1300,130187,37.0,"36.000000,24.000000,39.000000,49.000000",37.0,24.0,49.0,37.0,148.0
1400,140198,36.5,"33.000000,54.000000,26.000000,33.000000",36.5,26.0,54.0,36.5,146.0
1500,150103,36.75,"37.000000,32.000000,38.000000,40.000000",36.75,32.0,40.0,36.75,147.0
1600,160145,37.25,"30.000000,31.000000,34.000000,54.000000",37.25,30.0,54.0,37.25,149.0
1700,170138,37.25,"38.000000,36.000000,36.000000,39.000000",37.25,36.0,39.0,37.25,149.0
1800,180111,35.75,"22.000000,40.000000,24.000000,57.000000",35.75,22.0,57.0,35.75,143.0
1900,190119,36.0,"35.000000,23.000000,48.000000,38.000000",36.0,23.0,48.0,36.0,144.0
2000,200124,37.0,"21.000000,36.000000,32.000000,59.000000",37.0,21.0,59.0,37.0,148.0
2100,210100,36.25,"35.000000,61.000000,21.000000,28.000000",36.25,21.0,61.0,36.25,145.0
2200,220168,35.5,"31.000000,38.000000,29.000000,44.000000",35.5,29.0,44.0,35.5,142.0
2300,230193,36.5,"39.000000,35.000000,27.000000,45.000000",36.5,27.0,45.0,36.5,146.0
2400,240191,36.5,"38.000000,44.000000,34.000000,30.000000",36.5,30.0,44.0,36.5,146.0
2500,250149,36.5,"53.000000,38.000000,25.000000,30.000000",36.5,25.0,53.0,36.5,146.0
2600,260136,37.0,"33.000000,31.000000,50.000000,34.000000",37.0,31.0,50.0,37.0,148.0
2700,270104,37.0,"29.000000,32.000000,48.000000,39.000000",37.0,29.0,48.0,37.0,148.0
2800,280154,35.25,"41.000000,34.000000,30.000000,36.000000",35.25,30.0,41.0,35.25,141.0
2900,290123,37.75,"34.000000,40.000000,38.000000,39.000000",37.75,34.0,40.0,37.75,151.0
3000,300149,36.0,"50.000000,25.000000,45.000000,24.000000",36.0,24.0,50.0,36.0,144.0
3100,310147,36.25,"33.000000,37.000000,42.000000,33.000000",36.25,33.0,42.0,36.25,145.0
3200,320179,37.0,"21.000000,49.000000,30.000000,48.000000",37.0,21.0,49.0,37.0,148.0
3300,330172,36.25,"34.000000,36.000000,38.000000,37.000000",36.25,34.0,38.0,36.25,145.0
3400,340167,36.0,"31.000000,47.000000,31.000000,35.000000",36.0,31.0,47.0,36.0,144.0
3500,350119,36.5,"31.000000,45.000000,27.000000,43.000000",36.5,27.0,45.0,36.5,146.0
3600,360155,36.75,"32.000000,42.000000,44.000000,29.000000",36.75,29.0,44.0,36.75,147.0
3700,370150,37.0,"46.000000,36.000000,40.000000,26.000000",37.0,26.0,46.0,37.0,148.0
3800,380155,36.0,"24.000000,30.000000,44.000000,46.000000",36.0,24.0,46.0,36.0,144.0
3900,390164,35.25,"17.000000,36.000000,37.000000,51.000000",35.25,17.0,51.0,35.25,141.0
4000,400100,38.25,"43.000000,22.000000,34.000000,54.000000",38.25,22.0,54.0,38.25,153.0
4100,410137,37.5,"31.000000,33.000000,54.000000,32.000000",37.5,31.0,54.0,37.5,150.0
4200,420171,36.0,"47.000000,27.000000,38.000000,32.000000",36.0,27.0,47.0,36.0,144.0
4300,430131,37.25,"41.000000,42.000000,38.000000,28.000000",37.25,28.0,42.0,37.25,149.0
4400,440174,36.25,"37.000000,46.000000,24.000000,38.000000",36.25,24.0,46.0,36.25,145.0
4500,450198,37.75,"40.000000,38.000000,40.000000,33.000000",37.75,33.0,40.0,37.75,151.0
4600,460110,36.25,"27.000000,47.000000,35.000000,36.000000",36.25,27.0,47.0,36.25,145.0
4700,470127,37.0,"36.000000,39.000000,32.000000,41.000000",37.0,32.0,41.0,37.0,148.0
4800,480189,37.0,"37.000000,38.000000,38.000000,35.000000",37.0,35.0,38.0,37.0,148.0
