generation,ID,score,rawScores,ownScore,minimumScore,maximumScore,averageOfScores,sumOfScores
0,125,59.0,"0.000000,55.000000,59.000000,0.000000",59.0,0.0,59.0,28.5,114.0
100,10138,53.0,"59.000000,53.000000,18.000000,22.000000",53.0,18.0,59.0,38.0,152.0
200,20170,77.0,"0.000000,77.000000,5.000000,47.000000",77.0,0.0,77.0,32.25,129.0
300,30120,32.0,"28.000000,48.000000,39.000000,32.000000",32.0,28.0,48.0,36.75,147.0
400,40199,44.0,"44.000000,28.000000,43.000000,30.000000",44.0,28.0,44.0,36.25,145.0
500,50113,34.0,"37.000000,37.000000,34.000000,41.000000",34.0,34.0,41.0,37.25,149.0
600,60132,42.0,"51.000000,22.000000,36.000000,42.000000",42.0,22.0,51.0,37.75,151.0
700,70184,32.0,"42.000000,30.000000,40.000000,32.000000",32.0,30.0,42.0,36.0,144.0
800,80145,41.0,"0.000000,48.000000,41.000000,53.000000",41.0,0.0,53.0,35.5,142.0
900,90154,59.0,"37.000000,59.000000,26.000000,17.000000",59.0,17.0,59.0,34.75,139.0
1000,100154,43.0,"17.000000,43.000000,52.000000,26.000000",43.0,17.0,52.0,34.5,138.0
1100,110153,31.0,"48.000000,38.000000,31.000000,22.000000",31.0,22.0,48.0,34.75,139.0
1200,120140,33.0,"23.000000,56.000000,34.000000,33.000000",33.0,23.0,56.0,36.5,146.0
1300,130155,33.0,"33.000000,38.000000,48.000000,22.000000",33.0,22.0,48.0,35.25,141.0
1400,140141,35.0,"0.000000,47.000000,35.000000,51.000000",35.0,0.0,51.0,33.25,133.0
1500,150193,58.0,"26.000000,32.000000,58.000000,27.000000",58.0,26.0,58.0,35.75,143.0
1600,160126,64.0,"47.000000,64.000000,0.000000,34.000000",64.0,0.0,64.0,36.25,145.0
1700,170171,35.0,"35.000000,34.000000,41.000000,34.000000",35.0,34.0,41.0,36.0,144.0
1800,180171,49.0,"49.000000,43.000000,30.000000,27.000000",49.0,27.0,49.0,37.25,149.0
1900,190191,37.0,"37.000000,37.000000,41.000000,34.000000",37.0,34.0,41.0,37.25,149.0
2000,200136,32.0,"33.000000,66.000000,25.000000,32.000000",32.0,25.0,66.0,39.0,156.0
2100,210176,41.0,"30.000000,21.000000,58.000000,41.000000",41.0,21.0,58.0,37.5,150.0
2200,220125,23.0,"50.000000,35.000000,23.000000,43.000000",23.0,23.0,50.0,37.75,151.0
2300,230191,67.0,"67.000000,25.000000,29.000000,23.000000",67.0,23.0,67.0,36.0,144.0
2400,240104,35.0,"45.000000,42.000000,25.000000,35.000000",35.0,25.0,45.0,36.75,147.0
2500,250168,38.0,"26.000000,38.000000,45.000000,38.000000",38.0,26.0,45.0,36.75,147.0
2600,260115,27.0,"27.000000,31.000000,49.000000,40.000000",27.0,27.0,49.0,36.75,147.0
2700,270143,41.0,"41.000000,33.000000,37.000000,34.000000",41.0,33.0,41.0,36.25,145.0
2800,280134,40.0,"36.000000,40.000000,19.000000,53.000000",40.0,19.0,53.0,37.0,148.0
2900,290103,44.0,"44.000000,34.000000,45.000000,25.000000",44.0,25.0,45.0,37.0,148.0
3000,300130,40.0,"32.000000,40.000000,51.000000,24.000000",40.0,24.0,51.0,36.75,147.0
3100,310183,39.0,"39.000000,36.000000,48.000000,28.000000",39.0,28.0,48.0,37.75,151.0
3200,320123,49.0,"49.000000,34.000000,20.000000,42.000000",49.0,20.0,49.0,36.25,145.0
3300,330102,34.0,"28.000000,34.000000,47.000000,36.000000",34.0,28.0,47.0,36.25,145.0
3400,340185,58.0,"21.000000,32.000000,58.000000,32.000000",58.0,21.0,58.0,35.75,143.0
3500,350108,59.0,"50.000000,38.000000,0.000000,59.000000",59.0,0.0,59.0,36.75,147.0
3600,360184,24.0,"39.000000,28.000000,56.000000,24.000000",24.0,24.0,56.0,36.75,147.0
3700,370119,47.0,"47.000000,20.000000,49.000000,31.000000",47.0,20.0,49.0,36.75,147.0
3800,380184,50.0,"42.000000,29.000000,29.000000,50.000000",50.0,29.0,50.0,37.5,150.0
3900,390180,35.0,"42.000000,30.000000,40.000000,35.000000",35.0,30.0,42.0,36.75,147.0
4000,400111,38.0,"38.000000,26.000000,53.000000,29.000000",38.0,26.0,53.0,36.5,146.0
4100,410110,32.0,"50.000000,32.000000,31.000000,35.000000",32.0,31.0,50.0,37.0,148.0
4200,420157,32.0,"37.000000,40.000000,32.000000,40.000000",32.0,32.0,40.0,37.25,149.0
4300,430138,59.0,"31.000000,59.000000,40.000000,17.000000",59.0,17.0,59.0,36.75,147.0
4400,440149,42.0,"53.000000,26.000000,42.000000,26.000000",42.0,26.0,53.0,36.75,147.0
4500,450109,36.0,"44.000000,39.000000,36.000000,31.000000",36.0,31.0,44.0,37.5,150.0
4600,460111,38.0,"38.000000,39.000000,47.000000,25.000000",38.0,25.0,47.0,37.25,149.0
4700,470188,69.0,"37.000000,0.000000,39.000000,69.000000",69.0,0.0,69.0,36.25,145.0
4800,480187,48.0,"48.000000,2.000000,51.000000,39.000000",48.0,2.0,51.0,35.0,140.0
