generation,ID,score,rawScores,ownScore,minimumScore,maximumScore,averageOfScores,sumOfScores
0,120,32.0,"32.000000,35.000000,41.000000,39.000000",32.0,32.0,41.0,36.75,147.0
100,10141,24.0,"34.000000,43.000000,24.000000,30.000000",24.0,24.0,43.0,32.75,131.0
200,20160,33.0,"34.000000,37.000000,42.000000,33.000000",33.0,33.0,42.0,36.5,146.0
300,30120,27.0,"27.000000,38.000000,45.000000,29.000000",27.0,27.0,45.0,34.75,139.0
400,40145,31.0,"36.000000,34.000000,40.000000,31.000000",31.0,31.0,40.0,35.25,141.0
500,50133,26.0,"26.000000,38.000000,39.000000,41.000000",26.0,26.0,41.0,36.0,144.0
600,60167,32.0,"32.000000,41.000000,38.000000,35.000000",32.0,32.0,41.0,36.5,146.0
700,70177,19.0,"37.000000,30.000000,19.000000,54.000000",19.0,19.0,54.0,35.0,140.0
800,80122,26.0,"40.000000,26.000000,35.000000,41.000000",26.0,26.0,41.0,35.5,142.0
900,90103,31.0,"40.000000,31.000000,38.000000,34.000000",31.0,31.0,40.0,35.75,143.0
1000,100177,35.0,"35.000000,38.000000,40.000000,38.000000",35.0,35.0,40.0,37.75,151.0
1100,110196,34.0,"37.000000,38.000000,41.000000,34.000000",34.0,34.0,41.0,37.5,150.0
1200,120119,36.0,"39.000000,37.000000,36.000000,36.000000",36.0,36.0,39.0,37.0,148.0
1300,130155,33.0,"37.000000,37.000000,39.000000,33.000000",33.0,33.0,39.0,36.5,146.0
1400,140102,33.0,"39.000000,41.000000,37.000000,33.000000",33.0,33.0,41.0,37.5,150.0
1500,150116,34.0,"39.000000,41.000000,36.000000,34.000000",34.0,34.0,41.0,37.5,150.0
1600,160116,34.0,"37.000000,34.000000,34.000000,36.000000",34.0,34.0,37.0,35.25,141.0
1700,170177,33.0,"36.000000,33.000000,36.000000,42.000000",33.0,33.0,42.0,36.75,147.0
1800,180167,33.0,"38.000000,33.000000,37.000000,42.000000",33.0,33.0,42.0,37.5,150.0
1900,190148,34.0,"34.000000,39.000000,35.000000,34.000000",34.0,34.0,39.0,35.5,142.0
2000,200152,32.0,"39.000000,32.000000,34.000000,41.000000",32.0,32.0,41.0,36.5,146.0
2100,210155,33.0,"39.000000,38.000000,37.000000,33.000000",33.0,33.0,39.0,36.75,147.0
2200,220105,37.0,"37.000000,37.000000,37.000000,39.000000",37.0,37.0,39.0,37.5,150.0
2300,230175,34.0,"34.000000,37.000000,40.000000,37.000000",34.0,34.0,40.0,37.0,148.0
2400,240190,33.0,"40.000000,33.000000,38.000000,37.000000",33.0,33.0,40.0,37.0,148.0
2500,250144,33.0,"37.000000,38.000000,33.000000,41.000000",33.0,33.0,41.0,37.25,149.0
2600,260182,30.0,"39.000000,30.000000,36.000000,35.000000",30.0,30.0,39.0,35.0,140.0
2700,270136,33.0,"36.000000,33.000000,37.000000,42.000000",33.0,33.0,42.0,37.0,148.0
2800,280160,32.0,"37.000000,38.000000,41.000000,32.000000",32.0,32.0,41.0,37.0,148.0
2900,290115,36.0,"37.000000,36.000000,38.000000,36.000000",36.0,36.0,38.0,36.75,147.0
3000,300184,36.0,"37.000000,38.000000,39.000000,36.000000",36.0,36.0,39.0,37.5,150.0
3100,310101,35.0,"37.000000,41.000000,35.000000,40.000000",35.0,35.0,41.0,38.25,153.0
3200,320179,35.0,"38.000000,35.000000,40.000000,36.000000",35.0,35.0,40.0,37.25,149.0
3300,330107,36.0,"36.000000,36.000000,40.000000,38.000000",36.0,36.0,40.0,37.5,150.0
3400,340159,34.0,"36.000000,35.000000,34.000000,34.000000",34.0,34.0,36.0,34.75,139.0
3500,350130,33.0,"39.000000,34.000000,38.000000,33.000000",33.0,33.0,39.0,36.0,144.0
3600,360139,36.0,"36.000000,37.000000,36.000000,38.000000",36.0,36.0,38.0,36.75,147.0
3700,370105,36.0,"36.000000,38.000000,36.000000,38.000000",36.0,36.0,38.0,37.0,148.0
3800,380124,30.0,"30.000000,34.000000,35.000000,37.000000",30.0,30.0,37.0,34.0,136.0
3900,390132,34.0,"36.000000,35.000000,37.000000,34.000000",34.0,34.0,37.0,35.5,142.0
4000,400140,35.0,"36.000000,36.000000,36.000000,35.000000",35.0,35.0,36.0,35.75,143.0
4100,410120,37.0,"38.000000,37.000000,41.000000,37.000000",37.0,37.0,41.0,38.25,153.0
4200,420100,32.0,"37.000000,32.000000,39.000000,37.000000",32.0,32.0,39.0,36.25,145.0
4300,430166,34.0,"35.000000,39.000000,34.000000,38.000000",34.0,34.0,39.0,36.5,146.0
4400,440141,33.0,"38.000000,39.000000,33.000000,35.000000",33.0,33.0,39.0,36.25,145.0
4500,450197,33.0,"38.000000,33.000000,34.000000,36.000000",33.0,33.0,38.0,35.25,141.0
4600,460111,37.0,"39.000000,37.000000,37.000000,37.000000",37.0,37.0,39.0,37.5,150.0
4700,470108,32.0,"32.000000,37.000000,43.000000,36.000000",32.0,32.0,43.0,37.0,148.0
4800,480116,34.0,"41.000000,35.000000,38.000000,34.000000",34.0,34.0,41.0,37.0,148.0
