t,x0,y0,d0,e0,a0,b0,x1,y1,d1,e1,a1,b1,x2,y2,d2,e2,a2,b2,x3,y3,d3,e3,a3,b3
0,1,2,2,0,3,0,13,1,3,1,3,0,14,13,0,1,3,0,1,14,2,0,2,0
1,1,3,2,1,3,0,12,1,3,1,3,0,14,13,1,1,2,0,1,14,3,0,2,0
2,1,4,2,2,3,0,12,1,0,1,2,0,14,13,1,1,3,0,1,14,3,0,3,0
3,1,4,3,2,2,0,12,1,0,1,3,0,14,13,1,1,3,0,1,14,0,0,2,0
4,1,4,0,2,2,0,12,1,0,1,3,0,14,13,2,1,2,0,1,13,0,1,3,0
5,1,3,0,2,3,0,12,1,0,1,3,0,14,14,2,1,3,0,1,13,1,1,2,0
6,1,3,1,2,2,0,12,1,0,1,3,0,14,14,2,1,3,0,1,13,2,1,2,0
7,2,3,1,3,3,0,12,1,0,1,3,0,14,14,2,1,3,0,1,14,2,1,3,0
8,2,3,2,3,2,0,12,1,1,1,2,0,14,14,3,1,2,0,1,14,2,1,3,0
9,2,4,2,4,3,0,13,1,1,1,3,0,13,14,3,1,3,0,1,14,2,1,3,0
10,2,5,2,4,3,0,13,1,2,1,2,0,12,14,3,1,3,0,1,14,2,1,3,0
11,2,6,2,5,3,0,13,2,2,2,3,0,12,14,0,1,2,0,1,14,3,1,2,0
12,2,7,2,6,3,0,13,2,3,2,2,0,12,13,0,2,3,0,1,14,3,1,3,0
13,2,8,2,7,3,0,12,2,3,3,3,0,12,13,1,2,2,0,1,14,3,1,3,0
14,2,9,2,8,3,0,11,2,3,4,3,0,12,13,2,2,2,0,1,14,0,1,2,0
15,2,9,3,8,2,0,10,2,3,4,3,0,12,14,2,2,3,0,1,13,0,1,3,0
16,1,9,3,9,3,0,9,2,3,5,3,0,12,14,3,2,2,0,1,12,0,1,3,0
17,1,9,3,9,3,0,8,2,3,5,3,0,11,14,3,2,3,0,1,11,0,2,3,0
18,1,9,0,9,2,0,7,2,3,6,3,0,10,14,3,3,3,0,1,11,1,2,2,0
19,1,8,0,10,3,0,6,2,3,7,3,0,10,14,0,3,2,0,2,11,1,3,3,0
20,1,7,0,11,3,0,5,2,3,8,3,0,10,13,0,4,3,0,3,11,1,4,3,0
21,1,6,0,12,3,0,4,2,3,9,3,0,10,12,0,4,3,0,4,11,1,5,3,0
22,1,6,1,12,2,0,3,2,3,10,3,0,10,11,0,5,3,0,5,11,1,6,3,0
23,2,6,1,12,3,0,3,2,0,10,2,0,10,11,1,5,2,0,5,11,2,6,2,0
24,3,6,1,13,3,0,3,1,0,11,3,0,11,11,1,6,3,0,5,12,2,7,3,0
25,4,6,1,14,3,0,3,1,0,11,3,0,12,11,1,7,3,0,5,13,2,8,3,0
26,4,6,2,14,2,0,3,1,0,11,3,0,12,11,2,7,2,0,5,14,2,8,3,0
27,4,7,2,15,3,0,3,1,0,11,3,0,12,12,2,7,3,0,5,14,2,8,3,0
28,4,8,2,16,3,0,3,1,0,11,3,0,12,13,2,7,3,0,5,14,3,8,2,0
29,4,9,2,17,3,0,3,1,1,11,2,0,12,14,2,7,3,0,4,14,3,9,3,0
30,4,10,2,17,3,0,3,1,2,11,2,0,12,14,2,7,3,0,3,14,3,10,3,0
31,4,11,2,17,3,0,3,1,3,11,2,0,12,14,2,7,3,0,3,14,0,10,2,0
32,4,12,2,18,3,0,2,1,3,12,3,0,12,14,3,7,2,0,3,13,0,11,3,0
33,4,13,2,19,3,0,1,1,3,12,3,0,11,14,3,7,3,0,3,13,1,11,2,0
34,4,14,2,19,3,0,1,1,3,12,3,0,10,14,3,7,3,0,3,13,1,11,3,0
35,4,14,2,19,3,0,1,1,3,12,3,0,9,14,3,8,3,0,4,13,1,11,3,0
36,4,14,2,19,3,0,1,1,3,12,3,0,8,14,3,9,3,0,5,13,1,11,3,0
37,4,14,3,19,2,0,1,1,0,12,2,0,7,14,3,10,3,0,6,13,1,11,3,0
38,4,14,0,19,2,0,1,1,0,12,3,0,6,14,3,11,3,0,6,13,2,11,2,0
39,4,13,0,19,3,0,1,1,0,12,3,0,6,14,0,11,2,0,6,13,3,11,2,0
