t,x0,y0,d0,e0,a0,b0,x1,y1,d1,e1,a1,b1,x2,y2,d2,e2,a2,b2,x3,y3,d3,e3,a3,b3
0,1,1,3,0,2,0,13,1,3,0,3,0,14,13,0,0,3,0,2,14,1,1,3,0
1,1,1,0,0,2,0,13,1,0,0,2,0,14,13,0,0,0,0,2,14,0,1,1,0
2,1,1,1,0,2,0,13,1,1,0,2,0,14,13,1,0,2,0,2,14,3,1,1,0
3,2,1,1,0,3,0,14,1,1,0,3,0,14,13,1,0,3,0,2,14,2,1,1,0
4,3,1,1,1,3,0,14,1,1,0,0,0,14,13,0,0,1,0,2,14,3,1,2,0
5,4,1,1,1,3,0,14,1,2,0,2,0,14,12,0,1,3,0,2,14,0,1,2,0
6,5,1,1,1,3,0,14,1,3,0,2,0,14,12,1,1,2,0,2,13,0,2,3,0
7,5,1,0,1,1,0,14,1,0,0,2,0,14,12,1,1,3,0,2,12,0,3,3,0
8,5,1,0,1,0,0,14,1,0,0,3,0,14,12,1,1,3,0,2,12,0,3,0,0
9,5,1,1,1,2,0,14,1,0,0,3,0,14,12,2,1,2,0,2,12,1,3,2,0
10,6,1,1,2,3,0,14,1,1,0,2,0,14,12,3,1,2,0,3,12,1,3,3,0
11,6,1,1,2,0,0,14,1,2,0,2,0,13,12,3,2,3,0,3,12,1,3,0,0
12,6,1,2,2,2,0,14,2,2,1,3,0,13,12,3,2,0,0,3,12,2,3,2,0
13,6,2,2,2,3,0,14,2,2,1,0,0,13,12,0,2,2,0,3,13,2,4,3,0
14,6,3,2,3,3,0,14,3,2,2,3,0,13,11,0,3,3,0,3,13,3,4,2,0
15,6,4,2,4,3,0,14,4,2,3,3,0,13,11,0,3,0,0,3,13,0,4,2,0
16,6,4,3,4,2,0,14,5,2,4,3,0,13,10,0,4,3,0,3,13,1,4,2,0
17,5,4,3,4,3,0,14,6,2,4,3,0,13,10,0,4,0,0,3,13,2,4,2,0
18,5,4,0,4,2,0,14,6,3,4,2,0,13,10,1,4,2,0,3,14,2,4,3,0
19,5,3,0,5,3,0,13,6,3,4,3,0,14,10,1,5,3,0,3,14,2,4,3,0
20,5,2,0,6,3,0,13,6,2,4,1,0,14,10,1,5,0,0,3,14,2,4,0,0
21,5,1,0,6,3,0,13,6,2,4,0,0,14,10,2,5,2,0,3,14,3,4,2,0
22,5,1,3,6,1,0,13,7,2,5,3,0,14,11,2,5,3,0,3,14,0,4,2,0
23,5,1,3,6,0,0,13,7,1,5,1,0,14,12,2,5,3,0,3,13,0,4,3,0
24,4,1,3,6,3,0,13,7,1,5,0,0,14,13,2,5,3,0,3,13,1,4,2,0
25,3,1,3,6,3,0,13,7,2,5,2,0,14,14,2,5,3,0,3,13,2,4,2,0
26,3,1,3,6,0,0,13,8,2,6,3,0,14,14,3,5,2,0,3,13,3,4,2,0
