t,x0,y0,d0,e0,a0,b0,x1,y1,d1,e1,a1,b1,x2,y2,d2,e2,a2,b2,x3,y3,d3,e3,a3,b3
0,1,2,2,1,3,1,14,1,2,0,1,1,14,14,3,0,1,1,1,14,0,0,1,1
1,1,3,2,2,3,1,14,1,1,0,1,1,14,14,2,0,1,1,1,14,3,0,1,1
2,1,4,2,3,3,1,14,1,1,0,3,1,14,14,2,0,3,1,1,14,2,0,1,1
3,1,5,2,4,3,1,14,1,1,0,3,1,14,14,1,0,1,1,1,14,2,0,3,1
4,1,5,1,4,1,1,14,1,0,0,1,1,14,14,0,0,1,1,1,14,2,0,3,1
5,2,5,1,5,3,1,14,1,0,0,3,1,14,14,3,0,1,1,1,14,1,0,1,1
6,2,5,0,5,1,1,14,1,3,0,1,1,14,14,2,0,1,1,1,14,0,0,1,1
7,2,4,0,6,3,1,14,1,2,0,1,1,14,14,1,0,1,1,1,14,3,0,1,1
8,2,4,3,6,1,1,14,1,1,0,1,1,14,14,1,0,3,1,1,14,2,0,1,1
9,1,4,3,6,3,1,14,1,1,0,3,1,14,14,0,0,1,1,1,14,1,0,1,1
10,1,4,3,6,3,1,14,1,1,0,3,1,14,14,3,0,1,1,1,14,0,0,1,1
11,1,4,2,6,1,1,14,1,0,0,1,1,14,14,2,0,1,1,1,13,0,1,3,1
12,1,5,2,6,3,1,14,1,0,0,3,1,14,14,1,0,1,1,1,13,3,1,1,1
13,1,6,2,7,3,1,14,1,3,0,1,1,14,14,1,0,3,1,1,13,2,1,1,1
14,1,6,1,7,1,1,13,1,3,1,3,1,14,14,0,0,1,1,1,13,1,1,1,1
15,2,6,1,8,3,1,13,1,2,1,1,1,14,13,0,1,3,1,2,13,1,1,3,1
16,3,6,1,9,3,1,13,1,1,1,1,1,14,12,0,1,3,1,2,13,0,1,1,1
17,3,6,0,9,1,1,14,1,1,1,3,1,14,12,3,1,1,1,2,13,3,1,1,1
18,3,6,3,9,1,1,14,1,0,1,1,1,14,12,2,1,1,1,1,13,3,1,3,1
19,2,6,3,9,3,1,14,1,0,1,3,1,14,12,1,1,1,1,1,13,2,1,1,1
20,1,6,3,9,3,1,14,1,3,1,1,1,14,12,0,1,1,1,1,13,1,1,1,1
21,1,6,3,9,3,1,14,1,2,1,1,1,14,12,3,1,1,1,2,13,1,1,3,1
22,1,6,3,9,3,1,14,1,1,1,1,1,13,12,3,2,3,1,2,13,0,1,1,1
23,1,6,2,9,1,1,14,1,0,1,1,1,12,12,3,3,3,1,2,13,3,1,1,1
24,1,6,1,9,1,1,14,1,0,1,3,1,11,12,3,3,3,1,1,13,3,1,3,1
25,2,6,1,9,3,1,14,1,3,1,1,1,11,12,2,3,1,1,1,13,3,1,3,1
26,3,6,1,9,3,1,14,1,2,1,1,1,11,13,2,4,3,1,1,13,2,1,1,1
27,4,6,1,10,3,1,14,1,1,1,1,1,11,13,1,4,1,1,1,14,2,1,3,1
28,5,6,1,11,3,1,14,1,1,1,3,1,11,13,0,4,1,1,1,14,1,1,1,1
29,6,6,1,11,3,1,14,1,1,1,3,1,11,12,0,4,3,1,1,14,0,1,1,1
30,7,6,1,12,3,1,14,1,0,1,1,1,11,11,0,4,3,1,1,13,0,1,3,1
31,7,6,0,12,1,1,14,1,3,1,1,1,11,10,0,5,3,1,1,13,3,1,1,1
32,7,5,0,12,3,1,14,1,2,1,1,1,11,9,0,6,3,1,1,13,2,1,1,1
