generation,ID,score,rawScores,ownScore,minimumScore,maximumScore,averageOfScores,sumOfScores
0,113,38.0,"37.000000,40.000000,35.000000,40.000000",38.0,35.0,40.0,38.0,152.0
100,10131,35.5,"20.000000,29.000000,44.000000,49.000000",35.5,20.0,49.0,35.5,142.0
200,20114,37.0,"31.000000,40.000000,34.000000,43.000000",37.0,31.0,43.0,37.0,148.0
300,30170,35.5,"48.000000,30.000000,24.000000,40.000000",35.5,24.0,48.0,35.5,142.0
400,40103,36.5,"43.000000,44.000000,31.000000,28.000000",36.5,28.0,44.0,36.5,146.0
500,50145,37.25,"40.000000,34.000000,36.000000,39.000000",37.25,34.0,40.0,37.25,149.0
600,60137,37.25,"32.000000,44.000000,34.000000,39.000000",37.25,32.0,44.0,37.25,149.0
700,70172,36.25,"33.000000,29.000000,40.000000,43.000000",36.25,29.0,43.0,36.25,145.0
800,80106,37.75,"36.000000,48.000000,40.000000,27.000000",37.75,27.0,48.0,37.75,151.0
900,90111,35.25,"45.000000,30.000000,30.000000,36.000000",35.25,30.0,45.0,35.25,141.0
1000,100101,37.25,"36.000000,43.000000,24.000000,46.000000",37.25,24.0,46.0,37.25,149.0
1100,110123,36.0,"49.000000,45.000000,30.000000,20.000000",36.0,20.0,49.0,36.0,144.0
1200,120192,36.5,"30.000000,41.000000,42.000000,33.000000",36.5,30.0,42.0,36.5,146.0
1300,130120,37.25,"48.000000,36.000000,47.000000,18.000000",37.25,18.0,48.0,37.25,149.0
1400,140130,37.0,"34.000000,41.000000,36.000000,37.000000",37.0,34.0,41.0,37.0,148.0
1500,150163,36.75,"30.000000,39.000000,35.000000,43.000000",36.75,30.0,43.0,36.75,147.0
1600,160185,37.0,"37.000000,31.000000,42.000000,38.000000",37.0,31.0,42.0,37.0,148.0
1700,170174,36.5,"45.000000,26.000000,44.000000,31.000000",36.5,26.0,45.0,36.5,146.0
1800,180105,36.25,"29.000000,34.000000,45.000000,37.000000",36.25,29.0,45.0,36.25,145.0
1900,190179,36.5,"40.000000,39.000000,32.000000,35.000000",36.5,32.0,40.0,36.5,146.0
2000,200192,38.0,"35.000000,31.000000,46.000000,40.000000",38.0,31.0,46.0,38.0,152.0
2100,210188,35.5,"26.000000,26.000000,56.000000,34.000000",35.5,26.0,56.0,35.5,142.0
2200,220151,37.25,"52.000000,19.000000,59.000000,19.000000",37.25,19.0,59.0,37.25,149.0
2300,230137,36.5,"39.000000,43.000000,36.000000,28.000000",36.5,28.0,43.0,36.5,146.0
2400,240125,37.0,"59.000000,34.000000,28.000000,27.000000",37.0,27.0,59.0,37.0,148.0
2500,250199,34.75,"46.000000,46.000000,18.000000,29.000000",34.75,18.0,46.0,34.75,139.0
2600,260101,36.5,"37.000000,23.000000,45.000000,41.000000",36.5,23.0,45.0,36.5,146.0
2700,270187,36.5,"35.000000,27.000000,42.000000,42.000000",36.5,27.0,42.0,36.5,146.0
2800,280164,37.5,"27.000000,57.000000,38.000000,28.000000",37.5,27.0,57.0,37.5,150.0
2900,290190,36.5,"35.000000,44.000000,39.000000,28.000000",36.5,28.0,44.0,36.5,146.0
3000,300126,37.25,"26.000000,55.000000,47.000000,21.000000",37.25,21.0,55.0,37.25,149.0
3100,310158,36.75,"25.000000,50.000000,39.000000,33.000000",36.75,25.0,50.0,36.75,147.0
3200,320182,36.25,"39.000000,47.000000,36.000000,23.000000",36.25,23.0,47.0,36.25,145.0
3300,330110,37.0,"21.000000,31.000000,41.000000,55.000000",37.0,21.0,55.0,37.0,148.0
3400,340195,37.0,"26.000000,39.000000,34.000000,49.000000",37.0,26.0,49.0,37.0,148.0
3500,350198,36.25,"38.000000,31.000000,44.000000,32.000000",36.25,31.0,44.0,36.25,145.0
3600,360122,37.0,"32.000000,42.000000,26.000000,48.000000",37.0,26.0,48.0,37.0,148.0
3700,370187,36.25,"17.000000,54.000000,45.000000,29.000000",36.25,17.0,54.0,36.25,145.0
3800,380166,36.75,"29.000000,39.000000,25.000000,54.000000",36.75,25.0,54.0,36.75,147.0
3900,390122,36.5,"43.000000,26.000000,40.000000,37.000000",36.5,26.0,43.0,36.5,146.0
4000,400138,37.0,"22.000000,46.000000,41.000000,39.000000",37.0,22.0,46.0,37.0,148.0
4100,410167,37.5,"56.000000,23.000000,32.000000,39.000000",37.5,23.0,56.0,37.5,150.0
4200,420106,37.0,"20.000000,48.000000,36.000000,44.000000",37.0,20.0,48.0,37.0,148.0
4300,430131,36.75,"25.000000,54.000000,34.000000,34.000000",36.75,25.0,54.0,36.75,147.0
4400,440194,36.5,"25.000000,40.000000,45.000000,36.000000",36.5,25.0,45.0,36.5,146.0
4500,450162,36.75,"38.000000,25.000000,24.000000,60.000000",36.75,24.0,60.0,36.75,147.0
4600,460156,37.5,"48.000000,40.000000,37.000000,25.000000",37.5,25.0,48.0,37.5,150.0
4700,470165,36.0,"48.000000,27.000000,37.000000,32.000000",36.0,27.0,48.0,36.0,144.0
4800,470165,36.0,"48.000000,27.000000,37.000000,32.000000",36.0,27.0,48.0,36.0,144.0
