generation,ID,score,rawScores,ownScore,minimumScore,maximumScore,averageOfScores,sumOfScores
0,132,71.0,"46.000000,0.000000,4.000000,71.000000",71.0,0.0,71.0,30.25,121.0
100,10128,107.0,"0.000000,0.000000,0.000000,107.000000",107.0,0.0,107.0,26.75,107.0
200,20122,75.0,"0.000000,75.000000,58.000000,0.000000",75.0,0.0,75.0,33.25,133.0
300,30127,80.0,"0.000000,0.000000,80.000000,63.000000",0.0,0.0,80.0,35.75,143.0
400,40112,87.0,"0.000000,38.000000,0.000000,87.000000",87.0,0.0,87.0,31.25,125.0
500,50178,40.0,"40.000000,38.000000,0.000000,0.000000",38.0,0.0,40.0,19.5,78.0
600,60181,61.0,"28.000000,0.000000,61.000000,46.000000",61.0,0.0,61.0,33.75,135.0
700,70176,83.0,"83.000000,0.000000,0.000000,33.000000",33.0,0.0,83.0,29.0,116.0
800,80116,53.0,"51.000000,53.000000,0.000000,45.000000",45.0,0.0,53.0,37.25,149.0
900,90150,49.0,"49.000000,49.000000,18.000000,31.000000",49.0,18.0,49.0,36.75,147.0
1000,100114,79.0,"0.000000,79.000000,2.000000,0.000000",79.0,0.0,79.0,20.25,81.0
1100,110183,61.0,"60.000000,61.000000,0.000000,0.000000",60.0,0.0,61.0,30.25,121.0
1200,120152,69.0,"0.000000,0.000000,69.000000,46.000000",46.0,0.0,69.0,28.75,115.0
1300,130164,66.0,"39.000000,0.000000,33.000000,66.000000",66.0,0.0,66.0,34.5,138.0
1400,140136,89.0,"36.000000,0.000000,0.000000,89.000000",89.0,0.0,89.0,31.25,125.0
1500,150160,107.0,"0.000000,0.000000,0.000000,107.000000",107.0,0.0,107.0,26.75,107.0
1600,160125,104.0,"0.000000,0.000000,104.000000,0.000000",104.0,0.0,104.0,26.0,104.0
1700,170133,47.0,"27.000000,47.000000,41.000000,32.000000",41.0,27.0,47.0,36.75,147.0
1800,180101,75.0,"75.000000,0.000000,70.000000,0.000000",70.0,0.0,75.0,36.25,145.0
1900,190162,59.0,"47.000000,36.000000,59.000000,0.000000",36.0,0.0,59.0,35.5,142.0
2000,200153,58.0,"43.000000,0.000000,35.000000,58.000000",35.0,0.0,58.0,34.0,136.0
2100,210130,117.0,"0.000000,117.000000,9.000000,0.000000",117.0,0.0,117.0,31.5,126.0
2200,220111,103.0,"103.000000,0.000000,0.000000,19.000000",103.0,0.0,103.0,30.5,122.0
2300,230139,71.0,"71.000000,0.000000,47.000000,0.000000",71.0,0.0,71.0,29.5,118.0
2400,240153,71.0,"0.000000,30.000000,71.000000,36.000000",71.0,0.0,71.0,34.25,137.0
2500,250192,67.0,"67.000000,0.000000,0.000000,66.000000",66.0,0.0,67.0,33.25,133.0
2600,260187,63.0,"32.000000,63.000000,50.000000,0.000000",32.0,0.0,63.0,36.25,145.0
2700,270138,55.0,"52.000000,55.000000,28.000000,0.000000",55.0,0.0,55.0,33.75,135.0
2800,280101,52.0,"46.000000,52.000000,40.000000,0.000000",40.0,0.0,52.0,34.5,138.0
2900,290128,90.0,"0.000000,0.000000,0.000000,90.000000",90.0,0.0,90.0,22.5,90.0
3000,300165,65.0,"65.000000,0.000000,55.000000,26.000000",55.0,0.0,65.0,36.5,146.0
3100,310171,109.0,"109.000000,0.000000,0.000000,0.000000",109.0,0.0,109.0,27.25,109.0
3200,320168,65.0,"0.000000,40.000000,21.000000,65.000000",65.0,0.0,65.0,31.5,126.0
3300,330138,102.0,"0.000000,102.000000,0.000000,0.000000",102.0,0.0,102.0,25.5,102.0
3400,340188,49.0,"49.000000,0.000000,45.000000,38.000000",38.0,0.0,49.0,33.0,132.0
3500,350164,59.0,"44.000000,0.000000,59.000000,44.000000",44.0,0.0,59.0,36.75,147.0
3600,360137,104.0,"0.000000,0.000000,104.000000,0.000000",104.0,0.0,104.0,26.0,104.0
3700,370149,77.0,"0.000000,69.000000,77.000000,0.000000",77.0,0.0,77.0,36.5,146.0
3800,380119,73.0,"0.000000,73.000000,0.000000,72.000000",0.0,0.0,73.0,36.25,145.0
3900,390180,56.0,"26.000000,26.000000,32.000000,56.000000",56.0,26.0,56.0,35.0,140.0
4000,400101,112.0,"0.000000,0.000000,112.000000,0.000000",112.0,0.0,112.0,28.0,112.0
4100,410164,102.0,"0.000000,0.000000,0.000000,102.000000",102.0,0.0,102.0,25.5,102.0
4200,420117,115.0,"0.000000,0.000000,115.000000,0.000000",115.0,0.0,115.0,28.75,115.0
4300,430104,103.0,"0.000000,0.000000,0.000000,103.000000",103.0,0.0,103.0,25.75,103.0
4400,440173,75.0,"0.000000,24.000000,75.000000,34.000000",75.0,0.0,75.0,33.25,133.0
4500,450102,55.0,"44.000000,55.000000,0.000000,47.000000",55.0,0.0,55.0,36.5,146.0
4600,460181,66.0,"66.000000,0.000000,27.000000,55.000000",27.0,0.0,66.0,37.0,148.0
4700,470174,90.0,"0.000000,90.000000,7.000000,8.000000",90.0,0.0,90.0,26.25,105.0
4800,470174,90.0,"0.000000,90.000000,7.000000,8.000000",90.0,0.0,90.0,26.25,105.0
