generation,ID,score,rawScores,ownScore,minimumScore,maximumScore,averageOfScores,sumOfScores
0,137,25.0,"25.000000,42.000000,40.000000,43.000000",25.0,25.0,43.0,37.5,150.0
100,10162,19.0,"43.000000,19.000000,26.000000,61.000000",19.0,19.0,61.0,37.25,149.0
200,20137,28.0,"50.000000,30.000000,28.000000,38.000000",28.0,28.0,50.0,36.5,146.0
300,30159,29.0,"35.000000,29.000000,40.000000,38.000000",29.0,29.0,40.0,35.5,142.0
400,40134,23.0,"23.000000,39.000000,56.000000,28.000000",23.0,23.0,56.0,36.5,146.0
500,50144,28.0,"47.000000,37.000000,35.000000,28.000000",28.0,28.0,47.0,36.75,147.0
600,60198,19.0,"19.000000,45.000000,48.000000,35.000000",19.0,19.0,48.0,36.75,147.0
700,70180,26.0,"26.000000,28.000000,55.000000,37.000000",26.0,26.0,55.0,36.5,146.0
800,80171,27.0,"48.000000,42.000000,27.000000,31.000000",27.0,27.0,48.0,37.0,148.0
900,90151,27.0,"27.000000,45.000000,44.000000,27.000000",27.0,27.0,45.0,35.75,143.0
1000,100165,22.0,"54.000000,36.000000,22.000000,33.000000",22.0,22.0,54.0,36.25,145.0
1100,110176,23.0,"36.000000,41.000000,40.000000,23.000000",23.0,23.0,41.0,35.0,140.0
1200,120123,23.0,"23.000000,40.000000,56.000000,31.000000",23.0,23.0,56.0,37.5,150.0
1300,130112,22.0,"52.000000,35.000000,22.000000,40.000000",22.0,22.0,52.0,37.25,149.0
1400,140158,27.0,"27.000000,46.000000,32.000000,47.000000",27.0,27.0,47.0,38.0,152.0
1500,150124,22.0,"32.000000,44.000000,47.000000,22.000000",22.0,22.0,47.0,36.25,145.0
1600,160168,27.0,"31.000000,27.000000,46.000000,43.000000",27.0,27.0,46.0,36.75,147.0
1700,170184,21.0,"21.000000,38.000000,46.000000,45.000000",21.0,21.0,46.0,37.5,150.0
1800,180132,35.0,"36.000000,36.000000,38.000000,35.000000",35.0,35.0,38.0,36.25,145.0
1900,190134,28.0,"31.000000,28.000000,39.000000,50.000000",28.0,28.0,50.0,37.0,148.0
2000,200169,27.0,"31.000000,27.000000,46.000000,41.000000",27.0,27.0,46.0,36.25,145.0
2100,210146,27.0,"37.000000,31.000000,27.000000,54.000000",27.0,27.0,54.0,37.25,149.0
2200,220145,33.0,"39.000000,35.000000,40.000000,33.000000",33.0,33.0,40.0,36.75,147.0
2300,230113,27.0,"31.000000,27.000000,52.000000,37.000000",27.0,27.0,52.0,36.75,147.0
2400,240116,33.0,"40.000000,35.000000,33.000000,41.000000",33.0,33.0,41.0,37.25,149.0
2500,250153,30.0,"36.000000,38.000000,30.000000,44.000000",30.0,30.0,44.0,37.0,148.0
2600,260116,29.0,"33.000000,46.000000,31.000000,29.000000",29.0,29.0,46.0,34.75,139.0
2700,270185,29.0,"44.000000,35.000000,29.000000,38.000000",29.0,29.0,44.0,36.5,146.0
2800,280152,25.0,"34.000000,53.000000,25.000000,28.000000",25.0,25.0,53.0,35.0,140.0
2900,290171,20.0,"36.000000,20.000000,40.000000,48.000000",20.0,20.0,48.0,36.0,144.0
3000,300130,26.0,"40.000000,33.000000,26.000000,48.000000",26.0,26.0,48.0,36.75,147.0
3100,310112,29.0,"32.000000,43.000000,42.000000,29.000000",29.0,29.0,43.0,36.5,146.0
3200,320121,21.0,"35.000000,38.000000,50.000000,21.000000",21.0,21.0,50.0,36.0,144.0
3300,330124,33.0,"36.000000,33.000000,38.000000,37.000000",33.0,33.0,38.0,36.0,144.0
3400,340171,29.0,"37.000000,29.000000,36.000000,37.000000",29.0,29.0,37.0,34.75,139.0
3500,350162,29.0,"29.000000,33.000000,42.000000,32.000000",29.0,29.0,42.0,34.0,136.0
3600,360155,26.0,"26.000000,33.000000,47.000000,36.000000",26.0,26.0,47.0,35.5,142.0
3700,370143,23.0,"23.000000,33.000000,35.000000,58.000000",23.0,23.0,58.0,37.25,149.0
3800,380178,31.0,"35.000000,37.000000,45.000000,31.000000",31.0,31.0,45.0,37.0,148.0
3900,390125,29.0,"42.000000,40.000000,29.000000,38.000000",29.0,29.0,42.0,37.25,149.0
4000,400161,30.0,"43.000000,39.000000,30.000000,38.000000",30.0,30.0,43.0,37.5,150.0
4100,410146,22.0,"56.000000,31.000000,22.000000,36.000000",22.0,22.0,56.0,36.25,145.0
4200,420118,24.0,"31.000000,24.000000,35.000000,52.000000",24.0,24.0,52.0,35.5,142.0
4300,430107,31.0,"31.000000,38.000000,37.000000,36.000000",31.0,31.0,38.0,35.5,142.0
4400,440125,26.0,"26.000000,48.000000,47.000000,29.000000",26.0,26.0,48.0,37.5,150.0
4500,450193,24.0,"44.000000,24.000000,42.000000,38.000000",24.0,24.0,44.0,37.0,148.0
4600,460131,21.0,"47.000000,21.000000,34.000000,47.000000",21.0,21.0,47.0,37.25,149.0
4700,470147,22.0,"45.000000,27.000000,47.000000,22.000000",22.0,22.0,47.0,35.25,141.0
4800,470147,22.0,"45.000000,27.000000,47.000000,22.000000",22.0,22.0,47.0,35.25,141.0
