replicate,m0,m1,m2,m3,b0,b1,b2,b3,mMinimumScore,bMinimumScore,mMaximumScore,bMaximumScore,mAverageOfScores,bAverageOfScores,mSumOfScores,bSumOfScores
0,10,10,11,6,34,41,33,34,6,33,11,41,9.25,35.5,37,142
1,10,10,11,6,39,37,34,33,6,33,11,39,9.25,35.75,37,143
2,10,10,11,6,41,38,32,36,6,32,11,41,9.25,36.75,37,147
3,10,10,11,6,34,38,38,33,6,33,11,38,9.25,35.75,37,143
4,10,10,11,6,36,38,36,31,6,31,11,38,9.25,35.25,37,141
5,10,10,11,6,38,38,35,33,6,33,11,38,9.25,36.0,37,144
6,10,10,11,6,36,34,39,35,6,34,11,39,9.25,36.0,37,144
7,10,10,11,6,38,33,33,38,6,33,11,38,9.25,35.5,37,142
8,10,10,11,6,40,32,36,40,6,32,11,40,9.25,37.0,37,148
9,10,10,11,6,36,31,31,34,6,31,11,36,9.25,33.0,37,132
10,10,10,11,6,34,36,41,30,6,30,11,41,9.25,35.25,37,141
11,10,10,11,6,40,38,35,36,6,35,11,40,9.25,37.25,37,149
12,10,10,11,6,39,35,32,34,6,32,11,39,9.25,35.0,37,140
13,10,10,11,6,39,39,36,29,6,29,11,39,9.25,35.75,37,143
14,10,10,11,6,36,36,34,37,6,34,11,37,9.25,35.75,37,143
15,10,10,11,6,38,39,39,31,6,31,11,39,9.25,36.75,37,147
16,10,10,11,6,40,38,34,31,6,31,11,40,9.25,35.75,37,143
17,10,10,11,6,37,36,31,36,6,31,11,37,9.25,35.0,37,140
18,10,10,11,6,41,40,37,31,6,31,11,41,9.25,37.25,37,149
19,10,10,11,6,39,38,33,32,6,32,11,39,9.25,35.5,37,142
20,10,10,11,6,36,36,30,35,6,30,11,36,9.25,34.25,37,137
21,10,10,11,6,32,38,39,37,6,32,11,39,9.25,36.5,37,146
22,10,10,11,6,32,38,37,39,6,32,11,39,9.25,36.5,37,146
23,10,10,11,6,40,38,34,34,6,34,11,40,9.25,36.5,37,146
24,10,10,11,6,38,36,37,29,6,29,11,38,9.25,35.0,37,140
25,10,10,11,6,42,36,31,40,6,31,11,42,9.25,37.25,37,149
26,10,10,11,6,38,36,33,38,6,33,11,38,9.25,36.25,37,145
27,10,10,11,6,38,34,39,32,6,32,11,39,9.25,35.75,37,143
28,10,10,11,6,43,32,39,35,6,32,11,43,9.25,37.25,37,149
29,10,10,11,6,34,36,29,35,6,29,11,36,9.25,33.5,37,134
30,10,10,11,6,38,34,38,37,6,34,11,38,9.25,36.75,37,147
31,10,10,11,6,38,37,30,40,6,30,11,40,9.25,36.25,37,145
32,10,10,11,6,34,39,35,34,6,34,11,39,9.25,35.5,37,142
33,10,10,11,6,35,36,38,32,6,32,11,38,9.25,35.25,37,141
34,10,10,11,6,40,37,35,37,6,35,11,40,9.25,37.25,37,149
35,10,10,11,6,41,38,35,35,6,35,11,41,9.25,37.25,37,149
36,10,10,11,6,35,36,29,35,6,29,11,36,9.25,33.75,37,135
37,10,10,11,6,37,38,38,36,6,36,11,38,9.25,37.25,37,149
38,10,10,11,6,39,33,33,40,6,33,11,40,9.25,36.25,37,145
39,10,10,11,6,36,38,34,33,6,33,11,38,9.25,35.25,37,141
40,10,10,11,6,39,34,31,37,6,31,11,39,9.25,35.25,37,141
41,10,10,11,6,36,39,30,38,6,30,11,39,9.25,35.75,37,143
42,10,10,11,6,38,33,38,32,6,32,11,38,9.25,35.25,37,141
43,10,10,11,6,36,41,39,33,6,33,11,41,9.25,37.25,37,149
44,10,10,11,6,37,38,32,31,6,31,11,38,9.25,34.5,37,138
45,10,10,11,6,38,39,34,34,6,34,11,39,9.25,36.25,37,145
46,10,10,11,6,40,37,33,36,6,33,11,40,9.25,36.5,37,146
47,10,10,11,6,42,36,34,37,6,34,11,42,9.25,37.25,37,149
48,10,10,11,6,38,39,34,32,6,32,11,39,9.25,35.75,37,143
49,10,10,11,6,38,38,35,38,6,35,11,38,9.25,37.25,37,149
50,10,10,11,6,41,37,33,35,6,33,11,41,9.25,36.5,37,146
51,10,10,11,6,37,39,34,36,6,34,11,39,9.25,36.5,37,146
52,10,10,11,6,36,33,35,38,6,33,11,38,9.25,35.5,37,142
53,10,10,11,6,35,39,32,37,6,32,11,39,9.25,35.75,37,143
54,10,10,11,6,37,35,36,37,6,35,11,37,9.25,36.25,37,145
55,10,10,11,6,40,30,31,36,6,30,11,40,9.25,34.25,37,137
56,10,10,11,6,37,39,40,33,6,33,11,40,9.25,37.25,37,149
57,10,10,11,6,36,39,34,36,6,34,11,39,9.25,36.25,37,145
58,10,10,11,6,35,38,41,31,6,31,11,41,9.25,36.25,37,145
59,10,10,11,6,37,39,37,36,6,36,11,39,9.25,37.25,37,149
60,10,10,11,6,38,34,37,36,6,34,11,38,9.25,36.25,37,145
61,10,10,11,6,36,35,40,36,6,35,11,40,9.25,36.75,37,147
62,10,10,11,6,37,33,37,38,6,33,11,38,9.25,36.25,37,145
63,10,10,11,6,40,41,37,31,6,31,11,41,9.25,37.25,37,149
64,10,10,11,6,36,36,30,35,6,30,11,36,9.25,34.25,37,137
65,10,10,11,6,39,38,36,36,6,36,11,39,9.25,37.25,37,149
66,10,10,11,6,36,34,37,38,6,34,11,38,9.25,36.25,37,145
67,10,10,11,6,28,28,25,28,6,25,11,28,9.25,27.25,37,109
68,10,10,11,6,36,38,35,40,6,35,11,40,9.25,37.25,37,149
69,10,10,11,6,40,36,35,38,6,35,11,40,9.25,37.25,37,149
70,10,10,11,6,38,34,37,40,6,34,11,40,9.25,37.25,37,149
71,10,10,11,6,37,42,33,37,6,33,11,42,9.25,37.25,37,149
72,10,10,11,6,41,34,34,37,6,34,11,41,9.25,36.5,37,146
73,10,10,11,6,36,38,40,33,6,33,11,40,9.25,36.75,37,147
74,10,10,11,6,35,37,34,36,6,34,11,37,9.25,35.5,37,142
75,10,10,11,6,33,33,35,38,6,33,11,38,9.25,34.75,37,139
76,10,10,11,6,39,41,33,32,6,32,11,41,9.25,36.25,37,145
77,10,10,11,6,37,37,34,37,6,34,11,37,9.25,36.25,37,145
78,10,10,11,6,38,37,34,30,6,30,11,38,9.25,34.75,37,139
79,10,10,11,6,39,41,38,31,6,31,11,41,9.25,37.25,37,149
80,10,10,11,6,37,37,39,33,6,33,11,39,9.25,36.5,37,146
81,10,10,11,6,37,39,35,35,6,35,11,39,9.25,36.5,37,146
82,10,10,11,6,39,41,35,34,6,34,11,41,9.25,37.25,37,149
83,10,10,11,6,40,38,32,39,6,32,11,40,9.25,37.25,37,149
84,10,10,11,6,32,30,27,26,6,26,11,32,9.25,28.75,37,115
85,10,10,11,6,39,36,33,37,6,33,11,39,9.25,36.25,37,145
86,10,10,11,6,37,35,33,37,6,33,11,37,9.25,35.5,37,142
87,10,10,11,6,40,37,33,35,6,33,11,40,9.25,36.25,37,145
88,10,10,11,6,35,37,32,37,6,32,11,37,9.25,35.25,37,141
89,10,10,11,6,40,41,36,32,6,32,11,41,9.25,37.25,37,149
90,10,10,11,6,36,32,26,32,6,26,11,36,9.25,31.5,37,126
91,10,10,11,6,39,39,35,36,6,35,11,39,9.25,37.25,37,149
92,10,10,11,6,39,39,30,38,6,30,11,39,9.25,36.5,37,146
93,10,10,11,6,36,37,40,36,6,36,11,40,9.25,37.25,37,149
94,10,10,11,6,39,34,32,37,6,32,11,39,9.25,35.5,37,142
95,10,10,11,6,38,33,33,35,6,33,11,38,9.25,34.75,37,139
96,10,10,11,6,36,37,26,35,6,26,11,37,9.25,33.5,37,134
97,10,10,11,6,39,40,30,37,6,30,11,40,9.25,36.5,37,146
98,10,10,11,6,39,40,30,38,6,30,11,40,9.25,36.75,37,147
99,10,10,11,6,36,37,31,27,6,27,11,37,9.25,32.75,37,131
