replicate,m0,m1,m2,m3,b0,b1,b2,b3,mMinimumScore,bMinimumScore,mMaximumScore,bMaximumScore,mAverageOfScores,bAverageOfScores,mSumOfScores,bSumOfScores
0,21,35,36,52,29,48,29,41,21,29,52,48,36.0,36.75,144,147
1,36,31,49,31,47,13,60,25,31,13,49,60,36.75,36.25,147,145
2,29,51,37,30,38,22,50,37,29,22,51,50,36.75,36.75,147,147
3,33,38,38,39,31,48,22,40,33,22,39,48,37.0,35.25,148,141
4,48,29,41,30,40,41,44,23,29,23,48,44,37.0,37.0,148,148
5,21,41,55,28,26,39,30,46,21,26,55,46,36.25,35.25,145,141
6,46,32,32,36,41,31,23,52,32,23,46,52,36.5,36.75,146,147
7,55,27,34,32,39,32,52,23,27,23,55,52,37.0,36.5,148,146
8,36,28,45,26,53,29,23,38,26,23,45,53,33.75,35.75,135,143
9,34,33,45,35,31,43,36,33,33,31,45,43,36.75,35.75,147,143
10,46,38,28,36,51,33,45,15,28,15,46,51,37.0,36.0,148,144
11,30,39,40,37,46,31,32,37,30,31,40,46,36.5,36.5,146,146
12,34,40,43,28,37,35,30,44,28,30,43,44,36.25,36.5,145,146
13,46,19,35,47,45,27,49,25,19,25,47,49,36.75,36.5,147,146
14,39,31,46,32,41,35,28,43,31,28,46,43,37.0,36.75,148,147
15,33,45,21,49,46,37,29,35,21,29,49,46,37.0,36.75,148,147
16,27,55,36,27,29,38,48,30,27,29,55,48,36.25,36.25,145,145
17,42,33,32,38,36,29,27,54,32,27,42,54,36.25,36.5,145,146
18,31,49,36,31,27,39,56,26,31,26,49,56,36.75,37.0,147,148
19,45,33,27,37,29,34,37,44,27,29,45,44,35.5,36.0,142,144
20,52,26,38,31,32,39,28,46,26,28,52,46,36.75,36.25,147,145
21,41,40,34,33,29,58,31,28,33,28,41,58,37.0,36.5,148,146
22,20,49,39,39,28,47,27,46,20,27,49,47,36.75,37.0,147,148
23,38,35,26,46,30,41,37,37,26,30,46,41,36.25,36.25,145,145
24,37,36,36,33,39,37,29,40,33,29,37,40,35.5,36.25,142,145
25,47,43,21,37,41,38,34,34,21,34,47,41,37.0,36.75,148,147
26,45,35,26,37,47,38,37,26,26,26,45,47,35.75,37.0,143,148
27,49,39,27,27,42,37,27,36,27,27,49,42,35.5,35.5,142,142
28,56,28,34,25,30,55,23,36,25,23,56,55,35.75,36.0,143,144
29,53,40,23,26,34,55,26,32,23,26,53,55,35.5,36.75,142,147
30,21,49,37,41,19,42,46,40,21,19,49,46,37.0,36.75,148,147
31,30,58,35,25,42,46,23,36,25,23,58,46,37.0,36.75,148,147
32,29,26,38,53,61,30,36,20,26,20,53,61,36.5,36.75,146,147
33,54,33,15,45,20,48,53,23,15,20,54,53,36.75,36.0,147,144
34,46,37,23,42,28,25,44,49,23,25,46,49,37.0,36.5,148,146
35,45,21,46,35,34,53,31,27,21,27,46,53,36.75,36.25,147,145
36,34,40,41,32,30,34,24,59,32,24,41,59,36.75,36.75,147,147
37,38,32,42,35,33,43,37,35,32,33,42,43,36.75,37.0,147,148
38,30,29,46,42,42,33,29,41,29,29,46,42,36.75,36.25,147,145
39,48,32,30,37,57,29,27,27,30,27,48,57,36.75,35.0,147,140
40,30,34,41,39,39,26,33,46,30,26,41,46,36.0,36.0,144,144
41,41,41,39,26,22,39,37,50,26,22,41,50,36.75,37.0,147,148
42,32,34,34,48,30,34,48,33,32,30,48,48,37.0,36.25,148,145
43,33,28,48,38,25,45,32,42,28,25,48,45,36.75,36.0,147,144
44,33,34,31,49,34,33,34,43,31,33,49,43,36.75,36.0,147,144
45,28,48,33,35,37,35,35,40,28,35,48,40,36.0,36.75,144,147
46,34,27,43,44,49,23,36,37,27,23,44,49,37.0,36.25,148,145
47,46,31,49,22,43,22,48,35,22,22,49,48,37.0,37.0,148,148
48,32,24,52,36,27,25,45,47,24,25,52,47,36.0,36.0,144,144
49,41,54,19,30,54,30,38,25,19,25,54,54,36.0,36.75,144,147
50,47,32,33,36,40,45,37,26,32,26,47,45,37.0,37.0,148,148
51,46,32,25,42,40,30,29,48,25,29,46,48,36.25,36.75,145,147
52,27,23,41,47,37,31,41,37,23,31,47,41,34.5,36.5,138,146
53,29,33,24,56,46,33,40,26,24,26,56,46,35.5,36.25,142,145
54,32,29,41,42,55,37,26,29,29,26,42,55,36.0,36.75,144,147
55,42,34,43,25,28,38,53,28,25,28,43,53,36.0,36.75,144,147
56,39,40,28,39,27,34,29,55,28,27,40,55,36.5,36.25,146,145
57,42,32,48,26,44,43,25,36,26,25,48,44,37.0,37.0,148,148
58,45,35,22,46,32,41,30,43,22,30,46,43,37.0,36.5,148,146
59,27,51,25,43,49,27,29,37,25,27,51,49,36.5,35.5,146,142
60,38,54,25,30,37,37,34,35,25,34,54,37,36.75,35.75,147,143
61,36,44,57,10,30,41,33,42,10,30,57,42,36.75,36.5,147,146
