replicate,m0,m1,m2,m3,b0,b1,b2,b3,mMinimumScore,bMinimumScore,mMaximumScore,bMaximumScore,mAverageOfScores,bAverageOfScores,mSumOfScores,bSumOfScores
0,31,19,45,44,38,44,40,20,19,20,45,44,34.75,35.5,139,142
1,35,39,32,36,38,33,39,34,32,33,39,39,35.5,36.0,142,144
2,33,36,26,47,30,33,33,43,26,30,47,43,35.5,34.75,142,139
3,48,31,26,40,27,48,39,29,26,27,48,48,36.25,35.75,145,143
4,44,39,25,30,19,46,52,24,25,19,44,52,34.5,35.25,138,141
5,30,39,43,32,54,45,27,19,30,19,43,54,36.0,36.25,144,145
6,44,33,27,38,30,46,33,35,27,30,44,46,35.5,36.0,142,144
7,37,40,34,32,29,35,35,46,32,29,40,46,35.75,36.25,143,145
8,49,29,34,28,33,35,50,26,28,26,49,50,35.0,36.0,140,144
9,35,22,43,42,42,38,33,29,22,29,43,42,35.5,35.5,142,142
10,28,44,31,38,18,48,42,34,28,18,44,48,35.25,35.5,141,142
11,42,41,41,20,37,28,42,38,20,28,42,42,36.0,36.25,144,145
12,40,26,39,37,35,38,25,45,26,25,40,45,35.5,35.75,142,143
13,20,25,56,43,33,23,48,39,20,23,56,48,36.0,35.75,144,143
14,42,27,40,36,41,24,34,45,27,24,42,45,36.25,36.0,145,144
15,48,28,36,32,54,22,31,37,28,22,48,54,36.0,36.0,144,144
16,33,32,39,37,42,19,29,54,32,19,39,54,35.25,36.0,141,144
17,33,61,18,30,48,28,25,42,18,25,61,48,35.5,35.75,142,143
18,32,41,34,37,33,32,53,25,32,25,41,53,36.0,35.75,144,143
19,33,41,36,34,33,38,30,43,33,30,41,43,36.0,36.0,144,144
20,38,36,31,40,36,44,36,29,31,29,40,44,36.25,36.25,145,145
21,33,33,46,30,23,37,42,43,30,23,46,43,35.5,36.25,142,145
22,36,19,38,48,50,29,17,47,19,17,48,50,35.25,35.75,141,143
23,23,17,46,52,46,31,44,21,17,21,52,46,34.5,35.5,138,142
24,35,39,36,34,38,43,29,33,34,29,39,43,36.0,35.75,144,143
25,27,26,52,40,48,38,24,33,26,24,52,48,36.25,35.75,145,143
26,20,39,50,36,51,30,37,23,20,23,50,51,36.25,35.25,145,141
27,40,33,36,36,41,32,30,38,33,30,40,41,36.25,35.25,145,141
28,22,53,22,47,29,31,53,30,22,29,53,53,36.0,35.75,144,143
29,41,24,46,33,33,35,34,40,24,33,46,40,36.0,35.5,144,142
30,23,42,36,39,37,38,39,28,23,28,42,39,35.0,35.5,140,142
31,51,21,38,31,44,29,43,29,21,29,51,44,35.25,36.25,141,145
32,33,40,40,31,33,33,46,31,31,31,40,46,36.0,35.75,144,143
33,32,36,39,37,36,29,36,41,32,29,39,41,36.0,35.5,144,142
34,27,31,49,38,33,41,33,38,27,33,49,41,36.25,36.25,145,145
35,41,28,40,35,26,40,40,38,28,26,41,40,36.0,36.0,144,144
36,28,42,33,41,40,31,33,41,28,31,42,41,36.0,36.25,144,145
37,24,42,22,53,33,29,53,28,22,28,53,53,35.25,35.75,141,143
38,49,25,29,40,31,49,27,37,25,27,49,49,35.75,36.0,143,144
39,28,45,29,39,46,21,34,41,28,21,45,46,35.25,35.5,141,142
40,36,49,32,27,59,22,32,28,27,22,49,59,36.0,35.25,144,141
41,52,29,32,32,30,42,47,20,29,20,52,47,36.25,34.75,145,139
42,35,36,42,32,34,51,41,10,32,10,42,51,36.25,34.0,145,136
43,34,35,45,30,37,35,32,39,30,32,45,39,36.0,35.75,144,143
44,60,27,31,27,32,35,24,51,27,24,60,51,36.25,35.5,145,142
45,25,33,35,50,45,20,40,39,25,20,50,45,35.75,36.0,143,144
46,38,36,29,36,25,31,40,46,29,25,38,46,34.75,35.5,139,142
47,23,47,37,38,25,39,31,46,23,25,47,46,36.25,35.25,145,141
48,30,33,17,60,31,32,45,36,17,31,60,45,35.0,36.0,140,144
49,15,44,42,42,30,40,36,39,15,30,44,40,35.75,36.25,143,145
