replicate,m0,m1,m2,m3,b0,b1,b2,b3
0,0,0,0,0,35,43,35,37
1,0,0,0,0,38,41,38,35
2,0,0,0,0,40,37,37,30
3,0,0,0,0,39,39,40,34
4,0,0,0,0,37,36,41,34
5,0,0,0,0,36,40,34,35
6,0,0,0,0,34,33,35,32
7,0,0,0,0,38,41,37,36
8,0,0,0,0,37,41,36,34
9,0,0,0,0,39,37,42,32
10,0,0,0,0,41,36,35,35
11,0,0,0,0,34,37,33,31
12,0,0,0,0,38,37,35,31
13,0,0,0,0,40,35,36,33
14,0,0,0,0,40,39,39,34
15,0,0,0,0,37,39,35,31
16,0,0,0,0,42,37,40,33
17,0,0,0,0,33,36,34,31
18,0,0,0,0,37,37,41,37
19,0,0,0,0,37,36,42,34
20,0,0,0,0,39,40,35,38
21,0,0,0,0,36,33,37,32
22,0,0,0,0,37,35,37,33
23,0,0,0,0,38,36,41,32
24,0,0,0,0,38,36,33,36
25,0,0,0,0,38,40,34,32
26,0,0,0,0,39,38,37,30
27,0,0,0,0,40,39,39,34
28,0,0,0,0,37,44,35,36
29,0,0,0,0,36,43,38,32
30,0,0,0,0,38,40,38,32
31,0,0,0,0,37,38,35,36
32,0,0,0,0,40,38,38,36
33,0,0,0,0,36,38,32,35
34,0,0,0,0,34,38,39,41
35,0,0,0,0,37,38,35,32
36,0,0,0,0,35,41,36,40
37,0,0,0,0,36,39,43,34
38,0,0,0,0,34,37,39,38
39,0,0,0,0,37,37,33,31
40,0,0,0,0,34,39,33,34
41,0,0,0,0,40,36,41,35
42,0,0,0,0,36,34,36,36
43,0,0,0,0,39,39,35,35
44,0,0,0,0,38,41,34,39
45,0,0,0,0,38,41,38,32
46,0,0,0,0,33,40,41,34
47,0,0,0,0,38,38,37,35
48,0,0,0,0,37,43,34,38
49,0,0,0,0,38,43,36,35
50,0,0,0,0,34,38,37,35
51,0,0,0,0,39,36,38,28
52,0,0,0,0,35,41,34,37
53,0,0,0,0,38,34,41,32
54,0,0,0,0,37,40,31,35
55,0,0,0,0,39,38,41,34
56,0,0,0,0,39,36,35,38
57,0,0,0,0,40,38,42,32
58,0,0,0,0,40,37,41,34
59,0,0,0,0,39,40,32,38
60,0,0,0,0,35,34,38,31
61,0,0,0,0,40,38,38,34
62,0,0,0,0,41,39,36,36
63,0,0,0,0,35,34,40,39
64,0,0,0,0,36,41,37,36
65,0,0,0,0,33,41,39,39
66,0,0,0,0,35,43,37,37
67,0,0,0,0,37,38,33,34
68,0,0,0,0,39,40,35,35
69,0,0,0,0,35,34,41,34
70,0,0,0,0,40,39,37,36
71,0,0,0,0,35,44,34,37
72,0,0,0,0,39,41,35,37
73,0,0,0,0,36,38,38,31
74,0,0,0,0,38,39,41,34
75,0,0,0,0,38,42,38,34
76,0,0,0,0,31,32,35,31
77,0,0,0,0,34,35,40,36
78,0,0,0,0,31,34,38,31
79,0,0,0,0,42,39,34,37
80,0,0,0,0,32,34,31,30
81,0,0,0,0,43,37,36,36
82,0,0,0,0,39,41,35,37
83,0,0,0,0,42,39,31,36
84,0,0,0,0,37,35,41,39
85,0,0,0,0,40,36,38,33
86,0,0,0,0,37,42,36,34
87,0,0,0,0,38,31,34,35
88,0,0,0,0,33,34,34,34
89,0,0,0,0,38,41,35,38
90,0,0,0,0,40,40,37,35
91,0,0,0,0,40,41,35,36
92,0,0,0,0,32,35,35,31
93,0,0,0,0,40,39,40,30
94,0,0,0,0,40,42,37,33
95,0,0,0,0,38,38,35,32
96,0,0,0,0,39,41,38,34
97,0,0,0,0,35,43,35,39
98,0,0,0,0,36,34,38,28
99,0,0,0,0,38,34,39,37
