replicate,m0,m1,m2,m3,b0,b1,b2,b3,mMinimumScore,bMinimumScore,mMaximumScore,bMaximumScore,mAverageOfScores,bAverageOfScores,mSumOfScores,bSumOfScores
0,42,61,18,29,30,27,63,30,18,27,61,63,37.5,37.5,150,150
1,20,63,34,33,44,27,51,28,20,27,63,51,37.5,37.5,150,150
2,25,55,48,22,32,52,30,36,22,30,55,52,37.5,37.5,150,150
3,39,35,43,33,45,35,42,28,33,28,43,45,37.5,37.5,150,150
4,47,19,26,58,32,41,43,34,19,32,58,43,37.5,37.5,150,150
5,38,25,33,53,31,20,53,46,25,20,53,53,37.25,37.5,149,150
6,34,29,46,41,42,33,31,44,29,31,46,44,37.5,37.5,150,150
7,35,50,29,36,38,41,41,30,29,30,50,41,37.5,37.5,150,150
8,51,32,28,39,28,21,39,62,28,21,51,62,37.5,37.5,150,150
9,34,45,22,49,44,53,26,27,22,26,49,53,37.5,37.5,150,150
10,32,32,37,49,31,31,49,39,32,31,49,49,37.5,37.5,150,150
11,41,31,32,46,35,45,40,30,31,30,46,45,37.5,37.5,150,150
12,38,36,30,46,53,30,46,21,30,21,46,53,37.5,37.5,150,150
13,37,47,36,30,34,40,49,27,30,27,47,49,37.5,37.5,150,150
14,54,28,43,25,24,36,43,45,25,24,54,45,37.5,37.0,150,148
15,32,52,38,28,39,32,39,40,28,32,52,40,37.5,37.5,150,150
16,45,44,17,44,28,44,35,43,17,28,45,44,37.5,37.5,150,150
17,44,33,36,37,40,36,35,39,33,35,44,40,37.5,37.5,150,150
18,39,52,38,21,59,34,34,23,21,23,52,59,37.5,37.5,150,150
19,30,44,31,45,30,41,30,49,30,30,45,49,37.5,37.5,150,150
20,29,20,58,43,46,50,20,34,20,20,58,50,37.5,37.5,150,150
21,37,38,29,46,29,43,38,40,29,29,46,43,37.5,37.5,150,150
22,41,31,45,33,24,54,44,28,31,24,45,54,37.5,37.5,150,150
23,30,48,29,43,42,38,33,37,29,33,48,42,37.5,37.5,150,150
24,11,48,50,41,29,26,37,58,11,26,50,58,37.5,37.5,150,150
25,42,36,23,49,26,32,42,50,23,26,49,50,37.5,37.5,150,150
26,37,39,35,39,22,42,45,41,35,22,39,45,37.5,37.5,150,150
27,37,33,43,37,44,39,35,32,33,32,43,44,37.5,37.5,150,150
28,22,34,48,46,35,38,33,44,22,33,48,44,37.5,37.5,150,150
29,52,32,24,42,32,37,38,43,24,32,52,43,37.5,37.5,150,150
30,15,59,49,27,37,53,27,33,15,27,59,53,37.5,37.5,150,150
31,36,60,32,22,28,47,41,34,22,28,60,47,37.5,37.5,150,150
32,29,53,48,20,50,40,24,36,20,24,53,50,37.5,37.5,150,150
33,30,20,45,55,48,48,33,21,20,21,55,48,37.5,37.5,150,150
34,44,35,28,43,45,45,28,32,28,28,44,45,37.5,37.5,150,150
35,41,28,51,30,34,36,52,28,28,28,51,52,37.5,37.5,150,150
36,28,36,29,57,27,49,34,40,28,27,57,49,37.5,37.5,150,150
37,35,28,38,49,30,40,27,53,28,27,49,53,37.5,37.5,150,150
38,33,51,39,27,45,41,35,29,27,29,51,45,37.5,37.5,150,150
39,30,42,40,38,44,27,40,39,30,27,42,44,37.5,37.5,150,150
40,29,51,37,33,39,40,46,25,29,25,51,46,37.5,37.5,150,150
