replicate,m0,m1,m2,m3,b0,b1,b2,b3
0,23,52,22,45,38,34,45,27
1,40,19,55,32,35,40,35,33
2,46,30,36,33,7,52,43,43
3,30,25,37,54,36,32,39,40
4,39,31,21,56,33,43,38,30
5,36,45,34,30,28,20,45,51
6,25,38,47,34,43,41,24,35
7,21,28,51,44,27,38,55,25
8,38,35,40,31,35,41,29,37
9,21,44,59,21,36,37,25,44
10,39,38,30,40,32,36,35,44
11,44,34,29,40,35,37,37,35
12,30,42,26,43,12,50,45,40
13,31,40,29,45,50,43,13,35
14,39,43,31,33,36,41,33,31
15,30,39,40,34,42,25,36,40
16,41,36,35,35,34,35,27,49
17,69,21,23,22,20,46,42,34
18,30,46,30,40,35,46,37,26
19,49,36,23,38,34,39,42,31
20,41,28,43,29,52,38,25,31
21,31,29,48,37,44,39,17,39
22,19,34,41,45,48,37,26,34
23,31,33,42,39,49,33,36,27
24,20,36,44,44,40,35,38,32
25,35,41,33,35,44,33,37,33
26,37,37,26,45,26,57,37,26
27,22,42,44,35,34,37,25,46
28,37,32,45,29,35,36,45,29
29,22,37,35,51,32,30,49,36
30,31,35,39,40,34,23,52,37
31,31,28,34,52,35,28,39,41
32,35,29,47,31,30,51,32,32
33,38,29,33,43,41,29,41,30
34,43,31,47,21,19,34,51,42
35,34,35,43,30,26,37,35,47
36,35,37,32,38,27,49,44,24
37,30,27,45,38,17,35,54,39
38,52,39,24,31,29,20,56,31
39,45,43,33,24,40,41,29,36
40,28,23,42,45,55,23,33,29
41,37,43,35,28,35,33,32,45
42,43,35,31,36,32,25,40,47
43,33,28,53,33,45,30,43,25
44,36,36,44,29,33,37,42,29
45,13,52,21,55,24,38,37,45
46,29,37,47,27,28,51,35,32
47,27,50,35,30,36,30,30,50
48,43,36,37,28,29,44,34,36
49,30,45,33,34,42,34,29,41
50,47,22,37,39,32,40,40,32
51,27,39,27,51,48,38,32,27
52,26,29,36,56,34,31,43,32
53,28,47,39,32,45,31,33,34
54,40,18,57,31,7,32,54,44
55,35,25,33,46,31,19,52,39
56,22,36,51,36,29,38,48,29
57,31,52,42,17,45,29,43,27
58,29,46,33,38,53,27,31,33
59,30,22,45,40,18,32,45,50
60,35,30,36,45,28,33,50,34
61,26,46,45,27,25,45,40,32
62,25,40,34,41,43,43,29,24
63,40,36,42,27,51,21,35,38
64,27,36,35,39,23,36,41,40
65,18,58,29,34,32,47,24,43
66,40,43,41,16,24,46,40,34
67,29,23,41,47,19,30,51,46
68,31,34,50,29,20,65,19,26
69,42,27,41,31,40,36,28,39
70,36,47,16,47,30,45,29,43
71,29,37,36,37,41,35,27,40
72,23,35,57,31,24,37,36,46
73,17,29,32,60,42,36,26,42
74,46,24,38,33,27,19,51,48
75,32,28,42,42,29,32,39,45
76,34,39,32,39,19,36,55,33
77,50,41,36,19,30,40,38,38
78,40,34,38,31,46,39,39,22
79,37,42,30,37,41,40,26,39
80,46,34,36,28,49,34,37,22
81,18,31,41,45,29,31,42,42
82,34,27,34,43,28,39,17,62
83,50,15,37,45,33,23,40,44
84,35,38,37,35,26,44,32,42
85,28,38,38,34,50,29,46,20
86,28,39,24,54,37,32,49,28
87,29,37,39,39,36,30,46,30
88,39,25,40,42,26,39,29,45
89,34,39,51,19,42,36,27,40
90,40,24,41,36,47,22,52,23
91,38,24,42,37,17,44,28,48
92,37,31,41,36,25,27,64,31
93,33,36,53,23,32,45,33,35
94,44,22,22,47,32,44,32,34
95,35,42,35,34,35,23,49,37
96,28,43,47,27,43,31,40,30
97,19,45,37,42,32,34,28,50
98,55,31,23,37,30,37,44,34
99,46,40,23,38,28,30,51,32
