replicate,m0,m1,m2,m3,b0,b1,b2,b3
0,38,41,39,32,39,57,21,33
1,29,41,49,31,42,39,43,26
2,32,33,40,45,42,30,32,46
3,43,28,34,45,34,54,30,32
4,38,30,41,41,43,44,34,29
5,41,41,33,35,41,48,21,39
6,26,41,46,37,34,49,24,43
7,24,37,59,30,30,30,33,56
8,41,50,31,28,33,44,25,48
9,30,29,39,52,54,26,34,36
10,37,51,19,43,38,35,36,40
11,44,27,32,47,24,50,39,36
12,48,30,38,34,32,35,40,43
13,39,52,31,28,33,39,37,41
14,43,45,33,29,40,38,41,31
15,17,25,50,58,41,41,45,23
16,42,24,46,38,48,33,30,39
17,25,25,58,42,24,41,37,48
18,40,41,39,30,35,48,27,40
19,40,46,47,17,36,36,41,35
20,38,30,41,41,46,37,29,38
21,32,43,36,39,15,57,41,37
22,21,47,33,49,34,43,38,35
23,23,42,53,32,27,34,49,40
24,36,47,39,28,38,42,25,45
25,26,37,44,43,24,26,34,66
26,47,22,52,27,35,25,49,41
27,38,28,57,26,24,43,34,49
28,41,36,37,36,29,56,38,27
29,35,29,37,49,35,43,21,51
30,38,50,27,35,25,40,45,40
31,42,23,49,36,34,45,38,31
32,56,36,34,24,36,36,52,26
33,36,54,43,17,41,30,41,38
34,37,31,39,43,45,25,47,33
35,30,35,49,36,41,40,32,37
36,25,36,37,52,29,46,37,38
37,33,36,28,52,29,36,46,39
38,42,34,34,40,31,29,47,43
39,18,39,52,41,34,49,46,21
40,23,60,37,30,30,44,37,39
41,27,24,50,49,43,30,39,38
42,33,47,37,32,41,29,57,23
43,28,47,39,36,41,41,37,30
44,37,39,32,42,29,37,38,46
45,49,43,24,34,41,32,30,47
46,35,26,44,45,25,47,45,32
47,37,29,41,43,58,37,32,23
48,30,49,44,27,48,33,31,37
49,30,44,48,28,44,48,29,29
50,19,48,43,40,43,34,42,31
51,39,49,37,25,59,34,36,21
52,31,30,36,53,30,50,38,32
53,38,39,35,38,42,39,44,25
54,28,55,38,29,35,31,43,40
55,31,44,33,42,36,28,41,45
56,27,43,30,50,26,46,51,27
57,43,38,42,27,46,30,41,33
58,41,28,37,44,28,44,46,32
59,30,47,29,44,33,37,47,33
60,40,28,37,45,46,32,34,38
61,37,31,29,53,53,26,49,22
62,42,31,34,43,29,34,31,56
63,39,31,36,44,45,32,43,28
64,34,43,47,26,34,22,47,47
65,30,38,40,42,36,45,49,19
66,33,46,43,28,31,45,49,25
67,37,35,41,37,35,37,38,40
68,39,62,30,19,34,43,30,43
69,40,40,38,32,47,29,41,33
70,28,58,36,28,23,56,49,22
71,45,37,31,37,53,27,37,30
72,39,29,47,35,42,27,59,22
73,47,32,28,43,42,39,33,36
74,41,30,41,38,42,26,42,40
75,30,43,30,46,27,63,19,41
76,53,38,26,32,52,31,30,37
77,48,30,16,56,41,48,31,30
78,48,36,16,50,35,41,34,40
79,41,39,31,39,23,27,48,52
80,26,39,34,51,47,25,36,42
81,48,20,50,31,43,32,37,38
82,21,26,62,41,46,33,38,31
83,30,35,65,20,33,39,47,31
84,28,41,54,27,45,31,38,36
85,46,23,45,36,41,33,17,59
86,33,21,49,47,34,40,45,31
87,30,47,34,39,32,40,46,32
88,38,51,27,32,32,52,25,41
89,37,50,40,23,44,32,40,34
90,46,42,19,43,43,34,45,28
91,23,45,41,41,34,38,44,34
92,32,53,24,41,44,45,25,36
93,48,41,35,26,41,34,26,48
94,47,46,30,26,50,42,26,32
95,54,23,25,48,43,36,33,37
96,33,42,34,41,36,41,32,41
97,50,43,24,33,33,33,33,51
98,37,57,37,19,47,36,31,36
99,45,34,23,48,39,26,44,41
