replicate,m0,m1,m2,m3,b0,b1,b2,b3
0,25,37,43,44,44,26,39,39
1,40,37,42,27,39,42,42,26
2,38,33,35,42,23,28,64,33
3,51,31,40,24,51,30,36,27
4,38,45,34,28,35,32,39,41
5,42,32,30,36,29,28,48,44
6,36,34,42,37,48,35,30,32
7,45,28,34,41,31,41,55,20
8,30,30,34,55,41,34,21,52
9,56,27,22,44,42,29,41,36
10,45,45,33,24,42,39,26,42
11,36,40,32,41,27,51,47,22
12,46,39,25,37,42,41,35,29
13,34,26,47,40,32,39,37,37
14,28,36,46,35,30,36,25,57
15,35,36,43,34,26,45,45,33
16,18,39,40,51,35,36,30,46
17,30,17,40,62,23,32,42,51
18,46,44,28,31,39,42,15,52
19,27,44,33,41,31,30,30,55
20,50,28,39,32,38,47,27,37
21,41,45,29,33,37,40,34,34
22,40,34,32,42,44,53,25,26
23,23,38,37,44,26,40,42,41
24,39,25,41,43,36,33,46,34
25,38,29,37,44,49,48,25,24
26,40,43,25,36,50,40,23,32
27,34,34,31,50,40,48,42,19
28,32,28,48,40,27,37,43,35
29,27,50,41,30,33,36,58,22
30,36,28,43,36,53,35,24,36
31,39,38,39,33,35,48,22,44
32,35,19,36,53,32,50,39,26
33,34,33,58,22,53,32,19,41
34,42,19,47,39,45,22,45,37
35,33,49,29,36,46,30,33,38
36,40,49,23,32,35,34,32,48
37,30,32,38,48,37,27,26,56
38,37,30,42,40,23,45,37,43
39,23,43,41,32,38,40,37,33
40,40,36,45,23,30,46,33,39
41,24,53,38,31,34,16,43,54
42,17,59,24,47,30,37,43,39
43,28,35,31,50,46,21,43,35
44,31,38,28,50,44,45,29,29
45,25,44,50,28,29,39,55,25
46,17,46,38,47,41,32,38,37
47,29,30,48,41,29,40,32,44
48,33,37,30,46,41,48,34,24
49,35,36,29,42,36,39,25,45
50,36,30,41,41,46,45,27,28
51,56,44,26,23,42,24,44,35
52,35,44,40,26,48,35,24,42
53,39,38,42,28,28,49,34,35
54,44,22,49,34,28,38,40,43
55,50,33,32,34,29,26,51,42
56,31,32,34,47,37,32,42,38
57,56,27,33,29,41,37,23,48
58,34,26,60,27,41,34,51,23
59,36,29,40,44,35,31,38,40
60,25,35,42,45,24,31,43,50
61,50,44,23,32,42,31,52,24
62,39,29,38,43,54,22,39,28
63,53,24,37,35,36,27,37,49
64,38,35,38,37,28,41,39,39
65,33,29,41,46,32,30,48,35
66,58,20,23,47,29,37,37,44
67,35,38,27,47,31,47,41,29
68,59,29,31,29,29,41,36,39
69,44,56,24,25,31,57,28,32
70,31,29,43,43,26,30,53,39
71,35,52,32,29,41,40,35,33
72,25,41,43,36,46,41,28,33
73,39,33,32,43,35,45,29,38
74,38,39,43,29,27,53,23,45
75,40,47,39,22,34,34,27,52
76,27,37,47,35,24,39,56,28
77,32,36,34,43,39,39,37,33
78,35,24,33,53,40,38,18,52
79,21,58,47,22,62,33,24,24
80,22,35,38,50,38,21,51,36
81,42,30,29,45,28,38,40,43
82,35,37,49,28,40,39,30,39
83,35,40,30,40,29,48,35,37
84,34,37,39,35,25,36,36,51
85,35,23,45,45,43,47,18,40
86,51,36,21,39,29,27,45,44
87,36,43,37,32,52,32,25,34
88,36,34,36,38,51,42,23,30
89,59,38,30,22,24,42,56,26
90,35,24,43,46,40,46,25,38
91,42,31,48,27,50,37,22,37
92,35,35,40,35,65,27,41,15
93,44,21,42,40,33,39,47,28
94,31,33,33,51,35,44,25,42
95,31,47,43,28,22,49,32,27
96,40,59,24,19,29,42,24,51
97,22,40,32,55,32,46,33,37
98,36,26,23,64,39,33,30,45
99,51,34,38,25,27,48,46,26
