replicate,m0,m1,m2,m3,b0,b1,b2,b3,mMinimumScore,bMinimumScore,mMaximumScore,bMaximumScore,mAverageOfScores,bAverageOfScores,mSumOfScores,bSumOfScores
0,32,43,45,27,0,4,100,0,27,0,45,100,36.75,26.0,147,104
1,39,25,36,49,0,0,108,0,25,0,49,108,37.25,27.0,149,108
2,53,52,36,6,0,6,85,14,6,0,53,85,36.75,26.25,147,105
3,34,25,23,54,7,0,111,10,23,0,54,111,34.0,32.0,136,128
4,66,20,23,34,0,0,70,0,20,0,66,70,35.75,17.5,143,70
5,33,63,39,12,0,29,71,0,12,0,63,71,36.75,25.0,147,100
6,54,47,17,30,28,0,86,0,17,0,54,86,37.0,28.5,148,114
7,51,39,50,8,2,0,91,0,8,0,51,91,37.0,23.25,148,93
8,50,44,31,23,0,0,81,0,23,0,50,81,37.0,20.25,148,81
9,42,23,21,62,6,1,90,0,21,0,62,90,37.0,24.25,148,97
10,44,19,47,37,0,0,98,0,19,0,47,98,36.75,24.5,147,98
11,21,19,47,58,0,4,103,0,19,0,58,103,36.25,26.75,145,107
12,19,33,29,66,0,0,104,0,19,0,66,104,36.75,26.0,147,104
13,22,66,6,54,0,19,56,18,6,0,66,56,37.0,23.25,148,93
14,45,48,9,44,10,16,62,16,9,10,48,62,36.5,26.0,146,104
15,46,48,27,28,10,0,107,1,27,0,48,107,37.25,29.5,149,118
16,74,30,30,15,11,0,101,0,15,0,74,101,37.25,28.0,149,112
17,58,24,24,35,0,1,111,0,24,0,58,111,35.25,28.0,141,112
18,58,17,14,58,0,6,113,7,14,0,58,113,36.75,31.5,147,126
19,16,33,47,53,0,0,100,0,16,0,53,100,37.25,25.0,149,100
20,27,47,30,45,0,0,104,0,27,0,47,104,37.25,26.0,149,104
21,8,63,40,37,1,0,101,15,8,0,63,101,37.0,29.25,148,117
22,36,29,46,37,0,0,45,34,29,0,46,45,37.0,19.75,148,79
23,59,21,27,39,0,0,86,22,21,0,59,86,36.5,27.0,146,108
24,54,36,39,16,0,0,104,0,16,0,54,104,36.25,26.0,145,104
25,36,32,51,28,0,0,113,0,28,0,51,113,36.75,28.25,147,113
26,37,27,57,28,0,0,96,0,27,0,57,96,37.25,24.0,149,96
27,46,41,28,33,0,0,85,30,28,0,46,85,37.0,28.75,148,115
28,1,60,48,35,8,0,94,0,1,0,60,94,36.0,25.5,144,102
29,29,16,36,64,6,0,103,0,16,0,64,103,36.25,27.25,145,109
30,47,27,35,40,0,14,95,0,27,0,47,95,37.25,27.25,149,109
31,41,30,35,43,12,0,106,2,30,0,43,106,37.25,30.0,149,120
32,15,25,63,45,0,3,113,7,15,0,63,113,37.0,30.75,148,123
33,47,61,7,31,10,0,87,25,7,0,61,87,36.5,30.5,146,122
34,36,51,54,1,0,0,81,0,1,0,54,81,35.5,20.25,142,81
35,73,16,40,14,0,21,79,0,14,0,73,79,35.75,25.0,143,100
36,35,52,42,14,3,3,95,0,14,0,52,95,35.75,25.25,143,101
37,42,40,32,34,8,6,103,7,32,6,42,103,37.0,31.0,148,124
38,48,60,31,10,10,0,86,0,10,0,60,86,37.25,24.0,149,96
39,25,46,43,34,44,0,63,4,25,0,46,63,37.0,27.75,148,111
40,67,12,33,32,0,0,88,0,12,0,67,88,36.0,22.0,144,88
41,43,72,23,9,0,10,66,0,9,0,72,66,36.75,19.0,147,76
42,26,44,57,17,15,0,83,0,17,0,57,83,36.0,24.5,144,98
43,49,20,42,35,0,0,97,16,20,0,49,97,36.5,28.25,146,113
44,35,30,47,36,0,36,75,0,30,0,47,75,37.0,27.75,148,111
45,26,31,47,44,0,36,93,0,26,0,47,93,37.0,32.25,148,129
46,48,15,10,70,4,1,118,7,10,1,70,118,35.75,32.5,143,130
47,16,52,30,46,18,0,85,3,16,0,52,85,36.0,26.5,144,106
48,38,23,47,38,13,5,100,1,23,1,47,100,36.5,29.75,146,119
49,15,33,41,56,1,0,84,25,15,0,56,84,36.25,27.5,145,110
50,45,57,3,36,0,21,80,14,3,0,57,80,35.25,28.75,141,115
51,16,67,44,16,0,0,84,13,16,0,67,84,35.75,24.25,143,97
52,36,62,44,5,0,13,102,14,5,0,62,102,36.75,32.25,147,129
53,58,21,44,25,0,0,109,0,21,0,58,109,37.0,27.25,148,109
54,61,37,3,45,17,5,76,32,3,5,61,76,36.5,32.5,146,130
55,52,33,30,28,0,0,80,7,28,0,52,80,35.75,21.75,143,87
56,65,41,25,17,0,6,106,0,17,0,65,106,37.0,28.0,148,112
57,12,61,38,38,0,0,86,17,12,0,61,86,37.25,25.75,149,103
58,26,43,39,33,23,1,101,0,26,0,43,101,35.25,31.25,141,125
59,17,65,37,29,0,0,119,0,17,0,65,119,37.0,29.75,148,119
60,9,54,57,24,0,0,101,0,9,0,57,101,36.0,25.25,144,101
61,16,19,85,28,0,11,82,0,16,0,85,82,37.0,23.25,148,93
62,48,23,54,19,0,0,93,0,19,0,54,93,36.0,23.25,144,93
63,31,32,50,36,15,0,86,7,31,0,50,86,37.25,27.0,149,108
64,41,57,5,40,0,6,71,0,5,0,57,71,35.75,19.25,143,77
65,67,17,25,40,15,0,97,14,17,0,67,97,37.25,31.5,149,126
66,37,54,26,30,0,6,60,34,26,0,54,60,36.75,25.0,147,100
67,43,26,23,52,0,0,97,0,23,0,52,97,36.0,24.25,144,97
68,42,14,48,44,19,0,74,13,14,0,48,74,37.0,26.5,148,106
69,44,15,65,22,16,0,78,7,15,0,65,78,36.5,25.25,146,101
70,39,31,35,43,0,0,88,9,31,0,43,88,37.0,24.25,148,97
71,42,40,29,32,28,17,53,7,29,7,42,53,35.75,26.25,143,105
72,49,20,36,44,0,6,93,15,20,0,49,93,37.25,28.5,149,114
73,64,58,13,14,0,29,91,0,13,0,64,91,37.25,30.0,149,120
74,31,49,32,34,2,0,104,14,31,0,49,104,36.5,30.0,146,120
75,49,62,16,15,0,8,62,0,15,0,62,62,35.5,17.5,142,70
76,30,27,38,53,6,0,97,13,27,0,53,97,37.0,29.0,148,116
77,56,7,30,54,8,16,90,0,7,0,56,90,36.75,28.5,147,114
78,32,42,31,38,0,0,94,7,31,0,42,94,35.75,25.25,143,101
79,51,26,15,55,6,0,108,0,15,0,55,108,36.75,28.5,147,114
80,65,43,21,19,10,13,85,22,19,10,65,85,37.0,32.5,148,130
81,27,66,23,32,1,0,92,0,23,0,66,92,37.0,23.25,148,93
82,27,12,54,53,0,0,92,0,12,0,54,92,36.5,23.0,146,92
83,62,40,38,7,5,7,92,0,7,0,62,92,36.75,26.0,147,104
84,34,46,17,47,12,3,95,3,17,3,47,95,36.0,28.25,144,113
85,16,66,33,33,0,0,105,0,16,0,66,105,37.0,26.25,148,105
86,27,40,34,47,6,28,86,0,27,0,47,86,37.0,30.0,148,120
87,42,18,55,30,0,0,91,0,18,0,55,91,36.25,22.75,145,91
88,36,23,48,42,13,0,82,0,23,0,48,82,37.25,23.75,149,95
89,41,11,45,51,37,13,73,0,11,0,51,73,37.0,30.75,148,123
90,52,46,16,32,0,0,60,28,16,0,52,60,36.5,22.0,146,88
91,11,47,39,46,0,19,80,0,11,0,47,80,35.75,24.75,143,99
92,28,37,65,19,0,0,95,0,19,0,65,95,37.25,23.75,149,95
93,55,24,40,29,0,33,87,0,24,0,55,87,37.0,30.0,148,120
94,29,23,56,41,0,0,99,0,23,0,56,99,37.25,24.75,149,99
95,46,22,39,41,9,0,100,0,22,0,46,100,37.0,27.25,148,109
96,14,35,44,45,0,0,102,22,14,0,45,102,34.5,31.0,138,124
97,29,56,5,55,0,24,88,0,5,0,56,88,36.25,28.0,145,112
