replicate,m0,m1,m2,m3,b0,b1,b2,b3,mMinimumScore,bMinimumScore,mMaximumScore,bMaximumScore,mAverageOfScores,bAverageOfScores,mSumOfScores,bSumOfScores
0,32,34,23,52,47,30,24,44,23,24,52,47,35.25,36.25,141,145
1,32,33,48,26,25,35,34,50,26,25,48,50,34.75,36.0,139,144
2,49,34,34,28,38,19,52,31,28,19,49,52,36.25,35.0,145,140
3,31,39,43,31,30,46,39,29,31,29,43,46,36.0,36.0,144,144
4,40,24,36,39,34,20,44,46,24,20,40,46,34.75,36.0,139,144
5,25,33,54,29,20,47,37,41,25,20,54,47,35.25,36.25,141,145
6,38,40,26,39,20,41,33,49,26,20,40,49,35.75,35.75,143,143
7,25,29,29,54,33,43,38,31,25,31,54,43,34.25,36.25,137,145
8,42,31,18,53,22,54,19,47,18,19,53,54,36.0,35.5,144,142
9,35,44,37,29,42,29,42,31,29,29,44,42,36.25,36.0,145,144
10,28,46,44,26,46,21,36,41,26,21,46,46,36.0,36.0,144,144
11,21,42,47,35,40,26,46,33,21,26,47,46,36.25,36.25,145,145
12,25,33,45,41,30,46,40,25,25,25,45,46,36.0,35.25,144,141
13,33,23,41,48,28,31,42,44,23,28,48,44,36.25,36.25,145,145
14,39,31,28,47,44,31,20,48,28,20,47,48,36.25,35.75,145,143
15,38,22,45,40,18,31,56,38,22,18,45,56,36.25,35.75,145,143
16,48,31,32,34,42,40,27,34,31,27,48,42,36.25,35.75,145,143
17,32,37,47,28,23,37,31,50,28,23,47,50,36.0,35.25,144,141
18,48,35,30,32,42,37,31,33,30,31,48,42,36.25,35.75,145,143
19,34,24,33,49,45,35,36,29,24,29,49,45,35.0,36.25,140,145
20,30,45,28,42,46,39,35,24,28,24,45,46,36.25,36.0,145,144
21,41,40,36,28,33,46,45,18,28,18,41,46,36.25,35.5,145,142
22,34,40,32,38,33,34,36,42,32,33,40,42,36.0,36.25,144,145
23,30,39,31,44,33,25,46,38,30,25,44,46,36.0,35.5,144,142
24,31,33,44,34,36,42,34,33,31,33,44,42,35.5,36.25,142,145
25,25,26,38,51,34,58,32,21,25,21,51,58,35.0,36.25,140,145
26,28,51,40,26,34,26,43,41,26,26,51,43,36.25,36.0,145,144
27,33,39,33,36,39,29,47,28,33,28,39,47,35.25,35.75,141,143
28,35,31,35,44,19,35,52,38,31,19,44,52,36.25,36.0,145,144
29,29,36,38,39,48,42,23,32,29,23,39,48,35.5,36.25,142,145
30,35,27,33,50,36,48,34,23,27,23,50,48,36.25,35.25,145,141
31,29,44,44,28,25,43,45,32,28,25,44,45,36.25,36.25,145,145
32,29,35,29,52,38,24,43,36,29,24,52,43,36.25,35.25,145,141
33,41,25,38,41,40,42,28,34,25,28,41,42,36.25,36.0,145,144
34,39,30,41,34,26,40,43,35,30,26,41,43,36.0,36.0,144,144
35,29,42,32,34,17,27,44,57,29,17,42,57,34.25,36.25,137,145
36,40,34,28,43,29,32,35,48,28,29,43,48,36.25,36.0,145,144
37,36,49,24,35,21,49,32,38,24,21,49,49,36.0,35.0,144,140
38,20,54,35,33,55,37,23,28,20,23,54,55,35.5,35.75,142,143
39,42,30,32,41,34,49,25,34,30,25,42,49,36.25,35.5,145,142
40,45,34,36,29,31,28,31,54,29,28,45,54,36.0,36.0,144,144
41,42,27,34,42,35,40,35,33,27,33,42,40,36.25,35.75,145,143
42,14,48,49,33,35,38,42,26,14,26,49,42,36.0,35.25,144,141
43,27,39,41,38,37,40,28,38,27,28,41,40,36.25,35.75,145,143
44,24,27,48,44,38,31,33,41,24,31,48,41,35.75,35.75,143,143
45,29,39,36,36,43,31,37,34,29,31,39,43,35.0,36.25,140,145
46,32,21,40,52,25,46,47,27,21,25,52,47,36.25,36.25,145,145
47,26,37,32,45,15,40,62,25,26,15,45,62,35.0,35.5,140,142
48,27,28,41,45,37,31,46,28,27,28,45,46,35.25,35.5,141,142
49,52,31,21,38,30,44,39,30,21,30,52,44,35.5,35.75,142,143
50,33,22,24,50,43,34,37,31,22,31,50,43,32.25,36.25,129,145
51,44,39,32,28,38,20,51,35,28,20,44,51,35.75,36.0,143,144
52,35,37,26,47,33,25,41,42,26,25,47,42,36.25,35.25,145,141
53,31,46,37,27,41,21,51,30,27,21,46,51,35.25,35.75,141,143
54,43,44,23,35,30,23,35,57,23,23,44,57,36.25,36.25,145,145
55,40,23,26,52,30,32,34,47,23,30,52,47,35.25,35.75,141,143
56,41,27,46,31,32,32,37,41,27,32,46,41,36.25,35.5,145,142
57,38,36,39,29,36,47,27,34,29,27,39,47,35.5,36.0,142,144
58,34,50,17,38,27,49,32,36,17,27,50,49,34.75,36.0,139,144
59,47,42,33,21,32,29,57,22,21,22,47,57,35.75,35.0,143,140
60,29,26,46,41,44,58,20,21,26,20,46,58,35.5,35.75,142,143
