replicate,m0,m1,m2,m3,b0,b1,b2,b3,mMinimumScore,bMinimumScore,mMaximumScore,bMaximumScore,mAverageOfScores,bAverageOfScores,mSumOfScores,bSumOfScores
0,41,33,42,28,34,30,36,42,28,30,42,42,36.0,35.5,144,142
1,32,39,17,50,15,41,38,49,17,15,50,49,34.5,35.75,138,143
2,30,17,38,53,42,31,32,38,17,31,53,42,34.5,35.75,138,143
3,29,31,29,46,34,34,29,49,29,29,46,49,33.75,36.5,135,146
4,45,36,24,36,43,44,26,32,24,26,45,44,35.25,36.25,141,145
5,31,36,33,41,45,33,32,35,31,32,41,45,35.25,36.25,141,145
6,28,30,55,27,54,34,20,25,27,20,55,54,35.0,33.25,140,133
7,41,37,32,35,36,29,27,54,32,27,41,54,36.25,36.5,145,146
8,34,45,27,40,44,46,28,28,27,28,45,46,36.5,36.5,146,146
9,45,41,34,26,31,46,33,34,26,31,45,46,36.5,36.0,146,144
10,37,42,37,27,48,41,29,24,27,24,42,48,35.75,35.5,143,142
11,33,32,29,52,52,26,25,35,29,25,52,52,36.5,34.5,146,138
12,22,22,63,36,34,30,48,31,22,30,63,48,35.75,35.75,143,143
13,51,45,27,15,26,52,37,30,15,26,51,52,34.5,36.25,138,145
14,21,29,43,52,37,35,25,41,21,25,52,41,36.25,34.5,145,138
15,40,31,31,44,47,33,39,24,31,24,44,47,36.5,35.75,146,143
16,50,36,30,30,32,32,27,51,30,27,50,51,36.5,35.5,146,142
17,38,29,30,49,43,36,33,32,29,32,49,43,36.5,36.0,146,144
18,28,29,45,36,23,43,40,38,28,23,45,43,34.5,36.0,138,144
19,44,33,43,25,13,29,55,50,25,13,44,55,36.25,36.75,145,147
20,36,39,39,32,27,32,33,52,32,27,39,52,36.5,36.0,146,144
21,35,45,27,37,38,10,41,50,27,10,45,50,36.0,34.75,144,139
22,44,31,51,17,50,31,36,27,17,27,51,50,35.75,36.0,143,144
23,37,41,32,34,38,36,48,23,32,23,41,48,36.0,36.25,144,145
24,24,41,38,40,43,27,37,38,24,27,41,43,35.75,36.25,143,145
25,43,26,40,36,42,29,27,46,26,27,43,46,36.25,36.0,145,144
26,43,38,38,24,50,29,33,30,24,29,43,50,35.75,35.5,143,142
27,36,36,50,18,28,27,45,43,18,27,50,45,35.0,35.75,140,143
28,33,23,42,48,53,33,28,18,23,18,48,53,36.5,33.0,146,132
29,47,46,30,22,31,28,41,44,22,28,47,44,36.25,36.0,145,144
30,41,27,30,31,41,40,42,23,27,23,41,42,32.25,36.5,129,146
31,44,37,39,25,36,40,30,36,25,30,44,40,36.25,35.5,145,142
32,15,33,57,38,38,30,33,43,15,30,57,43,35.75,36.0,143,144
33,48,36,32,30,41,37,36,32,30,32,48,41,36.5,36.5,146,146
34,46,31,23,45,54,21,31,38,23,21,46,54,36.25,36.0,145,144
35,54,17,42,29,44,26,42,35,17,26,54,44,35.5,36.75,142,147
36,50,29,33,29,34,36,33,44,29,33,50,44,35.25,36.75,141,147
37,30,21,38,46,39,37,35,34,21,34,46,39,33.75,36.25,135,145
38,43,34,32,32,59,20,20,42,32,20,43,59,35.25,35.25,141,141
39,43,43,26,30,30,44,24,33,26,24,43,44,35.5,32.75,142,131
40,43,47,16,40,25,30,33,55,16,25,47,55,36.5,35.75,146,143
41,47,31,25,33,32,37,28,47,25,28,47,47,34.0,36.0,136,144
42,44,34,34,32,35,25,36,48,32,25,44,48,36.0,36.0,144,144
43,49,26,29,39,32,30,39,39,26,30,49,39,35.75,35.0,143,140
44,41,28,29,44,43,42,35,26,28,26,44,43,35.5,36.5,142,146
45,32,24,34,51,27,36,31,46,24,27,51,46,35.25,35.0,141,140
46,66,16,12,41,39,29,44,28,12,28,66,44,33.75,35.0,135,140
47,45,33,18,45,46,40,27,31,18,27,45,46,35.25,36.0,141,144
48,37,32,41,34,35,13,46,49,32,13,41,49,36.0,35.75,144,143
49,41,13,46,45,57,51,25,11,13,11,46,57,36.25,36.0,145,144
50,25,18,30,66,17,39,32,57,18,17,66,57,34.75,36.25,139,145
51,39,25,42,36,29,30,38,47,25,29,42,47,35.5,36.0,142,144
52,23,24,50,41,34,49,27,34,23,27,50,49,34.5,36.0,138,144
53,46,33,29,32,31,42,41,32,29,31,46,42,35.0,36.5,140,146
54,35,37,40,26,54,33,30,26,26,26,40,54,34.5,35.75,138,143
55,37,20,39,51,47,26,34,37,20,26,51,47,36.75,36.0,147,144
56,33,34,46,31,26,32,50,39,31,26,46,50,36.0,36.75,144,147
57,34,45,22,42,45,33,34,35,22,33,45,45,35.75,36.75,143,147
58,47,37,29,30,22,43,33,41,29,22,47,43,35.75,34.75,143,139
59,36,38,31,40,44,23,35,33,31,23,40,44,36.25,33.75,145,135
60,49,32,28,36,44,29,21,51,28,21,49,51,36.25,36.25,145,145
61,30,32,28,51,47,35,29,35,28,29,51,47,35.25,36.5,141,146
62,37,49,27,30,32,42,16,52,27,16,49,52,35.75,35.5,143,142
63,33,29,38,40,25,46,36,37,29,25,40,46,35.0,36.0,140,144
64,32,32,48,34,26,45,22,48,32,22,48,48,36.5,35.25,146,141
65,28,30,38,42,41,16,37,45,28,16,42,45,34.5,34.75,138,139
66,28,47,51,19,30,32,30,54,19,30,51,54,36.25,36.5,145,146
67,35,32,33,46,45,28,27,42,32,27,46,45,36.5,35.5,146,142
68,52,34,35,24,29,23,52,41,24,23,52,52,36.25,36.25,145,145
69,23,42,30,50,48,34,39,23,23,23,50,48,36.25,36.0,145,144
70,17,46,55,28,55,18,47,23,17,18,55,55,36.5,35.75,146,143
71,33,45,36,30,55,27,41,20,30,20,45,55,36.0,35.75,144,143
72,28,30,50,36,41,36,21,45,28,21,50,45,36.0,35.75,144,143
73,31,43,33,36,43,46,34,23,31,23,43,46,35.75,36.5,143,146
74,24,47,41,33,38,21,44,41,24,21,47,44,36.25,36.0,145,144
75,18,45,38,45,47,20,52,23,18,20,45,52,36.5,35.5,146,142
76,35,44,25,39,19,30,51,44,25,19,44,51,35.75,36.0,143,144
77,34,41,25,42,51,26,33,35,25,26,42,51,35.5,36.25,142,145
78,52,26,23,40,20,26,43,53,23,20,52,53,35.25,35.5,141,142
79,49,30,31,33,24,28,46,46,30,24,49,46,35.75,36.0,143,144
80,19,36,44,43,66,13,24,35,19,13,44,66,35.5,34.5,142,138
81,32,26,42,45,18,53,35,32,26,18,45,53,36.25,34.5,145,138
82,29,40,53,24,24,26,46,46,24,24,53,46,36.5,35.5,146,142
83,34,32,20,61,41,50,27,25,20,25,61,50,36.75,35.75,147,143
84,27,39,34,42,33,46,23,42,27,23,42,46,35.5,36.0,142,144
85,32,31,29,48,38,30,28,47,29,28,48,47,35.0,35.75,140,143
86,40,38,30,30,40,20,35,50,30,20,40,50,34.5,36.25,138,145
87,20,36,32,55,23,29,45,50,20,23,55,50,35.75,36.75,143,147
88,28,18,49,48,35,52,30,30,18,30,49,52,35.75,36.75,143,147
89,30,49,43,22,41,31,35,34,22,31,49,41,36.0,35.25,144,141
90,35,43,34,34,46,27,39,29,34,27,43,46,36.5,35.25,146,141
91,46,32,34,25,33,37,43,31,25,31,46,43,34.25,36.0,137,144
92,50,38,37,21,51,36,26,33,21,26,50,51,36.5,36.5,146,146
93,18,34,55,36,38,29,53,26,18,26,55,53,35.75,36.5,143,146
94,23,27,40,56,36,43,23,38,23,23,56,43,36.5,35.0,146,140
95,58,36,21,30,30,28,50,36,21,28,58,50,36.25,36.0,145,144
96,48,44,25,24,29,26,59,25,24,25,48,59,35.25,34.75,141,139
97,59,15,18,48,34,59,14,39,15,14,59,59,35.0,36.5,140,146
98,41,42,18,41,37,35,34,37,18,34,42,37,35.5,35.75,142,143
99,43,19,33,44,34,31,49,30,19,30,44,49,34.75,36.0,139,144
