replicate,m0,m1,m2,m3,b0,b1,b2,b3,mMinimumScore,bMinimumScore,mMaximumScore,bMaximumScore,mAverageOfScores,bAverageOfScores,mSumOfScores,bSumOfScores
0,38,27,33,51,29,51,48,20,27,20,51,51,37.25,37.0,149,148
1,41,50,21,33,36,23,37,49,21,23,50,49,36.25,36.25,145,145
2,34,40,48,26,26,31,40,48,26,26,48,48,37.0,36.25,148,145
3,28,30,54,34,48,32,31,36,28,31,54,48,36.5,36.75,146,147
4,37,38,36,31,37,41,43,27,31,27,38,43,35.5,37.0,142,148
5,39,39,29,40,53,29,35,32,29,29,40,53,36.75,37.25,147,149
6,26,30,47,42,42,34,25,46,26,25,47,46,36.25,36.75,145,147
7,40,40,28,40,47,31,29,42,28,29,40,47,37.0,37.25,148,149
8,42,34,24,46,30,41,33,43,24,30,46,43,36.5,36.75,146,147
9,47,31,28,39,39,35,37,32,28,32,47,39,36.25,35.75,145,143
10,29,40,43,35,37,38,27,45,29,27,43,45,36.75,36.75,147,147
11,45,37,33,29,35,45,32,30,29,30,45,45,36.0,35.5,144,142
12,37,42,30,38,45,30,24,48,30,24,42,48,36.75,36.75,147,147
13,41,35,29,41,22,30,56,40,29,22,41,56,36.5,37.0,146,148
14,41,34,32,42,32,35,30,49,32,30,42,49,37.25,36.5,149,146
15,26,62,26,32,31,39,33,43,26,31,62,43,36.5,36.5,146,146
16,22,47,39,40,22,31,53,33,22,22,47,53,37.0,34.75,148,139
17,26,43,29,47,47,30,39,32,26,30,47,47,36.25,37.0,145,148
18,46,36,37,29,61,38,28,21,29,21,46,61,37.0,37.0,148,148
19,34,25,35,54,46,39,32,30,25,30,54,46,37.0,36.75,148,147
20,29,46,49,24,31,34,47,36,24,31,49,47,37.0,37.0,148,148
21,42,35,29,42,27,47,19,56,29,19,42,56,37.0,37.25,148,149
22,38,35,42,34,43,45,39,19,34,19,42,45,37.25,36.5,149,146
23,36,45,30,33,47,21,32,49,30,21,45,49,36.0,37.25,144,149
24,39,29,44,34,39,45,29,35,29,29,44,45,36.5,37.0,146,148
25,31,29,40,47,39,35,38,36,29,35,47,39,36.75,37.0,147,148
26,38,38,34,38,26,37,41,39,34,26,38,41,37.0,35.75,148,143
27,31,58,32,26,41,44,20,40,26,20,58,44,36.75,36.25,147,145
28,37,40,35,36,29,32,42,39,35,29,40,42,37.0,35.5,148,142
29,41,39,31,36,32,42,50,22,31,22,41,50,36.75,36.5,147,146
30,48,40,33,27,45,42,33,28,27,28,48,45,37.0,37.0,148,148
31,36,51,31,30,44,33,52,18,30,18,51,52,37.0,36.75,148,147
32,38,43,46,21,40,30,33,46,21,30,46,46,37.0,37.25,148,149
33,42,58,21,16,40,42,34,33,16,33,58,42,34.25,37.25,137,149
34,32,47,38,29,41,30,40,37,29,30,47,41,36.5,37.0,146,148
35,42,41,33,33,26,35,45,43,33,26,42,45,37.25,37.25,149,149
36,45,39,40,24,44,18,49,38,24,18,45,49,37.0,37.25,148,149
37,35,48,29,37,47,27,38,36,29,27,48,47,37.25,37.0,149,148
38,26,46,27,45,29,32,28,58,26,28,46,58,36.0,36.75,144,147
39,43,25,35,44,44,37,33,35,25,33,44,44,36.75,37.25,147,149
40,42,39,30,38,42,34,34,39,30,34,42,42,37.25,37.25,149,149
41,28,35,37,49,31,37,43,36,28,31,49,43,37.25,36.75,149,147
42,18,62,32,35,36,21,52,40,18,21,62,52,36.75,37.25,147,149
43,28,47,41,30,25,37,39,47,28,25,47,47,36.5,37.0,146,148
44,35,46,34,34,22,27,47,52,34,22,46,52,37.25,37.0,149,148
45,39,36,55,19,20,47,42,39,19,20,55,47,37.25,37.0,149,148
46,43,39,28,39,33,39,40,35,28,33,43,40,37.25,36.75,149,147
47,45,45,28,30,46,30,40,30,28,30,45,46,37.0,36.5,148,146
48,37,49,31,29,19,37,47,45,29,19,49,47,36.5,37.0,146,148
49,38,48,20,43,35,40,25,45,20,25,48,45,37.25,36.25,149,145
50,22,50,23,53,39,33,37,36,22,33,53,39,37.0,36.25,148,145
51,39,43,45,21,20,45,42,40,21,20,45,45,37.0,36.75,148,147
52,44,31,37,35,40,45,40,20,31,20,44,45,36.75,36.25,147,145
53,52,39,27,30,37,35,32,40,27,32,52,40,37.0,36.0,148,144
54,29,36,48,35,23,40,38,41,29,23,48,41,37.0,35.5,148,142
55,32,32,48,37,30,55,28,36,32,28,48,55,37.25,37.25,149,149
56,29,43,48,26,35,43,28,42,26,28,48,43,36.5,37.0,146,148
57,40,34,34,36,31,23,56,39,34,23,40,56,36.0,37.25,144,149
58,36,34,37,38,47,33,25,44,34,25,38,47,36.25,37.25,145,149
59,33,47,22,47,46,39,35,29,22,29,47,46,37.25,37.25,149,149
60,38,30,53,23,30,59,28,30,23,28,53,59,36.0,36.75,144,147
61,33,53,25,37,39,44,27,34,25,27,53,44,37.0,36.0,148,144
62,29,46,34,37,24,29,52,38,29,24,46,52,36.5,35.75,146,143
63,55,26,24,42,55,32,36,22,24,22,55,55,36.75,36.25,147,145
64,31,36,48,32,42,53,20,33,31,20,48,53,36.75,37.0,147,148
65,31,34,44,40,55,31,32,28,31,28,44,55,37.25,36.5,149,146
66,32,44,29,40,38,39,38,30,29,30,44,39,36.25,36.25,145,145
67,34,41,46,25,38,42,37,32,25,32,46,42,36.5,37.25,146,149
68,43,39,26,41,25,35,31,55,26,25,43,55,37.25,36.5,149,146
69,26,40,40,41,42,42,35,29,26,29,41,42,36.75,37.0,147,148
70,25,50,41,32,31,45,33,36,25,31,50,45,37.0,36.25,148,145
71,35,24,51,39,40,37,38,33,24,33,51,40,37.25,37.0,149,148
72,43,37,32,36,46,44,34,20,32,20,43,46,37.0,36.0,148,144
73,44,33,44,28,29,28,43,42,28,28,44,43,37.25,35.5,149,142
74,37,39,34,37,35,35,45,31,34,31,39,45,36.75,36.5,147,146
75,36,42,30,37,42,31,42,27,30,27,42,42,36.25,35.5,145,142
76,29,49,27,44,40,41,39,24,27,24,49,41,37.25,36.0,149,144
77,36,39,33,24,37,41,38,33,24,33,39,41,33.0,37.25,132,149
78,21,26,63,35,37,45,24,42,21,24,63,45,36.25,37.0,145,148
79,28,35,42,44,33,37,40,33,28,33,44,40,37.25,35.75,149,143
80,35,32,35,46,32,38,52,23,32,23,46,52,37.0,36.25,148,145
81,29,32,51,36,48,45,24,28,29,24,51,48,37.0,36.25,148,145
82,37,32,38,40,35,31,31,47,32,31,40,47,36.75,36.0,147,144
83,33,38,49,27,44,33,38,34,27,33,49,44,36.75,37.25,147,149
84,30,50,49,19,47,24,39,39,19,24,50,47,37.0,37.25,148,149
85,32,31,41,45,53,34,29,32,31,29,45,53,37.25,37.0,149,148
86,49,32,31,33,45,29,44,29,31,29,49,45,36.25,36.75,145,147
87,36,43,43,23,49,34,34,31,23,31,43,49,36.25,37.0,145,148
88,40,32,27,41,39,43,26,41,27,26,41,43,35.0,37.25,140,149
89,26,29,55,38,34,43,49,23,26,23,55,49,37.0,37.25,148,149
90,31,35,48,32,36,23,44,43,31,23,48,44,36.5,36.5,146,146
