replicate,m0,m1,m2,m3,b0,b1,b2,b3,mMinimumScore,bMinimumScore,mMaximumScore,bMaximumScore,mAverageOfScores,bAverageOfScores,mSumOfScores,bSumOfScores
0,42,31,34,40,41,36,54,15,31,15,42,54,36.75,36.5,147,146
1,44,30,44,28,23,44,33,44,28,23,44,44,36.5,36.0,146,144
2,33,55,43,16,41,35,33,37,16,33,55,41,36.75,36.5,147,146
3,45,40,28,34,18,33,51,45,28,18,45,51,36.75,36.75,147,147
4,46,47,17,31,36,18,44,51,17,18,47,51,35.25,37.25,141,149
5,34,41,41,32,35,40,45,28,32,28,41,45,37.0,37.0,148,148
6,42,26,57,22,25,34,49,40,22,25,57,49,36.75,37.0,147,148
7,28,42,45,30,22,54,38,32,28,22,45,54,36.25,36.5,145,146
8,42,29,45,25,23,61,27,36,25,23,45,61,35.25,36.75,141,147
9,27,38,37,46,51,26,18,40,27,18,46,51,37.0,33.75,148,135
10,25,31,47,42,36,36,27,45,25,27,47,45,36.25,36.0,145,144
11,36,39,38,35,45,36,38,25,35,25,39,45,37.0,36.0,148,144
12,59,32,31,24,26,41,39,42,24,26,59,42,36.5,37.0,146,148
13,44,33,22,49,61,31,26,28,22,26,49,61,37.0,36.5,148,146
14,43,34,33,38,25,46,43,35,33,25,43,46,37.0,37.25,148,149
15,45,38,37,26,26,16,66,38,26,16,45,66,36.5,36.5,146,146
16,37,26,28,55,25,39,26,59,26,25,55,59,36.5,37.25,146,149
17,40,50,33,26,33,35,43,36,26,33,50,43,37.25,36.75,149,147
18,53,48,26,21,40,18,30,61,21,18,53,61,37.0,37.25,148,149
19,28,58,30,26,46,25,28,46,26,25,58,46,35.5,36.25,142,145
20,39,44,34,31,63,9,37,32,31,9,44,63,37.0,35.25,148,141
21,49,29,38,33,34,32,27,56,29,27,49,56,37.25,37.25,149,149
22,27,43,41,38,42,49,33,22,27,22,43,49,37.25,36.5,149,146
23,30,34,47,38,35,52,35,26,30,26,47,52,37.25,37.0,149,148
24,34,45,25,42,24,29,46,47,25,24,45,47,36.5,36.5,146,146
25,41,27,36,44,35,47,23,41,27,23,44,47,37.0,36.5,148,146
26,50,31,33,32,39,64,16,29,31,16,50,64,36.5,37.0,146,148
27,35,22,53,39,36,47,36,25,22,25,53,47,37.25,36.0,149,144
28,27,38,39,42,62,31,32,23,27,23,42,62,36.5,37.0,146,148
29,54,30,32,31,37,32,53,27,30,27,54,53,36.75,37.25,147,149
30,35,31,44,36,41,44,40,23,31,23,44,44,36.5,37.0,146,148
31,35,41,35,35,40,41,26,41,35,26,41,41,36.5,37.0,146,148
32,35,45,37,32,13,52,52,31,32,13,45,52,37.25,37.0,149,148
33,36,43,31,36,45,32,46,24,31,24,43,46,36.5,36.75,146,147
34,29,30,48,39,41,25,47,35,29,25,48,47,36.5,37.0,146,148
35,54,19,29,46,30,16,54,47,19,16,54,54,37.0,36.75,148,147
36,27,43,46,23,30,45,33,41,23,30,46,45,34.75,37.25,139,149
37,29,30,39,47,56,20,38,33,29,20,47,56,36.25,36.75,145,147
38,53,38,29,28,47,30,40,28,28,28,53,47,37.0,36.25,148,145
39,22,37,57,30,31,42,46,30,22,30,57,46,36.5,37.25,146,149
40,31,45,42,28,41,31,35,38,28,31,45,41,36.5,36.25,146,145
41,15,43,38,50,34,58,27,29,15,27,50,58,36.5,37.0,146,148
42,23,38,39,47,38,33,39,39,23,33,47,39,36.75,37.25,147,149
