replicate,m0,m1,m2,m3,b0,b1,b2,b3
0,38,38,21,42,29,48,42,22
1,44,20,24,45,27,29,47,28
2,47,34,27,21,32,43,37,21
3,25,36,30,40,40,28,38,35
4,50,32,27,29,40,25,34,29
5,34,22,41,31,33,29,30,43
6,26,37,29,27,41,37,40,18
7,23,49,16,38,30,33,37,36
8,30,36,29,35,43,22,30,39
9,29,41,26,40,39,35,36,25
10,28,32,43,24,27,31,38,32
11,45,28,23,42,40,35,24,35
12,20,39,24,15,34,36,29,25
13,43,21,36,31,33,44,20,37
14,27,37,23,46,26,36,35,33
15,22,44,22,46,19,34,32,54
16,23,31,31,37,22,34,30,38
17,29,24,40,33,43,32,23,32
18,35,37,22,41,33,25,35,35
19,32,31,40,37,17,50,26,20
20,16,43,35,27,27,29,37,37
21,17,36,42,39,33,26,39,37
22,31,25,35,35,29,33,42,23
23,25,24,41,32,39,31,29,28
24,18,34,34,44,35,26,28,29
25,24,28,29,53,35,45,36,27
26,26,41,49,26,45,35,29,26
27,32,47,43,17,40,32,26,29
28,27,29,35,38,21,32,39,38
29,27,23,32,41,27,46,22,36
30,39,31,33,25,37,32,36,33
31,19,28,18,54,36,29,39,29
32,26,38,35,33,23,31,48,28
33,43,38,28,28,33,20,27,60
34,36,23,28,32,38,42,20,32
35,35,33,40,31,32,18,32,35
36,22,31,40,42,46,26,33,28
37,27,25,47,32,27,23,42,41
38,32,30,32,35,38,26,23,37
39,40,34,24,27,26,33,37,34
40,35,16,39,45,27,35,35,33
41,29,32,31,33,19,40,36,24
42,20,35,40,40,32,17,24,40
43,20,33,28,49,32,26,32,46
44,33,32,24,38,46,25,28,31
45,16,47,41,30,35,42,13,42
46,26,36,40,35,28,20,36,49
47,27,29,44,27,25,45,43,25
48,31,26,21,48,52,33,22,21
49,24,29,35,45,36,24,38,37
50,19,38,33,45,27,40,50,19
51,39,12,41,29,22,34,28,37
52,35,32,29,37,38,26,30,47
53,28,34,39,27,31,27,48,27
54,39,37,21,41,44,32,21,37
55,40,26,30,21,41,36,36,25
56,34,46,23,24,27,31,56,16
57,39,48,36,21,24,26,47,28
58,30,45,13,34,35,29,34,37
59,40,29,35,35,32,31,29,40
60,28,32,32,24,36,27,36,21
61,37,38,30,28,34,32,26,36
62,34,24,41,39,24,35,37,35
63,37,35,42,20,27,38,38,30
64,56,21,23,36,20,30,50,38
65,50,34,36,16,42,24,33,27
66,30,40,19,46,24,39,29,29
67,47,14,31,33,28,26,32,44
68,28,17,37,52,31,24,50,33
69,22,46,25,44,30,22,42,37
70,20,42,38,26,48,26,37,17
71,20,33,35,39,22,28,41,17
72,33,25,45,22,32,48,17,29
73,26,29,38,50,36,29,39,27
74,37,33,40,23,35,27,29,47
75,23,22,50,20,24,24,51,30
76,18,51,23,32,29,30,27,35
77,24,33,37,39,33,53,21,25
78,37,34,35,33,45,34,27,20
79,35,39,38,22,17,36,29,50
80,56,34,20,27,38,19,37,36
81,33,31,24,47,54,26,34,22
82,40,33,40,21,26,46,27,43
83,46,35,26,24,40,30,35,31
84,16,25,55,37,27,41,31,33
85,23,38,11,36,31,37,45,16
86,36,24,36,34,19,37,42,37
87,23,42,33,33,26,37,39,30
88,26,16,46,39,46,54,22,15
89,23,36,40,35,41,24,30,29
90,34,45,16,34,29,42,24,38
91,37,36,25,41,13,58,27,15
92,31,33,28,40,40,45,20,29
93,30,33,22,42,30,37,35,32
94,45,34,20,37,35,23,10,53
95,25,33,28,47,29,31,31,28
96,30,39,27,33,20,32,32,40
97,23,43,32,29,31,40,34,22
98,37,21,36,33,25,38,33,39
99,40,25,16,45,31,47,34,21
