replicate,m0,m1,m2,m3,b0,b1,b2,b3
0,37,19,38,52,37,43,19,48
1,42,31,31,41,27,39,31,49
2,38,37,40,33,32,32,34,50
3,42,47,21,38,26,43,35,41
4,39,18,39,52,31,37,40,37
5,24,42,26,54,32,50,13,51
6,43,39,22,44,33,38,38,39
7,37,45,22,42,39,46,21,42
8,37,39,26,44,30,50,21,45
9,33,40,35,39,35,46,40,22
10,31,51,33,33,27,34,48,37
11,27,45,45,30,34,43,41,29
12,28,41,47,32,40,48,33,25
13,22,39,40,47,28,32,36,50
14,47,33,46,21,39,27,47,34
15,39,37,22,48,40,39,26,43
16,41,25,36,42,32,43,36,35
17,45,30,23,47,20,36,46,44
18,39,26,42,39,40,30,35,40
19,25,50,38,33,46,24,41,37
20,29,39,33,44,40,48,31,29
21,37,39,40,29,37,29,36,43
22,40,36,39,33,28,39,49,26
23,46,27,33,37,40,37,37,34
24,35,37,32,42,50,43,32,21
25,27,35,42,43,47,37,24,35
26,45,26,25,50,35,29,39,40
27,48,44,15,40,36,20,39,52
28,26,49,30,41,32,46,24,46
29,27,59,13,48,38,38,35,36
30,42,37,30,39,39,27,32,49
31,29,49,30,40,37,32,38,41
32,41,23,33,47,34,31,39,43
33,39,37,43,27,35,32,48,30
34,32,44,29,38,43,27,28,50
35,50,20,37,36,53,14,27,53
36,35,35,24,52,55,37,34,21
37,19,54,38,36,37,37,38,36
38,25,51,25,43,34,56,34,24
39,50,34,31,33,25,52,38,32
40,42,27,29,48,20,45,43,35
41,20,46,42,40,49,25,44,30
42,10,40,50,48,21,42,39,46
43,36,31,46,33,42,29,46,27
44,39,42,28,37,45,44,34,25
45,47,28,21,44,22,45,41,40
46,41,37,32,35,48,31,39,28
47,45,20,49,33,33,42,35,37
48,52,29,29,38,36,38,35,39
49,26,34,42,44,38,42,28,38
50,32,46,35,35,46,34,31,35
51,29,49,39,31,32,37,54,25
52,54,27,28,38,37,51,30,30
53,25,60,28,30,42,37,28,36
54,28,48,32,38,37,28,40,40
55,35,26,54,32,38,45,23,39
56,48,37,37,22,48,29,20,49
57,29,45,37,37,21,22,56,48
58,27,30,53,38,33,40,41,32
59,20,37,47,37,48,36,35,28
60,41,29,35,37,19,29,50,45
61,34,36,35,41,42,25,45,31
62,45,30,30,38,40,40,43,24
63,41,34,40,31,13,62,33,40
64,41,41,37,28,33,43,28,43
65,40,21,40,38,37,41,36,27
66,47,32,41,28,32,39,46,31
67,46,29,34,38,29,39,44,36
68,39,37,27,44,29,33,45,33
69,43,34,25,45,33,53,24,36
70,27,46,20,52,46,38,19,45
71,26,41,39,41,15,45,37,29
72,19,28,56,43,38,38,36,35
73,21,50,42,34,34,31,47,33
74,40,31,33,42,34,40,26,46
75,48,34,21,43,34,51,31,31
76,34,39,43,32,21,57,40,20
77,36,38,23,50,29,23,48,46
78,14,17,58,53,40,45,31,29
79,36,32,49,29,44,38,36,29
80,31,39,21,41,34,35,41,37
81,24,33,47,39,25,53,40,29
82,51,31,33,30,48,25,25,47
83,37,36,44,31,37,26,36,48
84,40,32,48,28,50,44,24,30
85,30,45,58,15,38,39,21,45
86,34,38,23,53,46,47,16,37
87,47,31,33,36,50,50,19,26
88,33,45,38,27,51,30,36,30
89,42,36,30,40,25,31,42,46
90,41,28,50,27,49,38,28,33
91,50,24,31,39,62,20,38,27
92,41,40,35,29,45,39,33,30
93,52,26,37,32,40,52,21,29
94,42,45,38,23,37,31,40,39
95,43,39,30,33,31,40,30,45
96,48,27,42,31,27,33,40,45
97,46,37,34,30,41,38,34,33
98,35,43,26,42,33,30,44,37
99,31,41,16,53,41,35,25,43
