replicate,m0,m1,m2,m3,b0,b1,b2,b3,mMinimumScore,bMinimumScore,mMaximumScore,bMaximumScore,mAverageOfScores,bAverageOfScores,mSumOfScores,bSumOfScores
0,41,34,28,46,54,17,31,47,28,17,46,54,37.25,37.25,149,149
1,19,53,40,37,50,37,33,29,19,29,53,50,37.25,37.25,149,149
2,30,37,44,34,40,25,23,48,30,23,44,48,36.25,34.0,145,136
3,30,30,40,47,26,25,42,53,30,25,47,53,36.75,36.5,147,146
4,26,39,33,47,27,36,45,38,26,27,47,45,36.25,36.5,145,146
5,38,36,54,22,40,42,33,33,22,33,54,42,37.5,37.0,150,148
6,27,25,41,54,39,49,27,34,25,27,54,49,36.75,37.25,147,149
7,31,39,45,34,54,29,17,38,31,17,45,54,37.25,34.5,149,138
8,37,29,33,47,26,29,47,45,29,26,47,47,36.5,36.75,146,147
9,40,51,31,25,31,55,25,31,25,25,51,55,36.75,35.5,147,142
10,38,40,30,41,52,15,42,41,30,15,41,52,37.25,37.5,149,150
11,36,34,40,39,37,55,32,25,34,25,40,55,37.25,37.25,149,149
12,38,21,44,47,21,37,44,46,21,21,47,46,37.5,37.0,150,148
13,33,34,25,57,37,38,29,42,25,29,57,42,37.25,36.5,149,146
14,25,37,43,45,42,25,46,36,25,25,45,46,37.5,37.25,150,149
15,28,45,28,46,53,20,32,41,28,20,46,53,36.75,36.5,147,146
16,35,37,30,48,30,32,42,45,30,30,48,45,37.5,37.25,150,149
17,49,41,34,26,34,42,50,24,26,24,49,50,37.5,37.5,150,150
18,31,32,43,44,33,27,43,47,31,27,44,47,37.5,37.5,150,150
19,29,40,27,50,33,45,26,43,27,26,50,45,36.5,36.75,146,147
20,41,31,43,34,51,43,20,35,31,20,43,51,37.25,37.25,149,149
21,33,38,55,23,35,34,40,39,23,34,55,40,37.25,37.0,149,148
22,24,36,38,52,32,21,53,42,24,21,52,53,37.5,37.0,150,148
23,41,26,34,46,30,41,43,30,26,30,46,43,36.75,36.0,147,144
24,41,43,40,24,21,16,51,62,24,16,43,62,37.0,37.5,148,150
25,27,24,34,62,33,31,37,48,24,31,62,48,36.75,37.25,147,149
26,33,35,37,42,22,42,31,55,33,22,42,55,36.75,37.5,147,150
27,43,26,29,51,16,54,43,35,26,16,51,54,37.25,37.0,149,148
28,28,40,45,37,43,43,37,26,28,26,45,43,37.5,37.25,150,149
29,38,36,31,41,36,44,39,30,31,30,41,44,36.5,37.25,146,149
30,36,24,32,51,39,28,40,37,24,28,51,40,35.75,36.0,143,144
31,35,42,36,36,43,39,33,32,35,32,42,43,37.25,36.75,149,147
32,52,40,37,21,26,39,50,35,21,26,52,50,37.5,37.5,150,150
33,30,41,34,42,49,22,35,42,30,22,42,49,36.75,37.0,147,148
34,36,36,30,47,23,29,58,40,30,23,47,58,37.25,37.5,149,150
35,29,46,35,38,36,47,36,31,29,31,46,47,37.0,37.5,148,150
36,33,41,37,37,18,35,53,39,33,18,41,53,37.0,36.25,148,145
37,59,24,32,31,36,37,26,46,24,26,59,46,36.5,36.25,146,145
38,28,24,60,35,42,41,32,28,24,28,60,42,36.75,35.75,147,143
39,38,29,36,47,35,50,36,28,29,28,47,50,37.5,37.25,150,149
40,42,39,30,38,45,49,27,27,30,27,42,49,37.25,37.0,149,148
41,24,19,56,49,37,34,36,36,19,34,56,37,37.0,35.75,148,143
42,38,27,39,43,35,29,43,39,27,29,43,43,36.75,36.5,147,146
43,49,44,36,19,44,43,17,45,19,17,49,45,37.0,37.25,148,149
44,33,56,39,20,32,30,38,49,20,30,56,49,37.0,37.25,148,149
45,44,43,35,26,42,28,43,35,26,28,44,43,37.0,37.0,148,148
46,32,36,36,45,39,29,36,45,32,29,45,45,37.25,37.25,149,149
47,39,26,35,47,42,28,35,43,26,28,47,43,36.75,37.0,147,148
48,22,43,59,26,47,22,42,36,22,22,59,47,37.5,36.75,150,147
49,24,26,54,46,46,24,23,53,24,23,54,53,37.5,36.5,150,146
50,26,42,27,51,41,36,30,42,26,30,51,42,36.5,37.25,146,149
51,43,25,37,41,38,30,51,29,25,29,43,51,36.5,37.0,146,148
52,51,40,24,34,23,34,49,39,24,23,51,49,37.25,36.25,149,145
53,25,46,47,31,32,41,38,38,25,32,47,41,37.25,37.25,149,149
54,36,51,34,26,27,32,54,32,26,27,51,54,36.75,36.25,147,145
55,40,36,33,33,44,35,39,31,33,31,40,44,35.5,37.25,142,149
