replicate,m0,m1,m2,m3,b0,b1,b2,b3,mMinimumScore,bMinimumScore,mMaximumScore,bMaximumScore,mAverageOfScores,bAverageOfScores,mSumOfScores,bSumOfScores
0,41,39,23,45,36,34,50,27,23,27,45,50,37.0,36.75,148,147
1,35,23,51,37,43,39,28,37,23,28,51,43,36.5,36.75,146,147
2,37,28,25,55,50,48,25,23,25,23,55,50,36.25,36.5,145,146
3,37,29,42,40,34,24,49,39,29,24,42,49,37.0,36.5,148,146
4,44,26,34,44,37,27,49,24,26,24,44,49,37.0,34.25,148,137
5,52,43,21,32,39,35,48,26,21,26,52,48,37.0,37.0,148,148
6,42,44,26,35,48,26,41,32,26,26,44,48,36.75,36.75,147,147
7,37,53,36,21,31,35,45,35,21,31,53,45,36.75,36.5,147,146
8,43,16,38,47,47,35,21,38,16,21,47,47,36.0,35.25,144,141
9,40,28,46,33,43,36,31,37,28,31,46,43,36.75,36.75,147,147
10,53,47,20,27,48,29,37,32,20,29,53,48,36.75,36.5,147,146
11,32,38,35,42,37,34,41,35,32,34,42,41,36.75,36.75,147,147
12,32,38,39,39,38,58,32,19,32,19,39,58,37.0,36.75,148,147
13,35,35,50,27,51,33,20,38,27,20,50,51,36.75,35.5,147,142
14,53,44,32,15,42,42,29,35,15,29,53,42,36.0,37.0,144,148
15,29,33,40,40,61,20,33,32,29,20,40,61,35.5,36.5,142,146
16,22,41,20,60,33,36,52,24,20,24,60,52,35.75,36.25,143,145
17,44,38,37,26,37,44,25,39,26,25,44,44,36.25,36.25,145,145
18,32,45,26,38,39,48,28,33,26,28,45,48,35.25,37.0,141,148
19,42,38,34,33,45,38,35,28,33,28,42,45,36.75,36.5,147,146
20,36,43,34,35,36,49,25,37,34,25,43,49,37.0,36.75,148,147
21,33,45,17,51,37,35,37,34,17,34,51,37,36.5,35.75,146,143
22,49,35,28,36,55,28,23,40,28,23,49,55,37.0,36.5,148,146
23,28,46,42,32,39,34,30,45,28,30,46,45,37.0,37.0,148,148
24,26,40,47,35,42,42,26,32,26,26,47,42,37.0,35.5,148,142
25,38,28,43,37,48,45,29,25,28,25,43,48,36.5,36.75,146,147
26,57,18,35,36,35,43,23,47,18,23,57,47,36.5,37.0,146,148
27,41,24,42,39,30,36,45,37,24,30,42,45,36.5,37.0,146,148
28,41,39,27,39,37,36,49,22,27,22,41,49,36.5,36.0,146,144
29,24,16,42,64,38,42,28,40,16,28,64,42,36.5,37.0,146,148
30,33,40,41,33,39,32,38,38,33,32,41,39,36.75,36.75,147,147
31,26,43,32,39,37,26,47,37,26,26,43,47,35.0,36.75,140,147
32,30,46,23,47,64,16,21,44,23,16,47,64,36.5,36.25,146,145
33,48,36,28,34,55,31,26,31,28,26,48,55,36.5,35.75,146,143
34,46,16,47,38,33,33,48,34,16,33,47,48,36.75,37.0,147,148
35,39,29,41,38,41,39,29,39,29,29,41,41,36.75,37.0,147,148
36,25,32,40,50,28,37,39,42,25,28,50,42,36.75,36.5,147,146
37,34,45,20,48,25,41,49,31,20,25,48,49,36.75,36.5,147,146
38,37,35,39,35,34,42,30,42,35,30,39,42,36.5,37.0,146,148
39,44,39,26,35,34,36,43,34,26,34,44,43,36.0,36.75,144,147
40,50,36,24,35,36,36,32,44,24,32,50,44,36.25,37.0,145,148
41,23,36,43,39,32,35,32,47,23,32,43,47,35.25,36.5,141,146
42,29,38,40,40,51,31,29,35,29,29,40,51,36.75,36.5,147,146
43,28,37,54,24,33,38,28,46,24,28,54,46,35.75,36.25,143,145
44,33,41,34,38,36,40,27,44,33,27,41,44,36.5,36.75,146,147
45,24,43,35,45,42,52,25,29,24,25,45,52,36.75,37.0,147,148
46,34,35,33,46,56,36,26,26,33,26,46,56,37.0,36.0,148,144
47,40,35,39,34,43,35,30,38,34,30,40,43,37.0,36.5,148,146
48,31,48,32,36,33,30,40,44,31,30,48,44,36.75,36.75,147,147
49,40,24,30,50,29,34,32,51,24,29,50,51,36.0,36.5,144,146
50,49,37,23,39,60,37,30,21,23,21,49,60,37.0,37.0,148,148
51,35,50,28,33,33,43,30,34,28,30,50,43,36.5,35.0,146,140
52,25,26,43,53,32,46,22,44,25,22,53,46,36.75,36.0,147,144
53,33,52,35,28,50,29,31,35,28,29,52,50,37.0,36.25,148,145
54,20,33,43,50,38,28,39,42,20,28,50,42,36.5,36.75,146,147
55,30,43,29,44,34,53,13,47,29,13,44,53,36.5,36.75,146,147
56,32,48,48,18,22,34,44,45,18,22,48,45,36.5,36.25,146,145
57,42,33,37,36,38,46,40,24,33,24,42,46,37.0,37.0,148,148
58,46,31,28,42,30,40,31,43,28,30,46,43,36.75,36.0,147,144
59,32,45,33,37,40,42,31,31,32,31,45,42,36.75,36.0,147,144
60,34,42,29,38,38,53,21,36,29,21,42,53,35.75,37.0,143,148
61,47,35,23,43,28,43,40,36,23,28,47,43,37.0,36.75,148,147
62,37,34,40,34,38,32,36,39,34,32,40,39,36.25,36.25,145,145
63,44,18,32,46,42,27,44,34,18,27,46,44,35.0,36.75,140,147
64,28,30,44,46,42,35,42,27,28,27,46,42,37.0,36.5,148,146
65,38,33,31,44,30,42,43,31,31,30,44,43,36.5,36.5,146,146
66,29,43,46,29,53,27,30,37,29,27,46,53,36.75,36.75,147,147
67,52,27,40,28,40,26,50,31,27,26,52,50,36.75,36.75,147,147
68,39,28,44,36,40,45,32,27,28,27,44,45,36.75,36.0,147,144
69,47,28,40,32,33,37,45,33,28,33,47,45,36.75,37.0,147,148
70,40,34,40,33,28,22,43,54,33,22,40,54,36.75,36.75,147,147
71,23,35,45,44,38,48,25,35,23,25,45,48,36.75,36.5,147,146
72,47,41,41,17,56,33,29,27,17,27,47,56,36.5,36.25,146,145
73,35,34,45,32,57,33,17,36,32,17,45,57,36.5,35.75,146,143
74,26,29,35,55,30,25,46,46,26,25,55,46,36.25,36.75,145,147
75,32,30,41,41,15,41,45,46,30,15,41,46,36.0,36.75,144,147
76,29,36,53,28,12,40,45,46,28,12,53,46,36.5,35.75,146,143
77,35,37,41,35,41,47,25,32,35,25,41,47,37.0,36.25,148,145
78,42,44,24,37,39,29,43,37,24,29,44,43,36.75,37.0,147,148
79,49,41,33,25,22,39,42,32,25,22,49,42,37.0,33.75,148,135
80,31,34,37,46,29,36,35,45,31,29,46,45,37.0,36.25,148,145
81,36,27,37,45,40,48,32,27,27,27,45,48,36.25,36.75,145,147
82,35,28,34,50,55,40,34,18,28,18,50,55,36.75,36.75,147,147
83,45,44,22,37,50,33,37,27,22,27,45,50,37.0,36.75,148,147
84,37,23,47,38,40,38,42,26,23,26,47,42,36.25,36.5,145,146
85,43,24,24,54,34,37,41,34,24,34,54,41,36.25,36.5,145,146
86,43,25,34,36,38,35,34,36,25,34,43,38,34.5,35.75,138,143
87,34,31,23,57,42,17,49,39,23,17,57,49,36.25,36.75,145,147
88,29,40,29,47,44,44,37,21,29,21,47,44,36.25,36.5,145,146
89,35,28,42,42,34,20,61,24,28,20,42,61,36.75,34.75,147,139
90,26,43,48,27,22,42,39,44,26,22,48,44,36.0,36.75,144,147
91,24,24,51,47,43,21,44,39,24,21,51,44,36.5,36.75,146,147
92,46,30,39,33,53,25,26,42,30,25,46,53,37.0,36.5,148,146
93,26,35,21,61,16,54,31,45,21,16,61,54,35.75,36.5,143,146
94,51,44,21,31,25,32,36,55,21,25,51,55,36.75,37.0,147,148
95,34,50,30,31,26,36,31,45,30,26,50,45,36.25,34.5,145,138
96,48,40,37,21,44,40,38,25,21,25,48,44,36.5,36.75,146,147
97,25,38,31,52,46,35,47,20,25,20,52,47,36.5,37.0,146,148
98,32,38,40,36,43,34,40,29,32,29,40,43,36.5,36.5,146,146
99,25,56,35,30,37,36,39,33,25,33,56,39,36.5,36.25,146,145
