replicate,m0,m1,m2,m3,b0,b1,b2,b3,mMinimumScore,bMinimumScore,mMaximumScore,bMaximumScore,mAverageOfScores,bAverageOfScores,mSumOfScores,bSumOfScores
0,41,48,23,30,42,45,39,15,23,15,48,45,35.5,35.25,142,141
1,42,32,17,50,33,33,46,30,17,30,50,46,35.25,35.5,141,142
2,44,35,39,22,39,30,36,29,22,29,44,39,35.0,33.5,140,134
3,32,35,37,35,41,17,44,39,32,17,37,44,34.75,35.25,139,141
4,37,44,29,34,45,36,22,41,29,22,44,45,36.0,36.0,144,144
5,31,18,41,43,29,32,41,38,18,29,43,41,33.25,35.0,133,140
6,22,38,43,34,28,37,49,29,22,28,43,49,34.25,35.75,137,143
7,49,37,22,37,48,36,38,24,22,24,49,48,36.25,36.5,145,146
8,29,45,36,32,31,24,51,41,29,24,45,51,35.5,36.75,142,147
9,53,18,34,39,48,33,34,30,18,30,53,48,36.0,36.25,144,145
10,43,26,28,48,27,35,36,28,26,27,48,36,36.25,31.5,145,126
11,42,31,40,27,25,25,30,51,27,25,42,51,35.0,32.75,140,131
12,38,28,36,18,44,40,20,42,18,20,38,44,30.0,36.5,120,146
13,44,43,34,25,41,33,44,25,25,25,44,44,36.5,35.75,146,143
14,29,41,36,42,33,39,23,47,29,23,42,47,37.0,35.5,148,142
15,55,31,36,23,43,29,38,34,23,29,55,43,36.25,36.0,145,144
16,41,49,22,34,46,28,26,43,22,26,49,46,36.5,35.75,146,143
17,28,33,24,55,22,52,25,41,24,22,55,52,35.0,35.0,140,140
18,32,34,41,37,31,31,49,19,32,19,41,49,36.0,32.5,144,130
19,29,36,49,33,34,39,42,29,29,29,49,42,36.75,36.0,147,144
20,40,47,24,33,17,43,41,37,24,17,47,43,36.0,34.5,144,138
21,36,31,40,37,52,23,28,37,31,23,40,52,36.0,35.0,144,140
22,33,46,37,29,27,44,36,39,29,27,46,44,36.25,36.5,145,146
23,35,27,37,45,19,49,25,39,27,19,45,49,36.0,33.0,144,132
24,23,40,46,36,24,49,44,26,23,24,46,49,36.25,35.75,145,143
25,52,26,20,43,32,39,24,37,20,24,52,39,35.25,33.0,141,132
26,21,33,45,30,37,39,41,29,21,29,45,41,32.25,36.5,129,146
27,30,30,50,35,49,36,39,21,30,21,50,49,36.25,36.25,145,145
28,31,47,48,22,44,47,28,25,22,25,48,47,37.0,36.0,148,144
29,22,51,47,25,33,33,40,27,22,27,51,40,36.25,33.25,145,133
30,32,39,26,45,44,34,26,41,26,26,45,44,35.5,36.25,142,145
31,41,33,30,40,45,24,39,36,30,24,41,45,36.0,36.0,144,144
32,39,26,36,43,51,40,22,34,26,22,43,51,36.0,36.75,144,147
33,30,38,52,25,35,44,22,43,25,22,52,44,36.25,36.0,145,144
34,36,29,44,30,33,37,41,29,29,29,44,41,34.75,35.0,139,140
35,34,34,51,29,29,47,40,27,29,27,51,47,37.0,35.75,148,143
36,36,34,31,45,52,21,34,37,31,21,45,52,36.5,36.0,146,144
37,33,41,33,35,18,32,37,52,33,18,41,52,35.5,34.75,142,139
38,35,49,31,31,44,28,38,36,31,28,49,44,36.5,36.5,146,146
39,22,37,44,35,34,45,31,28,22,28,44,45,34.5,34.5,138,138
40,50,32,44,21,31,36,45,31,21,31,50,45,36.75,35.75,147,143
41,29,46,29,43,30,52,35,27,29,27,46,52,36.75,36.0,147,144
42,50,57,19,20,34,49,35,26,19,26,57,49,36.5,36.0,146,144
43,35,57,26,24,37,57,26,24,24,24,57,57,35.5,36.0,142,144
44,51,31,39,24,36,37,37,37,24,36,51,37,36.25,36.75,145,147
45,45,32,38,29,39,36,39,31,29,31,45,39,36.0,36.25,144,145
46,26,40,29,50,39,44,43,15,26,15,50,44,36.25,35.25,145,141
47,45,38,29,30,36,51,19,32,29,19,45,51,35.5,34.5,142,138
48,47,20,43,35,29,31,37,40,20,29,47,40,36.25,34.25,145,137
49,46,42,27,30,26,42,33,41,27,26,46,42,36.25,35.5,145,142
50,24,62,34,23,40,19,33,45,23,19,62,45,35.75,34.25,143,137
51,41,44,25,35,41,37,35,28,25,28,44,41,36.25,35.25,145,141
52,36,44,36,25,39,49,28,21,25,21,44,49,35.25,34.25,141,137
53,24,35,38,40,40,38,20,42,24,20,40,42,34.25,35.0,137,140
54,48,28,28,38,29,39,39,39,28,29,48,39,35.5,36.5,142,146
55,40,43,35,26,19,43,43,38,26,19,43,43,36.0,35.75,144,143
56,14,48,37,39,28,44,50,16,14,16,48,50,34.5,34.5,138,138
57,55,31,21,29,35,43,35,30,21,30,55,43,34.0,35.75,136,143
58,31,49,40,23,36,30,37,34,23,30,49,37,35.75,34.25,143,137
59,40,28,33,36,38,40,27,43,28,27,40,43,34.25,37.0,137,148
60,19,23,40,53,24,56,33,29,19,24,53,56,33.75,35.5,135,142
61,29,36,43,38,22,57,32,35,29,22,43,57,36.5,36.5,146,146
62,54,23,40,26,37,32,26,37,23,26,54,37,35.75,33.0,143,132
63,26,38,23,57,42,38,37,28,23,28,57,42,36.0,36.25,144,145
64,33,48,23,35,24,39,44,39,23,24,48,44,34.75,36.5,139,146
65,43,43,39,21,23,43,37,40,21,23,43,43,36.5,35.75,146,143
66,34,40,41,32,24,43,44,30,32,24,41,44,36.75,35.25,147,141
67,34,45,33,35,24,34,37,41,33,24,45,41,36.75,34.0,147,136
68,34,47,26,39,40,41,37,28,26,28,47,41,36.5,36.5,146,146
69,18,21,57,49,42,29,19,38,18,19,57,42,36.25,32.0,145,128
70,28,30,54,27,21,26,62,28,27,21,54,62,34.75,34.25,139,137
71,35,49,24,30,38,47,28,31,24,28,49,47,34.5,36.0,138,144
72,35,38,29,32,32,34,39,40,29,32,38,40,33.5,36.25,134,145
73,38,32,28,46,45,38,25,34,28,25,46,45,36.0,35.5,144,142
74,24,41,26,57,33,28,51,35,24,28,57,51,37.0,36.75,148,147
75,19,52,22,49,45,35,54,8,19,8,52,54,35.5,35.5,142,142
76,30,20,46,39,30,43,41,30,20,30,46,43,33.75,36.0,135,144
77,57,18,29,42,48,37,23,36,18,23,57,48,36.5,36.0,146,144
78,54,40,19,27,49,27,30,28,19,27,54,49,35.0,33.5,140,134
79,57,23,41,22,41,40,16,39,22,16,57,41,35.75,34.0,143,136
80,49,38,31,29,29,39,38,36,29,29,49,39,36.75,35.5,147,142
81,25,39,38,40,35,28,48,35,25,28,40,48,35.5,36.5,142,146
82,43,31,50,17,34,53,34,18,17,18,50,53,35.25,34.75,141,139
83,38,25,43,41,43,60,16,24,25,16,43,60,36.75,35.75,147,143
84,37,44,23,39,26,52,33,30,23,26,44,52,35.75,35.25,143,141
85,39,55,25,23,34,29,48,21,23,21,55,48,35.5,33.0,142,132
86,22,38,43,37,48,31,45,18,22,18,43,48,35.0,35.5,140,142
87,34,42,25,43,24,36,55,27,25,24,43,55,36.0,35.5,144,142
88,38,34,30,40,28,34,49,33,30,28,40,49,35.5,36.0,142,144
89,44,33,44,20,31,26,38,47,20,26,44,47,35.25,35.5,141,142
90,41,49,31,21,33,42,31,33,21,31,49,42,35.5,34.75,142,139
91,39,39,31,31,30,43,44,28,31,28,39,44,35.0,36.25,140,145
92,34,34,39,29,38,37,41,23,29,23,39,41,34.0,34.75,136,139
93,27,43,34,41,38,48,25,21,27,21,43,48,36.25,33.0,145,132
94,38,44,34,30,32,32,25,45,30,25,44,45,36.5,33.5,146,134
95,42,32,36,35,39,41,43,18,32,18,42,43,36.25,35.25,145,141
96,44,37,44,16,27,36,38,43,16,27,44,43,35.25,36.0,141,144
97,39,33,39,32,39,36,30,40,32,30,39,40,35.75,36.25,143,145
98,32,18,40,46,13,42,43,46,18,13,46,46,34.0,36.0,136,144
99,33,44,28,38,24,54,37,31,28,24,44,54,35.75,36.5,143,146
