replicate,m0,m1,m2,m3,b0,b1,b2,b3
0,32,37,30,46,36,20,36,47
1,19,45,35,46,52,32,32,29
2,36,46,16,48,36,36,41,30
3,29,45,50,24,43,24,37,44
4,32,44,32,39,37,46,22,37
5,27,41,40,36,29,38,43,34
6,46,26,28,46,42,28,42,36
7,50,31,15,47,37,35,25,50
8,38,44,18,45,39,49,27,33
9,37,30,44,37,37,42,31,37
10,54,24,33,37,39,26,39,41
11,44,30,35,39,33,8,53,51
12,46,20,48,34,32,51,22,41
13,34,33,32,40,51,32,20,43
14,38,33,31,44,36,22,38,49
15,44,47,28,27,44,46,28,30
16,38,35,30,37,42,44,29,29
17,31,44,22,50,16,37,37,56
18,23,25,42,56,16,40,39,51
19,32,25,38,53,42,37,33,35
20,34,32,62,18,26,32,50,40
21,28,57,28,31,43,19,42,41
22,31,46,34,36,39,42,35,28
23,41,29,38,38,45,25,36,42
24,32,58,32,25,40,42,27,35
25,42,38,36,31,39,52,24,33
26,32,42,34,40,43,16,48,34
27,41,36,29,41,31,41,34,31
28,36,27,31,52,37,43,31,37
29,49,29,40,27,30,35,34,47
30,37,34,28,48,41,29,37,37
31,33,37,44,33,34,30,42,37
32,33,46,27,42,44,33,28,41
33,34,47,35,32,42,30,43,30
34,61,40,22,22,28,37,40,38
35,36,23,42,43,29,24,43,49
36,45,29,26,45,46,30,34,36
37,26,35,41,43,29,46,49,23
38,27,29,41,48,36,39,34,37
39,31,42,30,45,37,31,22,56
40,44,38,33,33,34,33,43,37
41,43,38,38,25,39,36,41,32
42,36,43,27,41,34,54,28,32
43,40,43,34,31,32,28,52,31
44,49,26,40,32,36,24,38,47
45,32,31,34,44,46,39,26,33
46,42,24,36,43,53,22,22,51
47,41,35,28,42,45,31,27,39
48,38,33,29,43,31,28,39,50
49,34,29,41,43,37,48,24,39
50,40,47,26,31,38,43,23,43
51,28,51,30,39,54,27,38,27
52,43,16,40,49,35,42,41,26
53,36,34,37,40,41,38,21,45
54,61,29,32,22,50,33,19,43
55,27,53,27,41,29,32,32,39
56,29,32,26,43,33,34,37,43
57,39,25,42,38,36,22,54,30
58,40,18,44,44,35,31,29,53
59,51,36,29,31,27,37,47,33
60,32,27,36,52,42,32,46,25
61,35,38,29,44,32,31,30,48
62,32,38,33,40,37,43,27,39
63,53,26,36,33,30,31,44,38
64,33,46,23,42,39,45,40,23
65,41,35,41,30,27,57,22,41
66,46,28,46,26,32,42,34,39
67,26,37,47,35,23,48,38,37
68,23,51,44,30,43,30,40,31
69,40,33,27,47,40,37,21,50
70,45,29,28,46,42,35,22,46
71,47,40,30,31,52,33,28,33
72,37,27,35,48,41,40,19,47
73,48,27,36,36,39,43,36,28
74,27,45,40,36,51,37,24,32
75,29,49,25,41,42,32,33,34
76,33,21,50,41,33,43,15,54
77,34,29,44,38,35,31,27,47
78,30,46,37,27,37,38,42,30
79,36,28,44,39,41,42,25,40
80,33,24,44,43,57,35,27,26
81,24,37,44,39,57,27,25,34
82,26,32,45,43,46,42,12,46
83,18,40,47,43,40,45,27,34
84,35,39,23,51,64,27,26,31
85,46,42,32,25,51,30,38,28
86,23,25,52,43,36,41,19,47
87,34,32,44,37,30,25,48,45
88,44,24,50,29,54,16,31,46
89,38,26,29,54,34,39,48,19
90,59,30,28,30,63,32,17,33
91,41,43,26,37,37,31,36,42
92,53,50,18,25,40,44,34,29
93,43,28,24,51,44,49,20,33
94,31,33,42,41,28,50,32,38
95,44,27,32,43,32,41,44,31
96,40,27,28,49,50,26,40,29
97,23,40,36,49,43,23,48,33
98,18,32,41,55,27,29,43,47
99,25,31,44,41,38,38,32,33
