replicate,m0,m1,m2,m3,b0,b1,b2,b3
0,41,31,56,17,43,33,36,34
1,29,37,33,46,40,38,22,41
2,31,33,30,45,55,28,38,24
3,46,38,41,22,31,26,43,46
4,45,35,37,28,43,47,25,31
5,27,30,46,43,38,29,44,34
6,43,39,29,35,39,22,36,49
7,52,36,23,33,41,32,22,52
8,19,40,31,56,39,48,30,30
9,53,16,40,37,32,31,34,44
10,38,36,42,29,40,35,43,29
11,29,36,37,35,38,48,41,19
12,47,32,25,41,39,33,45,30
13,32,26,27,60,23,46,35,43
14,35,31,37,42,43,27,32,40
15,46,36,26,37,34,30,38,43
16,45,49,26,26,37,34,33,41
17,26,24,48,46,27,48,31,40
18,24,35,41,46,36,31,31,47
19,36,30,41,36,34,21,51,40
20,46,24,37,39,28,29,46,43
21,42,41,38,24,41,32,40,34
22,40,42,27,36,37,28,39,41
23,29,45,22,50,48,28,37,32
24,45,26,33,42,35,38,43,31
25,35,41,23,47,32,43,35,35
26,27,39,27,53,39,34,31,40
27,32,30,52,26,18,46,43,37
28,21,52,19,53,39,52,27,28
29,46,44,23,33,40,23,28,56
30,38,37,40,29,35,26,44,36
31,33,52,25,33,31,42,41,32
32,37,24,44,42,31,30,40,45
33,29,32,43,40,34,52,21,38
34,30,38,39,39,30,41,23,46
35,35,33,25,52,29,41,40,36
36,28,37,43,36,34,43,39,31
37,27,28,39,53,28,21,52,45
38,33,33,39,41,43,34,27,41
39,38,32,28,47,24,43,32,42
40,38,31,33,43,45,36,22,39
41,40,38,37,32,34,41,38,33
42,24,40,49,33,24,30,44,45
43,33,33,45,34,26,38,46,35
44,47,36,25,39,29,36,31,51
45,36,37,27,43,40,33,44,30
46,46,28,50,22,35,47,28,33
47,33,39,32,43,32,40,35,39
48,34,25,48,38,37,33,32,42
49,21,51,34,41,47,27,29,42
50,52,29,29,37,49,34,39,24
51,35,43,28,40,45,30,40,28
52,44,16,33,53,20,29,41,53
53,33,31,34,48,30,37,42,37
54,27,49,33,37,31,26,60,28
55,39,35,55,17,32,28,41,43
56,28,52,35,30,50,39,28,28
57,39,30,41,37,34,39,41,31
58,42,48,36,21,39,49,30,28
59,38,28,34,47,39,39,30,37
60,44,47,32,21,33,34,45,32
61,25,45,30,46,30,37,42,37
62,35,39,29,44,38,57,19,33
63,40,32,30,44,33,38,37,34
64,48,31,27,39,53,30,28,34
65,43,43,24,36,52,37,25,33
66,22,44,61,20,39,27,29,49
67,45,40,19,42,24,53,45,24
68,51,43,21,32,28,51,38,27
69,41,34,31,38,38,38,34,37
70,36,39,27,44,29,34,46,38
71,35,45,42,24,31,30,40,45
72,47,28,30,42,30,39,43,30
73,33,32,32,49,46,34,26,40
74,28,47,35,35,29,43,24,50
75,40,25,48,34,34,41,33,39
76,39,33,36,38,47,29,36,34
77,30,40,51,25,31,30,42,41
78,39,44,26,38,29,43,31,43
79,26,26,44,50,42,42,28,34
80,39,35,30,39,24,44,35,42
81,23,38,41,45,24,50,32,39
82,33,49,30,33,33,24,35,53
83,46,32,44,22,36,57,34,20
84,29,50,31,37,42,35,38,31
85,40,36,27,38,31,30,34,50
86,37,38,27,44,43,42,26,36
87,43,44,33,26,30,39,45,30
88,44,19,51,33,45,36,23,43
89,43,41,22,37,28,34,31,53
90,29,32,36,50,34,34,39,40
91,23,55,20,48,34,44,32,35
92,33,50,31,32,28,35,38,43
93,27,35,49,35,33,22,49,40
94,24,41,54,25,43,34,33,36
95,39,40,26,38,23,33,54,37
96,35,42,20,48,42,32,30,35
97,30,28,58,30,28,39,36,44
98,39,37,30,38,27,26,60,33
99,28,49,24,43,34,35,39,36
