replicate,m0,m1,m2,m3,b0,b1,b2,b3
0,33,50,41,25,18,50,32,49
1,23,42,43,39,44,10,34,60
2,38,48,40,21,33,56,28,32
3,42,25,49,34,34,35,33,48
4,45,36,23,45,37,34,39,41
5,50,28,41,29,40,41,36,33
6,50,31,36,33,42,49,31,29
7,26,45,50,29,40,50,40,19
8,24,26,51,45,41,36,39,34
9,31,42,35,37,37,40,34,37
10,21,39,35,54,43,22,49,33
11,44,32,40,34,31,40,33,46
12,23,38,43,45,44,39,39,28
13,35,39,26,49,47,38,23,39
14,38,46,31,28,49,27,43,30
15,35,47,38,31,37,44,28,40
16,21,29,48,51,32,46,44,28
17,33,39,44,31,43,28,52,26
18,30,33,34,51,54,28,29,29
19,51,33,18,42,52,51,25,22
20,39,61,27,24,46,35,34,35
21,50,49,32,19,29,54,22,44
22,42,29,57,19,33,43,28,38
23,39,35,39,33,28,53,25,38
24,41,40,29,40,47,36,35,32
25,35,30,49,37,30,49,38,34
26,47,27,20,55,47,24,48,31
27,32,40,35,41,39,21,48,43
28,39,35,48,28,47,48,16,39
29,41,47,25,36,59,35,25,30
30,28,46,34,40,30,39,31,51
31,32,48,38,31,29,16,52,54
32,49,53,9,40,28,42,43,37
33,24,49,37,41,27,42,46,34
34,43,42,31,31,48,31,34,32
35,39,43,26,41,28,68,32,21
36,38,30,40,42,39,33,45,34
37,35,25,30,53,35,42,52,18
38,26,47,33,43,40,38,29,43
39,30,31,48,41,37,32,36,42
40,41,43,17,50,31,25,41,52
41,51,26,28,40,41,41,31,37
42,23,37,53,37,46,24,41,38
43,40,28,31,49,28,27,48,45
44,51,43,23,34,46,22,33,49
45,40,25,36,48,42,44,35,29
46,31,44,43,31,44,31,40,32
47,42,28,46,34,36,32,45,34
48,42,27,49,29,25,34,37,53
49,47,40,26,37,35,49,20,46
50,33,35,33,49,43,33,23,46
51,30,40,38,38,43,40,29,37
52,46,35,41,29,25,49,40,35
53,16,46,39,48,41,30,41,38
54,40,44,33,32,52,32,23,39
55,41,34,37,35,48,27,38,37
56,36,36,30,43,32,34,49,34
57,24,27,61,33,35,50,27,36
58,43,48,31,27,36,28,30,56
59,35,38,35,41,35,50,36,29
60,46,41,27,36,44,26,29,50
61,35,34,34,44,48,27,33,43
62,28,31,46,46,33,44,36,37
63,42,46,38,25,40,52,9,49
64,34,29,46,40,36,40,24,51
65,55,41,25,29,45,40,30,34
66,60,29,25,35,39,49,25,38
67,37,47,28,36,25,53,25,44
68,45,25,42,38,38,45,26,41
69,25,35,49,42,63,36,27,25
70,33,35,57,26,39,35,36,40
71,37,29,30,49,38,41,35,37
72,48,13,61,25,37,35,32,34
73,32,37,49,31,33,45,45,27
74,46,38,16,51,57,25,37,32
75,59,39,18,33,26,46,30,45
76,46,33,27,43,27,41,30,53
77,38,33,39,39,42,35,36,38
78,39,28,47,34,44,53,28,25
79,28,44,49,28,48,36,25,41
80,42,32,38,38,35,44,34,37
81,39,36,25,50,22,50,42,37
82,31,46,36,36,34,29,27,61
83,46,38,34,32,43,31,40,37
84,42,25,35,48,43,26,49,29
85,34,45,44,24,32,28,61,30
86,26,46,36,43,29,48,29,45
87,25,52,32,40,35,42,46,28
88,36,40,40,32,52,53,25,20
89,53,46,27,22,34,41,32,43
90,37,29,28,52,46,45,30,29
91,24,39,50,27,52,43,35,20
92,42,33,39,34,31,48,31,41
93,35,29,42,44,36,39,33,39
94,25,52,37,37,31,32,48,37
95,39,37,31,43,46,30,47,24
96,39,23,38,48,33,37,48,30
97,31,49,31,40,41,33,34,42
98,37,37,36,41,28,35,48,39
99,39,30,22,48,54,21,40,33
