replicate,m0,m1,m2,m3,b0,b1,b2,b3,mMinimumScore,bMinimumScore,mMaximumScore,bMaximumScore,mAverageOfScores,bAverageOfScores,mSumOfScores,bSumOfScores
0,50,35,28,34,39,43,28,38,28,28,50,43,36.75,37.0,147,148
1,40,40,31,38,34,36,39,38,31,34,40,39,37.25,36.75,149,147
2,38,28,59,23,38,42,32,34,23,32,59,42,37.0,36.5,148,146
3,39,23,33,55,41,47,28,32,23,28,55,47,37.5,37.0,150,148
4,36,35,54,24,59,31,30,29,24,29,54,59,37.25,37.25,149,149
5,33,67,24,26,42,33,38,37,24,33,67,42,37.5,37.5,150,150
6,41,46,29,33,51,26,39,29,29,26,46,51,37.25,36.25,149,145
7,20,59,15,46,41,43,36,30,15,30,59,43,35.0,37.5,140,150
8,41,52,27,28,23,52,44,30,27,23,52,52,37.0,37.25,148,149
9,37,29,23,60,27,51,38,34,23,27,60,51,37.25,37.5,149,150
10,16,56,39,31,25,45,41,38,16,25,56,45,35.5,37.25,142,149
11,42,37,27,43,33,37,26,54,27,26,43,54,37.25,37.5,149,150
12,31,34,44,39,29,35,40,45,31,29,44,45,37.0,37.25,148,149
13,47,33,35,35,33,30,39,48,33,30,47,48,37.5,37.5,150,150
14,23,38,39,49,30,24,52,43,23,24,49,52,37.25,37.25,149,149
15,30,32,44,43,30,35,50,34,30,30,44,50,37.25,37.25,149,149
16,51,24,45,29,33,41,39,37,24,33,51,41,37.25,37.5,149,150
17,36,38,37,37,48,39,34,27,36,27,38,48,37.0,37.0,148,148
18,22,34,46,47,33,37,49,31,22,31,47,49,37.25,37.5,149,150
19,41,24,37,45,50,38,23,38,24,23,45,50,36.75,37.25,147,149
20,35,39,42,33,33,51,34,32,33,32,42,51,37.25,37.5,149,150
21,18,55,47,29,41,46,24,36,18,24,55,46,37.25,36.75,149,147
22,23,33,48,44,56,18,29,44,23,18,48,56,37.0,36.75,148,147
23,32,46,37,34,27,37,51,35,32,27,46,51,37.25,37.5,149,150
24,49,39,35,26,51,17,30,51,26,17,49,51,37.25,37.25,149,149
25,34,40,37,38,34,37,31,46,34,31,40,46,37.25,37.0,149,148
26,49,29,28,43,31,37,42,39,28,31,49,42,37.25,37.25,149,149
27,38,30,45,34,35,31,27,57,30,27,45,57,36.75,37.5,147,150
28,30,30,58,29,32,39,39,37,29,32,58,39,36.75,36.75,147,147
29,31,31,49,37,27,35,44,44,31,27,49,44,37.0,37.5,148,150
