replicate,m0,m1,m2,m3,b0,b1,b2,b3
0,36,29,57,26,34,31,34,44
1,41,38,23,46,31,33,41,42
2,35,38,28,41,43,38,26,41
3,54,14,43,36,28,56,39,23
4,44,34,43,28,43,29,35,42
5,28,52,42,24,35,36,41,36
6,35,32,49,27,34,33,35,47
7,50,36,31,31,30,33,39,47
8,17,36,52,42,51,33,21,40
9,43,39,28,39,40,37,32,40
10,42,38,25,40,23,55,24,45
11,43,55,31,20,40,46,40,20
12,39,40,27,43,28,27,45,49
13,35,55,33,22,42,36,37,33
14,35,24,43,45,39,32,35,36
15,40,37,28,42,27,33,40,41
16,37,31,38,42,53,26,26,43
17,19,42,47,41,26,43,37,43
18,45,31,44,27,17,30,42,60
19,49,37,29,34,41,38,26,43
20,42,38,27,41,47,23,37,38
21,24,46,26,51,45,26,38,39
22,28,38,30,53,44,27,30,46
23,41,33,44,31,41,44,44,20
24,32,36,46,31,37,35,35,39
25,40,35,49,23,24,45,41,38
26,22,22,36,63,52,39,38,15
27,25,37,20,63,41,47,31,28
28,40,39,40,26,30,36,37,43
29,31,31,31,53,35,41,37,36
30,21,37,40,44,25,52,40,32
31,33,43,41,30,36,38,37,38
32,30,42,40,37,33,22,52,32
33,25,35,37,45,22,36,37,54
34,47,21,26,53,32,38,44,33
35,31,47,43,28,31,34,47,35
36,44,31,39,34,43,38,32,33
37,38,37,42,30,35,30,44,37
38,63,24,31,31,33,35,42,37
39,36,54,27,30,21,35,56,29
40,39,30,48,31,29,30,48,40
41,28,41,31,46,28,49,42,28
42,24,37,51,37,20,39,43,46
43,44,26,31,44,45,45,20,35
44,42,31,47,28,23,41,55,28
45,31,49,25,42,42,22,37,48
46,23,46,46,34,67,27,31,22
47,36,41,47,24,18,25,49,53
48,37,45,25,41,17,41,40,49
49,23,44,43,34,28,31,47,41
50,46,37,36,27,42,45,38,21
51,32,26,46,44,52,28,44,24
52,41,31,20,54,35,40,44,18
53,43,41,30,32,38,39,29,42
54,42,26,41,39,51,19,25,51
55,40,34,37,37,31,42,39,35
56,36,49,48,15,33,33,48,35
57,46,35,33,34,43,33,19,53
58,27,34,47,39,44,33,24,42
59,40,29,46,33,52,29,41,26
60,29,41,34,44,45,39,37,27
61,46,24,59,17,26,42,34,47
62,23,54,38,33,21,44,49,34
63,46,16,41,42,40,25,21,62
64,43,32,27,46,28,35,37,48
65,49,32,27,39,27,40,35,43
66,33,35,30,50,36,35,29,49
67,32,25,52,39,33,22,52,42
68,30,14,52,52,40,39,18,51
69,54,15,35,43,36,28,39,44
70,34,40,41,32,30,19,54,45
71,33,39,36,40,42,40,31,33
72,33,44,37,33,47,35,25,41
73,30,33,40,39,46,42,31,28
74,47,27,40,33,33,37,40,35
75,48,42,25,30,27,45,43,33
76,23,31,45,49,30,31,39,47
77,36,26,44,34,22,43,51,30
78,32,33,36,40,56,28,25,39
79,39,32,32,43,50,39,28,28
80,33,26,44,44,37,37,39,31
81,40,17,41,45,26,23,45,55
82,35,39,35,36,27,46,47,28
83,37,30,49,32,32,31,31,54
84,32,34,47,34,22,46,35,41
85,28,36,50,34,31,38,35,41
86,41,22,50,33,24,53,32,39
87,40,45,26,37,35,40,29,43
88,28,43,22,55,45,21,25,54
89,34,30,34,42,25,49,32,36
90,27,38,29,51,34,20,40,52
91,36,32,51,29,53,32,39,24
92,36,40,47,25,29,57,32,30
93,39,19,42,48,39,57,28,23
94,23,51,34,37,36,49,37,21
95,50,21,42,34,34,53,18,41
96,49,24,43,30,31,37,30,47
97,34,36,37,42,43,24,54,27
98,28,50,51,20,42,50,36,20
99,30,40,41,38,38,31,41,37
