replicate,m0,m1,m2,m3,b0,b1,b2,b3,mMinimumScore,bMinimumScore,mMaximumScore,bMaximumScore,mAverageOfScores,bAverageOfScores,mSumOfScores,bSumOfScores
0,43,29,40,36,50,39,26,33,29,26,43,50,37.0,37.0,148,148
1,35,29,34,48,33,33,29,49,29,29,48,49,36.5,36.0,146,144
2,33,49,37,27,39,40,29,38,27,29,49,40,36.5,36.5,146,146
3,55,37,29,26,32,55,26,34,26,26,55,55,36.75,36.75,147,147
4,62,35,24,27,47,37,25,38,24,25,62,47,37.0,36.75,148,147
5,48,24,36,33,41,32,28,47,24,28,48,47,35.25,37.0,141,148
6,50,33,36,25,41,28,23,54,25,23,50,54,36.0,36.5,144,146
7,42,41,33,30,33,24,49,40,30,24,42,49,36.5,36.5,146,146
8,36,39,33,40,47,21,29,51,33,21,40,51,37.0,37.0,148,148
9,44,21,50,33,28,33,43,44,21,28,50,44,37.0,37.0,148,148
10,34,52,30,32,26,51,33,34,30,26,52,51,37.0,36.0,148,144
11,24,37,47,40,43,21,32,49,24,21,47,49,37.0,36.25,148,145
12,38,42,37,30,44,35,34,33,30,33,42,44,36.75,36.5,147,146
13,22,46,36,42,49,27,36,36,22,27,46,49,36.5,37.0,146,148
14,41,42,47,15,31,46,40,31,15,31,47,46,36.25,37.0,145,148
15,52,24,26,44,28,42,28,46,24,28,52,46,36.5,36.0,146,144
16,35,31,37,45,35,38,50,23,31,23,45,50,37.0,36.5,148,146
17,44,35,40,28,30,39,50,29,28,29,44,50,36.75,37.0,147,148
18,33,46,26,41,46,32,34,34,26,32,46,46,36.5,36.5,146,146
19,31,32,52,28,37,41,43,24,28,24,52,43,35.75,36.25,143,145
20,39,29,37,43,42,42,27,35,29,27,43,42,37.0,36.5,148,146
21,48,42,31,26,37,46,29,35,26,29,48,46,36.75,36.75,147,147
22,40,32,29,46,48,39,38,22,29,22,46,48,36.75,36.75,147,147
23,46,27,31,39,32,37,40,39,27,32,46,40,35.75,37.0,143,148
24,47,29,30,37,41,53,28,25,29,25,47,53,35.75,36.75,143,147
25,34,40,40,33,24,46,30,48,33,24,40,48,36.75,37.0,147,148
26,63,32,22,30,49,26,54,18,22,18,63,54,36.75,36.75,147,147
27,43,36,37,32,31,49,33,32,32,31,43,49,37.0,36.25,148,145
28,27,42,32,46,43,38,37,30,27,30,46,43,36.75,37.0,147,148
29,43,25,35,42,39,35,41,32,25,32,43,41,36.25,36.75,145,147
30,25,41,39,40,37,41,35,27,25,27,41,41,36.25,35.0,145,140
31,32,41,37,35,35,36,40,34,32,34,41,40,36.25,36.25,145,145
32,35,32,47,33,24,29,40,54,32,24,47,54,36.75,36.75,147,147
33,43,33,32,39,38,32,25,52,32,25,43,52,36.75,36.75,147,147
34,63,29,23,32,27,42,41,36,23,27,63,42,36.75,36.5,147,146
35,45,34,44,24,38,51,34,23,24,23,45,51,36.75,36.5,147,146
36,40,25,39,39,59,21,32,36,25,21,40,59,35.75,37.0,143,148
37,29,25,41,52,49,28,45,25,25,25,52,49,36.75,36.75,147,147
38,30,49,30,38,37,28,31,52,30,28,49,52,36.75,37.0,147,148
39,25,52,36,35,38,32,45,31,25,31,52,45,37.0,36.5,148,146
40,31,36,32,48,42,30,42,33,31,30,48,42,36.75,36.75,147,147
41,33,37,36,39,46,34,34,34,33,34,39,46,36.25,37.0,145,148
42,37,35,34,42,38,27,38,43,34,27,42,43,37.0,36.5,148,146
43,26,47,35,39,30,37,34,47,26,30,47,47,36.75,37.0,147,148
44,27,36,37,47,35,40,41,32,27,32,47,41,36.75,37.0,147,148
45,42,36,36,31,41,30,25,49,31,25,42,49,36.25,36.25,145,145
46,28,55,29,35,30,29,42,46,28,29,55,46,36.75,36.75,147,147
47,42,33,35,29,41,32,38,34,29,32,42,41,34.75,36.25,139,145
48,27,27,53,38,31,37,35,45,27,31,53,45,36.25,37.0,145,148
49,44,41,34,26,54,22,36,36,26,22,44,54,36.25,37.0,145,148
50,35,46,41,25,50,18,40,36,25,18,46,50,36.75,36.0,147,144
51,35,38,39,35,41,32,39,36,35,32,39,41,36.75,37.0,147,148
52,47,26,37,34,37,41,43,27,26,27,47,43,36.0,37.0,144,148
53,47,34,31,36,37,48,30,33,31,30,47,48,37.0,37.0,148,148
54,39,30,30,48,36,27,33,51,30,27,48,51,36.75,36.75,147,147
55,33,38,32,44,38,33,31,40,32,31,44,40,36.75,35.5,147,142
56,50,27,39,32,54,17,30,47,27,17,50,54,37.0,37.0,148,148
57,35,41,29,40,29,33,27,56,29,27,41,56,36.25,36.25,145,145
58,35,45,14,46,41,30,40,36,14,30,46,41,35.0,36.75,140,147
59,31,40,40,36,21,40,58,28,31,21,40,58,36.75,36.75,147,147
60,24,38,46,39,45,32,37,34,24,32,46,45,36.75,37.0,147,148
61,42,39,16,50,59,21,29,39,16,21,50,59,36.75,37.0,147,148
