replicate,m0,m1,m2,m3,b0,b1,b2,b3
0,49,26,36,40,30,27,47,47
1,39,34,34,44,39,46,31,36
2,40,30,43,37,41,53,22,36
3,31,41,37,42,39,21,49,38
4,19,61,35,37,58,41,31,19
5,28,31,52,35,43,32,52,25
6,31,34,51,36,31,34,55,30
7,27,52,34,38,39,49,37,25
8,31,39,52,29,22,39,53,35
9,33,35,29,52,35,44,26,47
10,45,44,33,30,42,55,26,22
11,37,27,44,44,42,43,30,34
12,42,39,27,42,45,39,32,30
13,52,21,39,40,32,24,44,44
14,35,42,39,34,46,36,30,39
15,38,32,34,44,36,35,33,47
16,54,38,29,31,46,39,32,33
17,30,57,32,31,34,33,28,57
18,37,38,33,44,51,22,42,37
19,44,28,52,27,30,47,31,44
20,39,32,38,41,28,36,45,30
21,50,49,36,16,20,38,41,47
22,38,40,41,31,35,41,38,36
23,33,46,38,31,46,49,27,30
24,53,41,37,21,28,41,43,39
25,51,38,25,31,23,57,45,26
26,36,56,35,22,42,41,37,30
27,44,43,35,28,36,38,37,40
28,38,40,43,31,35,36,23,51
29,44,44,25,35,35,34,45,34
30,41,21,46,41,50,32,40,26
31,34,35,39,43,42,26,40,42
32,54,30,34,34,29,38,40,45
33,35,38,31,48,38,26,42,42
34,32,42,36,35,20,53,40,33
35,34,36,49,33,25,40,59,25
36,57,24,37,33,35,42,37,38
37,40,39,32,38,36,38,37,41
38,46,26,28,50,41,47,39,25
39,49,30,30,39,31,45,35,40
40,34,51,29,38,39,29,46,34
41,33,46,27,45,43,26,31,52
42,36,42,46,25,40,31,39,38
43,48,31,20,50,52,30,50,20
44,45,44,31,32,46,34,14,56
45,34,36,39,41,32,32,36,50
46,39,46,29,38,46,27,44,34
47,46,27,35,41,18,47,48,39
48,43,39,34,36,42,29,45,32
49,42,38,13,59,32,25,65,27
50,41,52,27,32,34,40,28,48
51,38,43,28,42,30,27,43,50
52,32,37,31,51,34,40,41,36
53,35,30,54,31,40,29,40,42
54,24,37,40,50,38,28,43,42
55,38,36,44,29,25,22,60,36
56,38,32,48,30,51,18,44,39
57,49,38,39,24,38,27,51,34
58,34,29,30,56,36,58,18,39
59,41,28,33,49,40,43,38,31
60,49,13,44,46,34,40,34,44
61,22,52,18,59,35,35,37,42
62,50,31,19,50,41,31,43,35
63,46,27,26,53,31,48,31,42
64,42,38,35,36,43,53,29,23
65,40,35,29,48,24,36,45,45
66,34,43,32,42,35,40,30,45
67,21,40,31,56,18,42,27,62
68,48,45,22,35,34,27,63,27
69,42,29,51,29,39,32,33,47
70,33,43,36,40,44,28,33,45
71,39,33,23,54,42,38,29,42
72,36,39,35,39,44,28,41,36
73,40,29,38,43,51,32,43,25
74,26,45,49,30,20,39,45,43
75,49,35,42,25,46,53,34,9
76,31,37,48,36,43,32,30,46
77,39,38,47,28,46,42,29,35
78,44,34,27,46,40,30,40,40
79,55,35,26,34,25,50,33,42
80,44,29,45,32,51,28,30,42
81,42,53,26,29,45,44,29,33
82,51,36,33,32,33,44,47,24
83,48,42,24,38,38,41,39,34
84,51,31,32,34,35,31,49,37
85,37,17,64,31,41,31,26,50
86,40,33,23,53,34,41,43,34
87,42,49,28,25,43,35,36,38
88,29,49,33,39,30,46,43,31
89,37,49,41,25,24,41,43,44
90,37,33,33,47,44,49,31,23
91,28,48,28,47,38,38,53,20
92,43,22,47,39,48,18,34,49
93,37,41,32,40,28,35,47,40
94,34,35,49,34,32,31,40,46
95,29,40,50,33,39,41,37,33
96,22,35,49,46,47,36,32,37
97,45,36,19,50,17,43,43,46
98,26,47,29,49,37,40,40,35
99,39,50,34,28,41,39,26,46
