replicate,m0,m1,m2,m3,b0,b1,b2,b3,mMinimumScore,bMinimumScore,mMaximumScore,bMaximumScore,mAverageOfScores,bAverageOfScores,mSumOfScores,bSumOfScores
0,48,29,35,38,39,40,36,34,29,34,48,40,37.5,37.25,150,149
1,43,36,31,39,37,38,29,46,31,29,43,46,37.25,37.5,149,150
2,41,37,27,41,44,39,32,32,27,32,41,44,36.5,36.75,146,147
3,40,34,36,37,29,45,42,34,34,29,40,45,36.75,37.5,147,150
4,51,50,25,23,37,33,46,34,23,33,51,46,37.25,37.5,149,150
5,41,34,33,40,23,42,44,38,33,23,41,44,37.0,36.75,148,147
6,45,35,24,46,29,45,34,41,24,29,46,45,37.5,37.25,150,149
7,37,33,41,38,50,27,48,24,33,24,41,50,37.25,37.25,149,149
8,29,34,44,40,35,26,49,38,29,26,44,49,36.75,37.0,147,148
9,29,34,41,44,32,39,46,29,29,29,44,46,37.0,36.5,148,146
10,25,39,46,40,56,29,26,36,25,26,46,56,37.5,36.75,150,147
11,48,26,47,24,26,41,42,38,24,26,48,42,36.25,36.75,145,147
12,26,41,46,37,40,16,45,45,26,16,46,45,37.5,36.5,150,146
13,37,41,44,25,37,39,34,39,25,34,44,39,36.75,37.25,147,149
14,32,43,40,35,55,33,32,27,32,27,43,55,37.5,36.75,150,147
15,34,44,33,33,41,47,24,38,33,24,44,47,36.0,37.5,144,150
16,36,43,44,26,41,41,31,35,26,31,44,41,37.25,37.0,149,148
17,26,46,37,39,39,35,37,36,26,35,46,39,37.0,36.75,148,147
18,39,44,26,39,41,46,26,35,26,26,44,46,37.0,37.0,148,148
19,46,41,26,37,34,23,43,47,26,23,46,47,37.5,36.75,150,147
20,15,46,50,38,32,43,35,36,15,32,50,43,37.25,36.5,149,146
21,45,46,17,40,34,30,49,37,17,30,46,49,37.0,37.5,148,150
22,26,31,32,58,46,26,39,38,26,26,58,46,36.75,37.25,147,149
23,24,36,53,33,57,28,29,28,24,28,53,57,36.5,35.5,146,142
24,42,29,33,46,42,36,34,34,29,34,46,42,37.5,36.5,150,146
25,30,44,43,32,29,28,36,53,30,28,44,53,37.25,36.5,149,146
26,57,31,36,24,41,46,19,42,24,19,57,46,37.0,37.0,148,148
27,27,48,32,43,33,40,48,27,27,27,48,48,37.5,37.0,150,148
28,38,42,44,23,28,60,20,41,23,20,44,60,36.75,37.25,147,149
29,24,46,41,36,24,26,47,51,24,24,46,51,36.75,37.0,147,148
30,32,50,34,34,23,37,58,30,32,23,50,58,37.5,37.0,150,148
31,32,30,37,48,40,38,39,32,30,32,48,40,36.75,37.25,147,149
32,28,55,36,30,50,41,31,26,28,26,55,50,37.25,37.0,149,148
33,35,40,49,23,28,33,56,32,23,28,49,56,36.75,37.25,147,149
34,40,29,46,35,19,45,36,50,29,19,46,50,37.5,37.5,150,150
35,40,34,43,33,46,24,34,44,33,24,43,46,37.5,37.0,150,148
36,32,25,44,47,16,38,48,45,25,16,47,48,37.0,36.75,148,147
37,41,36,34,37,44,30,39,31,34,30,41,44,37.0,36.0,148,144
38,38,37,29,45,28,27,47,44,29,27,45,47,37.25,36.5,149,146
39,30,53,27,37,30,40,43,34,27,30,53,43,36.75,36.75,147,147
