generation,ID,score,rawScores,ownScore
0,103,20.750000,"[27.000000,7.000000,38.000000,11.000000]",27.000000
100,10105,23.000000,"[0.000000,0.000000,82.000000,10.000000]",82.000000
200,20169,34.750000,"[31.000000,52.000000,23.000000,33.000000]",23.000000
300,30123,36.000000,"[54.000000,41.000000,29.000000,20.000000]",54.000000
400,40197,31.250000,"[58.000000,0.000000,53.000000,14.000000]",53.000000
500,50130,33.250000,"[0.000000,81.000000,36.000000,16.000000]",81.000000
600,60159,35.750000,"[69.000000,9.000000,36.000000,29.000000]",69.000000
700,70174,34.250000,"[66.000000,38.000000,0.000000,33.000000]",38.000000
800,80123,32.000000,"[79.000000,0.000000,49.000000,0.000000]",79.000000
900,90192,36.750000,"[57.000000,1.000000,32.000000,57.000000]",57.000000
1000,100123,36.500000,"[35.000000,34.000000,36.000000,41.000000]",35.000000
1100,110187,28.500000,"[82.000000,0.000000,0.000000,32.000000]",82.000000
1200,120170,36.750000,"[36.000000,54.000000,42.000000,15.000000]",54.000000
1300,130178,37.250000,"[41.000000,38.000000,34.000000,36.000000]",38.000000
1400,140111,36.000000,"[30.000000,39.000000,36.000000,39.000000]",30.000000
1500,150125,32.500000,"[56.000000,31.000000,33.000000,10.000000]",33.000000
1600,160112,31.750000,"[46.000000,38.000000,0.000000,43.000000]",43.000000
1700,170130,35.000000,"[41.000000,25.000000,47.000000,27.000000]",25.000000
1800,180138,32.250000,"[0.000000,74.000000,23.000000,32.000000]",74.000000
1900,190168,37.500000,"[21.000000,28.000000,35.000000,66.000000]",66.000000
2000,200150,35.250000,"[29.000000,41.000000,48.000000,23.000000]",41.000000
2100,210158,34.250000,"[38.000000,24.000000,50.000000,25.000000]",24.000000
2200,220185,33.000000,"[56.000000,17.000000,59.000000,0.000000]",59.000000
2300,230143,34.750000,"[48.000000,18.000000,52.000000,21.000000]",48.000000
2400,240167,35.750000,"[59.000000,33.000000,20.000000,31.000000]",59.000000
2500,250131,35.750000,"[32.000000,33.000000,31.000000,47.000000]",32.000000
2600,260165,36.500000,"[31.000000,31.000000,58.000000,26.000000]",58.000000
2700,270178,35.250000,"[51.000000,45.000000,25.000000,20.000000]",45.000000
2800,280117,35.000000,"[9.000000,38.000000,62.000000,31.000000]",62.000000
2900,290105,35.500000,"[40.000000,34.000000,48.000000,20.000000]",48.000000
3000,300135,34.750000,"[34.000000,0.000000,26.000000,79.000000]",34.000000
3100,310132,36.000000,"[32.000000,36.000000,39.000000,37.000000]",37.000000
3200,320193,34.500000,"[44.000000,16.000000,40.000000,38.000000]",40.000000
3300,330111,35.000000,"[45.000000,18.000000,44.000000,33.000000]",45.000000
3400,340150,34.250000,"[32.000000,28.000000,49.000000,28.000000]",28.000000
3500,350117,30.000000,"[71.000000,9.000000,40.000000,0.000000]",40.000000
3600,360140,35.500000,"[40.000000,27.000000,44.000000,31.000000]",31.000000
3700,370151,34.500000,"[51.000000,35.000000,39.000000,13.000000]",51.000000
3800,380108,34.250000,"[35.000000,0.000000,62.000000,40.000000]",40.000000
3900,390106,36.750000,"[34.000000,26.000000,47.000000,40.000000]",26.000000
4000,400175,34.750000,"[23.000000,30.000000,35.000000,51.000000]",23.000000
4100,410160,31.500000,"[0.000000,0.000000,60.000000,66.000000]",66.000000
4200,420104,37.000000,"[45.000000,43.000000,33.000000,27.000000]",27.000000
4300,430124,36.750000,"[54.000000,30.000000,42.000000,21.000000]",21.000000
4400,440110,34.000000,"[30.000000,46.000000,23.000000,37.000000]",46.000000
4500,450174,35.000000,"[42.000000,39.000000,14.000000,45.000000]",39.000000
4600,460186,34.000000,"[0.000000,77.000000,23.000000,36.000000]",77.000000
4700,470191,36.250000,"[55.000000,23.000000,31.000000,36.000000]",55.000000
4800,480115,37.000000,"[32.000000,44.000000,46.000000,26.000000]",32.000000
