generation,ID,score,rawScores,ownScore
0,185,36.25,"[42.000000,26.000000,44.000000,33.000000]",36.25
100,10174,36.5,"[38.000000,25.000000,45.000000,38.000000]",36.5
200,20123,36.5,"[28.000000,37.000000,47.000000,34.000000]",36.5
300,30100,34.25,"[35.000000,28.000000,46.000000,28.000000]",34.25
400,40114,36.0,"[50.000000,40.000000,27.000000,27.000000]",36.0
500,50177,37.0,"[34.000000,42.000000,34.000000,38.000000]",37.0
600,60149,37.25,"[25.000000,36.000000,62.000000,26.000000]",37.25
700,70199,35.5,"[37.000000,30.000000,30.000000,45.000000]",35.5
800,80161,35.25,"[44.000000,32.000000,32.000000,33.000000]",35.25
900,90138,36.75,"[39.000000,32.000000,25.000000,51.000000]",36.75
1000,100184,34.75,"[28.000000,60.000000,20.000000,31.000000]",34.75
1100,110160,35.75,"[37.000000,39.000000,27.000000,40.000000]",35.75
1200,120198,37.0,"[32.000000,41.000000,29.000000,46.000000]",37.0
1300,130142,37.0,"[46.000000,42.000000,37.000000,23.000000]",37.0
1400,140193,37.0,"[28.000000,59.000000,30.000000,31.000000]",37.0
1500,150141,35.25,"[36.000000,42.000000,30.000000,33.000000]",35.25
1600,160143,37.0,"[20.000000,43.000000,26.000000,59.000000]",37.0
1700,170184,36.75,"[34.000000,38.000000,39.000000,36.000000]",36.75
1800,180186,37.5,"[43.000000,30.000000,36.000000,41.000000]",37.5
1900,190169,34.0,"[33.000000,46.000000,21.000000,36.000000]",34.0
2000,200129,36.75,"[34.000000,30.000000,47.000000,36.000000]",36.75
2100,210199,36.75,"[28.000000,40.000000,50.000000,29.000000]",36.75
2200,220149,37.25,"[39.000000,42.000000,57.000000,11.000000]",37.25
2300,230190,36.5,"[28.000000,39.000000,33.000000,46.000000]",36.5
2400,240149,37.75,"[37.000000,48.000000,35.000000,31.000000]",37.75
2500,250139,36.25,"[32.000000,30.000000,47.000000,36.000000]",36.25
2600,260123,36.0,"[52.000000,23.000000,37.000000,32.000000]",36.0
2700,270140,37.25,"[51.000000,20.000000,28.000000,50.000000]",37.25
2800,280162,35.75,"[37.000000,34.000000,53.000000,19.000000]",35.75
2900,290162,38.0,"[35.000000,37.000000,35.000000,45.000000]",38.0
3000,300107,37.0,"[27.000000,43.000000,44.000000,34.000000]",37.0
3100,310124,37.0,"[44.000000,42.000000,44.000000,18.000000]",37.0
3200,320152,36.0,"[48.000000,16.000000,38.000000,42.000000]",36.0
3300,330158,36.25,"[35.000000,22.000000,48.000000,40.000000]",36.25
3400,340165,36.25,"[60.000000,37.000000,26.000000,22.000000]",36.25
3500,350124,36.25,"[26.000000,20.000000,60.000000,39.000000]",36.25
3600,360101,35.0,"[33.000000,40.000000,40.000000,27.000000]",35.0
3700,370157,36.75,"[35.000000,42.000000,36.000000,34.000000]",36.75
3800,380140,35.25,"[34.000000,49.000000,26.000000,32.000000]",35.25
3900,390140,34.5,"[31.000000,26.000000,40.000000,41.000000]",34.5
4000,400182,35.75,"[45.000000,33.000000,40.000000,25.000000]",35.75
4100,410192,37.0,"[22.000000,39.000000,41.000000,46.000000]",37.0
4200,420159,37.75,"[27.000000,43.000000,37.000000,44.000000]",37.75
4300,430193,37.5,"[28.000000,33.000000,44.000000,45.000000]",37.5
4400,440169,34.25,"[31.000000,24.000000,38.000000,44.000000]",34.25
4500,450133,36.75,"[53.000000,23.000000,42.000000,29.000000]",36.75
4600,460144,38.0,"[49.000000,60.000000,27.000000,16.000000]",38.0
4700,470118,36.5,"[40.000000,45.000000,29.000000,32.000000]",36.5
4800,470118,36.5,"[40.000000,45.000000,29.000000,32.000000]",36.5
