generation,ID,score,rawScores,ownScore
0,131,37.5,"[30.000000,41.000000,33.000000,46.000000]",37.5
100,10123,36.25,"[49.000000,18.000000,41.000000,37.000000]",36.25
200,20143,36.0,"[49.000000,29.000000,31.000000,35.000000]",36.0
300,30177,36.75,"[47.000000,30.000000,41.000000,29.000000]",36.75
400,40141,37.0,"[44.000000,35.000000,39.000000,30.000000]",37.0
500,50188,37.5,"[44.000000,15.000000,48.000000,43.000000]",37.5
600,60148,36.0,"[26.000000,29.000000,39.000000,50.000000]",36.0
700,70109,37.0,"[41.000000,40.000000,41.000000,26.000000]",37.0
800,80166,37.75,"[40.000000,39.000000,42.000000,30.000000]",37.75
900,90153,36.25,"[38.000000,39.000000,40.000000,28.000000]",36.25
1000,100193,36.25,"[27.000000,35.000000,39.000000,44.000000]",36.25
1100,110122,36.25,"[34.000000,43.000000,25.000000,43.000000]",36.25
1200,120138,37.75,"[25.000000,59.000000,42.000000,25.000000]",37.75
1300,130134,35.25,"[21.000000,21.000000,46.000000,53.000000]",35.25
1400,140163,35.5,"[26.000000,42.000000,22.000000,52.000000]",35.5
1500,150100,36.75,"[50.000000,21.000000,46.000000,30.000000]",36.75
1600,160161,37.75,"[22.000000,45.000000,50.000000,34.000000]",37.75
1700,170190,36.75,"[21.000000,51.000000,29.000000,46.000000]",36.75
1800,180106,37.5,"[27.000000,47.000000,42.000000,34.000000]",37.5
1900,190124,35.75,"[37.000000,37.000000,36.000000,33.000000]",35.75
2000,200108,33.25,"[45.000000,30.000000,27.000000,31.000000]",33.25
2100,210127,37.0,"[64.000000,33.000000,24.000000,27.000000]",37.0
2200,220178,36.25,"[46.000000,25.000000,31.000000,43.000000]",36.25
2300,230197,37.75,"[45.000000,35.000000,41.000000,30.000000]",37.75
2400,240103,37.0,"[27.000000,35.000000,50.000000,36.000000]",37.0
2500,250169,36.25,"[50.000000,38.000000,27.000000,30.000000]",36.25
2600,260146,36.75,"[54.000000,21.000000,27.000000,45.000000]",36.75
2700,270115,37.5,"[46.000000,39.000000,21.000000,44.000000]",37.5
2800,280168,36.75,"[33.000000,42.000000,40.000000,32.000000]",36.75
2900,290158,37.75,"[32.000000,34.000000,43.000000,42.000000]",37.75
3000,300187,37.0,"[53.000000,41.000000,32.000000,22.000000]",37.0
3100,310160,36.25,"[33.000000,39.000000,23.000000,50.000000]",36.25
3200,320190,36.25,"[26.000000,41.000000,38.000000,40.000000]",36.25
3300,330170,37.25,"[35.000000,51.000000,25.000000,38.000000]",37.25
3400,340128,37.5,"[28.000000,52.000000,33.000000,37.000000]",37.5
3500,350104,36.5,"[42.000000,35.000000,34.000000,35.000000]",36.5
3600,360108,37.0,"[35.000000,55.000000,36.000000,22.000000]",37.0
3700,370134,35.0,"[41.000000,33.000000,36.000000,30.000000]",35.0
3800,380114,37.75,"[38.000000,50.000000,29.000000,34.000000]",37.75
3900,390117,35.5,"[22.000000,38.000000,49.000000,33.000000]",35.5
4000,400121,38.25,"[38.000000,38.000000,34.000000,43.000000]",38.25
4100,410113,36.25,"[33.000000,34.000000,35.000000,43.000000]",36.25
4200,420128,36.5,"[30.000000,38.000000,44.000000,34.000000]",36.5
4300,430173,36.25,"[21.000000,48.000000,56.000000,20.000000]",36.25
4400,440197,37.75,"[40.000000,38.000000,40.000000,33.000000]",37.75
4500,450178,36.5,"[39.000000,35.000000,46.000000,26.000000]",36.5
4600,460117,36.75,"[42.000000,45.000000,34.000000,26.000000]",36.75
4700,470162,35.5,"[47.000000,49.000000,24.000000,22.000000]",35.5
4800,470162,35.5,"[47.000000,49.000000,24.000000,22.000000]",35.5
