generation,ID,score,rawScores,ownScore,minimumScore,maximumScore,averageOfScores,sumOfScores
0,174,47.0,"32.000000,47.000000,41.000000,18.000000",47.0,18.0,47.0,34.5,138.0
100,10131,84.0,"0.000000,84.000000,55.000000,0.000000",84.0,0.0,84.0,34.75,139.0
200,20110,93.0,"93.000000,0.000000,0.000000,36.000000",93.0,0.0,93.0,32.25,129.0
300,30191,69.0,"69.000000,0.000000,69.000000,0.000000",69.0,0.0,69.0,34.5,138.0
400,40101,53.0,"41.000000,52.000000,0.000000,53.000000",53.0,0.0,53.0,36.5,146.0
500,50104,91.0,"37.000000,91.000000,0.000000,0.000000",91.0,0.0,91.0,32.0,128.0
600,60151,82.0,"82.000000,57.000000,0.000000,0.000000",82.0,0.0,82.0,34.75,139.0
700,70165,46.0,"34.000000,36.000000,46.000000,23.000000",46.0,23.0,46.0,34.75,139.0
800,80142,119.0,"119.000000,0.000000,0.000000,0.000000",119.0,0.0,119.0,29.75,119.0
900,90167,119.0,"0.000000,0.000000,0.000000,119.000000",119.0,0.0,119.0,29.75,119.0
1000,100198,137.0,"0.000000,137.000000,0.000000,0.000000",137.0,0.0,137.0,34.25,137.0
1100,110156,125.0,"0.000000,0.000000,0.000000,125.000000",125.0,0.0,125.0,31.25,125.0
1200,120194,125.0,"125.000000,0.000000,0.000000,0.000000",125.0,0.0,125.0,31.25,125.0
1300,130172,128.0,"128.000000,0.000000,0.000000,0.000000",128.0,0.0,128.0,32.0,128.0
1400,140178,127.0,"127.000000,0.000000,0.000000,0.000000",127.0,0.0,127.0,31.75,127.0
1500,150178,38.0,"35.000000,37.000000,33.000000,38.000000",38.0,33.0,38.0,35.75,143.0
1600,160179,65.0,"40.000000,39.000000,65.000000,0.000000",65.0,0.0,65.0,36.0,144.0
1700,170189,72.0,"0.000000,72.000000,66.000000,0.000000",72.0,0.0,72.0,34.5,138.0
1800,180160,83.0,"83.000000,0.000000,53.000000,0.000000",83.0,0.0,83.0,34.0,136.0
1900,190185,97.0,"0.000000,45.000000,0.000000,97.000000",97.0,0.0,97.0,35.5,142.0
2000,200118,111.0,"0.000000,111.000000,0.000000,0.000000",111.0,0.0,111.0,27.75,111.0
2100,210125,70.0,"0.000000,70.000000,30.000000,36.000000",70.0,0.0,70.0,34.0,136.0
2200,220177,103.0,"0.000000,0.000000,103.000000,0.000000",103.0,0.0,103.0,25.75,103.0
2300,230117,117.0,"0.000000,117.000000,0.000000,0.000000",117.0,0.0,117.0,29.25,117.0
2400,240195,77.0,"62.000000,77.000000,0.000000,0.000000",77.0,0.0,77.0,34.75,139.0
2500,250142,124.0,"0.000000,0.000000,0.000000,124.000000",124.0,0.0,124.0,31.0,124.0
2600,260126,131.0,"0.000000,131.000000,0.000000,0.000000",131.0,0.0,131.0,32.75,131.0
2700,270101,122.0,"0.000000,0.000000,122.000000,0.000000",122.0,0.0,122.0,30.5,122.0
2800,280142,78.0,"0.000000,0.000000,78.000000,0.000000",78.0,0.0,78.0,19.5,78.0
2900,290152,90.0,"90.000000,0.000000,57.000000,0.000000",90.0,0.0,90.0,36.75,147.0
3000,300153,107.0,"0.000000,107.000000,0.000000,0.000000",107.0,0.0,107.0,26.75,107.0
3100,310120,75.0,"67.000000,0.000000,75.000000,0.000000",75.0,0.0,75.0,35.5,142.0
3200,320114,102.0,"0.000000,36.000000,102.000000,0.000000",102.0,0.0,102.0,34.5,138.0
3300,330105,131.0,"0.000000,0.000000,131.000000,0.000000",131.0,0.0,131.0,32.75,131.0
3400,340175,81.0,"60.000000,0.000000,81.000000,0.000000",81.0,0.0,81.0,35.25,141.0
3500,350126,83.0,"83.000000,0.000000,63.000000,0.000000",83.0,0.0,83.0,36.5,146.0
3600,360151,71.0,"71.000000,0.000000,0.000000,68.000000",71.0,0.0,71.0,34.75,139.0
3700,370120,90.0,"90.000000,0.000000,0.000000,46.000000",90.0,0.0,90.0,34.0,136.0
3800,380173,112.0,"112.000000,0.000000,0.000000,0.000000",112.0,0.0,112.0,28.0,112.0
3900,390191,124.0,"0.000000,124.000000,0.000000,0.000000",124.0,0.0,124.0,31.0,124.0
4000,400116,111.0,"111.000000,0.000000,0.000000,0.000000",111.0,0.0,111.0,27.75,111.0
4100,410160,71.0,"0.000000,71.000000,41.000000,35.000000",71.0,0.0,71.0,36.75,147.0
4200,420120,103.0,"0.000000,103.000000,0.000000,0.000000",103.0,0.0,103.0,25.75,103.0
4300,430133,59.0,"42.000000,18.000000,31.000000,59.000000",59.0,18.0,59.0,37.5,150.0
4400,440104,68.0,"0.000000,62.000000,0.000000,68.000000",68.0,0.0,68.0,32.5,130.0
4500,450126,99.0,"45.000000,0.000000,0.000000,99.000000",99.0,0.0,99.0,36.0,144.0
4600,460155,125.0,"125.000000,0.000000,0.000000,0.000000",125.0,0.0,125.0,31.25,125.0
4700,470145,73.0,"58.000000,0.000000,73.000000,0.000000",73.0,0.0,73.0,32.75,131.0
4800,470145,73.0,"58.000000,0.000000,73.000000,0.000000",73.0,0.0,73.0,32.75,131.0
