generation,ID,score,rawScores,ownScore
0,186,65.000000,"[53.000000,18.000000,65.000000,0.000000]",65.000000
100,10138,134.000000,"[134.000000,6.000000,0.000000,0.000000]",134.000000
200,20161,107.000000,"[0.000000,2.000000,16.000000,107.000000]",107.000000
300,30154,49.000000,"[12.000000,29.000000,35.000000,49.000000]",49.000000
400,40136,88.000000,"[0.000000,39.000000,88.000000,15.000000]",88.000000
500,50118,58.000000,"[0.000000,58.000000,37.000000,25.000000]",58.000000
600,60177,61.000000,"[0.000000,35.000000,61.000000,29.000000]",61.000000
700,70112,94.000000,"[0.000000,2.000000,94.000000,0.000000]",94.000000
800,80115,64.000000,"[64.000000,2.000000,31.000000,46.000000]",64.000000
900,90135,73.000000,"[31.000000,2.000000,8.000000,73.000000]",73.000000
1000,100155,81.000000,"[81.000000,0.000000,59.000000,0.000000]",81.000000
1100,110163,129.000000,"[129.000000,0.000000,0.000000,1.000000]",129.000000
1200,120102,65.000000,"[9.000000,0.000000,51.000000,65.000000]",65.000000
1300,130111,109.000000,"[10.000000,0.000000,109.000000,4.000000]",109.000000
1400,140159,51.000000,"[22.000000,10.000000,51.000000,48.000000]",51.000000
1500,150117,56.000000,"[16.000000,5.000000,42.000000,56.000000]",56.000000
1600,160193,71.000000,"[11.000000,0.000000,71.000000,32.000000]",71.000000
1700,170128,57.000000,"[57.000000,29.000000,0.000000,46.000000]",57.000000
1800,180155,61.000000,"[0.000000,61.000000,17.000000,42.000000]",61.000000
1900,190103,98.000000,"[1.000000,40.000000,0.000000,98.000000]",98.000000
2000,200114,74.000000,"[24.000000,74.000000,0.000000,39.000000]",74.000000
2100,210161,65.000000,"[16.000000,65.000000,1.000000,43.000000]",65.000000
2200,220197,67.000000,"[31.000000,67.000000,37.000000,2.000000]",67.000000
2300,230139,116.000000,"[0.000000,116.000000,0.000000,25.000000]",116.000000
2400,240194,52.000000,"[26.000000,40.000000,24.000000,52.000000]",52.000000
2500,250117,65.000000,"[65.000000,64.000000,8.000000,10.000000]",65.000000
2600,260151,50.000000,"[50.000000,40.000000,8.000000,49.000000]",50.000000
2700,270180,62.000000,"[62.000000,29.000000,0.000000,35.000000]",62.000000
2800,280193,94.000000,"[94.000000,20.000000,0.000000,33.000000]",94.000000
2900,290194,94.000000,"[94.000000,14.000000,3.000000,20.000000]",94.000000
3000,300100,66.000000,"[60.000000,66.000000,1.000000,14.000000]",66.000000
3100,310114,95.000000,"[33.000000,1.000000,0.000000,95.000000]",95.000000
3200,320133,49.000000,"[43.000000,49.000000,0.000000,25.000000]",49.000000
3300,330142,71.000000,"[71.000000,45.000000,5.000000,23.000000]",71.000000
3400,340180,70.000000,"[70.000000,58.000000,3.000000,11.000000]",70.000000
3500,350155,94.000000,"[46.000000,94.000000,1.000000,1.000000]",94.000000
3600,360136,79.000000,"[79.000000,24.000000,10.000000,33.000000]",79.000000
3700,370134,64.000000,"[40.000000,43.000000,0.000000,64.000000]",64.000000
3800,380100,53.000000,"[42.000000,53.000000,0.000000,48.000000]",53.000000
3900,390157,69.000000,"[38.000000,69.000000,0.000000,41.000000]",69.000000
4000,400199,97.000000,"[97.000000,32.000000,5.000000,11.000000]",97.000000
4100,410159,70.000000,"[70.000000,29.000000,0.000000,38.000000]",70.000000
4200,420164,127.000000,"[127.000000,6.000000,0.000000,4.000000]",127.000000
4300,430145,60.000000,"[38.000000,60.000000,3.000000,38.000000]",60.000000
4400,440138,91.000000,"[91.000000,51.000000,0.000000,1.000000]",91.000000
4500,450128,130.000000,"[130.000000,20.000000,0.000000,0.000000]",130.000000
4600,460131,66.000000,"[66.000000,47.000000,0.000000,30.000000]",66.000000
4700,470189,101.000000,"[101.000000,21.000000,0.000000,15.000000]",101.000000
4800,480105,77.000000,"[77.000000,14.000000,0.000000,39.000000]",77.000000
