generation,ID,score,rawScores,ownScore
0,157,0.0,"[0.000000,51.000000,45.000000,0.000000]",45.0
100,10151,18.0,"[34.000000,18.000000,54.000000,42.000000]",34.0
200,20106,28.0,"[28.000000,42.000000,31.000000,39.000000]",42.0
300,30179,25.0,"[40.000000,25.000000,35.000000,37.000000]",40.0
400,40130,27.0,"[48.000000,28.000000,27.000000,38.000000]",28.0
500,50153,27.0,"[36.000000,49.000000,29.000000,27.000000]",29.0
600,60164,28.0,"[41.000000,28.000000,36.000000,29.000000]",29.0
700,70148,31.0,"[36.000000,45.000000,31.000000,31.000000]",31.0
800,80151,24.0,"[36.000000,25.000000,57.000000,24.000000]",36.0
900,90113,29.0,"[36.000000,32.000000,40.000000,29.000000]",40.0
1000,100184,32.0,"[37.000000,32.000000,39.000000,34.000000]",34.0
1100,110185,24.0,"[24.000000,36.000000,32.000000,46.000000]",32.0
1200,120114,21.0,"[21.000000,36.000000,40.000000,45.000000]",36.0
1300,130198,35.0,"[36.000000,35.000000,38.000000,35.000000]",35.0
1400,140112,22.0,"[50.000000,22.000000,45.000000,26.000000]",26.0
1500,150109,35.0,"[37.000000,36.000000,35.000000,37.000000]",35.0
1600,160140,28.0,"[38.000000,28.000000,35.000000,29.000000]",29.0
1700,170172,29.0,"[49.000000,35.000000,36.000000,29.000000]",29.0
1800,180104,29.0,"[46.000000,34.000000,37.000000,29.000000]",29.0
1900,190165,33.0,"[34.000000,33.000000,42.000000,36.000000]",42.0
2000,200171,32.0,"[45.000000,32.000000,36.000000,33.000000]",45.0
2100,210141,28.0,"[38.000000,28.000000,28.000000,46.000000]",28.0
2200,220156,31.0,"[31.000000,32.000000,40.000000,39.000000]",39.0
2300,230151,20.0,"[28.000000,36.000000,55.000000,20.000000]",28.0
2400,240171,22.0,"[22.000000,45.000000,44.000000,34.000000]",22.0
2500,250140,32.0,"[43.000000,32.000000,33.000000,39.000000]",39.0
2600,260177,23.0,"[23.000000,42.000000,37.000000,33.000000]",37.0
2700,270105,15.0,"[31.000000,15.000000,51.000000,42.000000]",51.0
2800,280183,24.0,"[36.000000,26.000000,55.000000,24.000000]",36.0
2900,290193,18.0,"[18.000000,40.000000,23.000000,52.000000]",23.0
3000,300175,25.0,"[25.000000,46.000000,47.000000,27.000000]",25.0
3100,310154,33.0,"[33.000000,33.000000,33.000000,33.000000]",33.0
3200,320130,28.0,"[42.000000,28.000000,42.000000,33.000000]",28.0
3300,330116,26.0,"[39.000000,26.000000,34.000000,31.000000]",31.0
3400,340138,34.0,"[37.000000,39.000000,35.000000,34.000000]",39.0
3500,350160,25.0,"[42.000000,30.000000,35.000000,25.000000]",25.0
3600,360100,28.0,"[43.000000,28.000000,29.000000,36.000000]",36.0
3700,370141,24.0,"[61.000000,24.000000,24.000000,25.000000]",24.0
3800,380178,33.0,"[33.000000,36.000000,36.000000,45.000000]",36.0
3900,390119,21.0,"[53.000000,25.000000,21.000000,46.000000]",53.0
4000,400181,35.0,"[35.000000,35.000000,37.000000,36.000000]",37.0
4100,410164,31.0,"[42.000000,39.000000,31.000000,34.000000]",34.0
4200,420124,25.0,"[37.000000,40.000000,31.000000,25.000000]",25.0
4300,430192,18.0,"[18.000000,53.000000,44.000000,28.000000]",28.0
4400,440131,24.0,"[24.000000,49.000000,30.000000,29.000000]",24.0
4500,450173,22.0,"[22.000000,43.000000,41.000000,37.000000]",41.0
4600,460192,32.0,"[34.000000,38.000000,32.000000,35.000000]",35.0
4700,460192,32.0,"[34.000000,38.000000,32.000000,35.000000]",35.0
4800,460192,32.0,"[34.000000,38.000000,32.000000,35.000000]",35.0
