generation,ID,score,rawScores,ownScore
0,111,0.000000,"[0.000000,0.000000,0.000000,11.000000]",0.000000
100,10150,24.000000,"[24.000000,39.000000,50.000000,29.000000]",39.000000
200,20109,24.000000,"[24.000000,45.000000,31.000000,38.000000]",31.000000
300,30123,21.000000,"[41.000000,29.000000,45.000000,21.000000]",41.000000
400,40132,16.000000,"[55.000000,28.000000,16.000000,25.000000]",25.000000
500,50136,17.000000,"[34.000000,42.000000,17.000000,21.000000]",21.000000
600,60166,26.000000,"[37.000000,26.000000,46.000000,28.000000]",26.000000
700,70131,19.000000,"[19.000000,42.000000,32.000000,26.000000]",19.000000
800,80143,18.000000,"[18.000000,26.000000,53.000000,24.000000]",18.000000
900,90110,17.000000,"[17.000000,37.000000,34.000000,36.000000]",37.000000
1000,100112,21.000000,"[24.000000,21.000000,31.000000,31.000000]",31.000000
1100,110130,17.000000,"[38.000000,25.000000,17.000000,35.000000]",25.000000
1200,120129,29.000000,"[39.000000,35.000000,29.000000,32.000000]",29.000000
1300,130128,24.000000,"[24.000000,32.000000,31.000000,31.000000]",31.000000
1400,140164,18.000000,"[28.000000,29.000000,18.000000,54.000000]",54.000000
1500,150108,26.000000,"[32.000000,30.000000,26.000000,47.000000]",47.000000
1600,160144,22.000000,"[48.000000,49.000000,24.000000,22.000000]",22.000000
1700,170111,32.000000,"[33.000000,32.000000,38.000000,35.000000]",33.000000
1800,180112,25.000000,"[44.000000,25.000000,34.000000,33.000000]",33.000000
1900,190108,26.000000,"[39.000000,26.000000,26.000000,39.000000]",39.000000
2000,200198,24.000000,"[45.000000,34.000000,30.000000,24.000000]",34.000000
2100,210156,17.000000,"[17.000000,20.000000,32.000000,41.000000]",41.000000
2200,220194,21.000000,"[21.000000,25.000000,40.000000,27.000000]",25.000000
2300,230173,17.000000,"[21.000000,17.000000,24.000000,27.000000]",24.000000
2400,240135,20.000000,"[32.000000,20.000000,25.000000,37.000000]",32.000000
2500,250174,23.000000,"[26.000000,33.000000,27.000000,23.000000]",33.000000
2600,260118,15.000000,"[39.000000,15.000000,26.000000,20.000000]",15.000000
2700,270194,23.000000,"[23.000000,40.000000,31.000000,46.000000]",40.000000
2800,280182,18.000000,"[18.000000,42.000000,31.000000,22.000000]",42.000000
2900,290118,26.000000,"[30.000000,27.000000,26.000000,35.000000]",27.000000
3000,300121,24.000000,"[24.000000,33.000000,26.000000,30.000000]",26.000000
3100,310126,21.000000,"[35.000000,29.000000,45.000000,21.000000]",29.000000
3200,320161,27.000000,"[30.000000,29.000000,27.000000,44.000000]",27.000000
3300,330174,26.000000,"[27.000000,42.000000,43.000000,26.000000]",42.000000
3400,340150,26.000000,"[47.000000,26.000000,39.000000,31.000000]",26.000000
3500,350114,26.000000,"[26.000000,29.000000,47.000000,36.000000]",29.000000
3600,360104,17.000000,"[37.000000,40.000000,27.000000,17.000000]",17.000000
3700,370153,22.000000,"[34.000000,54.000000,24.000000,22.000000]",24.000000
3800,380161,22.000000,"[47.000000,32.000000,22.000000,45.000000]",22.000000
3900,390144,19.000000,"[49.000000,35.000000,19.000000,39.000000]",39.000000
4000,400184,24.000000,"[24.000000,26.000000,50.000000,35.000000]",35.000000
4100,410114,19.000000,"[23.000000,23.000000,19.000000,35.000000]",23.000000
4200,420147,22.000000,"[31.000000,27.000000,22.000000,37.000000]",31.000000
4300,430197,22.000000,"[41.000000,40.000000,32.000000,22.000000]",32.000000
4400,440194,11.000000,"[11.000000,21.000000,58.000000,41.000000]",21.000000
4500,450104,31.000000,"[35.000000,35.000000,31.000000,33.000000]",33.000000
4600,460188,33.000000,"[40.000000,33.000000,37.000000,35.000000]",35.000000
4700,470199,22.000000,"[51.000000,35.000000,24.000000,22.000000]",51.000000
4800,480141,28.000000,"[41.000000,39.000000,28.000000,32.000000]",28.000000
