generation,ID,score,rawScores,ownScore
0,101,27.000000,"[1.000000,0.000000,99.000000,8.000000]",99.000000
100,10117,33.000000,"[39.000000,39.000000,54.000000,0.000000]",54.000000
200,20108,36.000000,"[25.000000,19.000000,66.000000,34.000000]",34.000000
300,30143,35.750000,"[28.000000,51.000000,37.000000,27.000000]",28.000000
400,40175,36.000000,"[48.000000,41.000000,0.000000,55.000000]",48.000000
500,50118,36.000000,"[0.000000,52.000000,44.000000,48.000000]",52.000000
600,60163,36.500000,"[43.000000,29.000000,20.000000,54.000000]",43.000000
700,70199,31.250000,"[67.000000,58.000000,0.000000,0.000000]",67.000000
800,80136,33.750000,"[26.000000,51.000000,15.000000,43.000000]",43.000000
900,90131,36.000000,"[39.000000,25.000000,44.000000,36.000000]",39.000000
1000,100102,34.000000,"[32.000000,30.000000,37.000000,37.000000]",30.000000
1100,110121,35.750000,"[31.000000,41.000000,49.000000,22.000000]",49.000000
1200,120129,36.500000,"[35.000000,30.000000,45.000000,36.000000]",45.000000
1300,130144,36.000000,"[53.000000,17.000000,38.000000,36.000000]",36.000000
1400,140118,36.500000,"[42.000000,21.000000,48.000000,35.000000]",21.000000
1500,150140,33.250000,"[0.000000,52.000000,39.000000,42.000000]",42.000000
1600,160177,36.250000,"[0.000000,40.000000,46.000000,59.000000]",46.000000
1700,170100,35.500000,"[23.000000,56.000000,0.000000,63.000000]",63.000000
1800,180147,34.000000,"[50.000000,0.000000,68.000000,18.000000]",50.000000
1900,190178,35.500000,"[57.000000,35.000000,19.000000,31.000000]",35.000000
2000,200109,36.500000,"[36.000000,33.000000,32.000000,45.000000]",32.000000
2100,210172,34.000000,"[24.000000,19.000000,41.000000,52.000000]",52.000000
2200,220136,33.750000,"[0.000000,65.000000,32.000000,38.000000]",38.000000
2300,230156,33.750000,"[45.000000,44.000000,17.000000,29.000000]",29.000000
2400,240185,36.250000,"[21.000000,48.000000,39.000000,37.000000]",39.000000
2500,250111,35.500000,"[77.000000,33.000000,32.000000,0.000000]",77.000000
2600,260192,35.500000,"[55.000000,0.000000,41.000000,46.000000]",46.000000
2700,270184,36.000000,"[35.000000,56.000000,0.000000,53.000000]",53.000000
2800,280182,34.500000,"[29.000000,56.000000,19.000000,34.000000]",56.000000
2900,290175,23.750000,"[77.000000,18.000000,0.000000,0.000000]",77.000000
3000,300180,34.250000,"[47.000000,38.000000,15.000000,37.000000]",37.000000
3100,310160,31.750000,"[52.000000,0.000000,15.000000,60.000000]",60.000000
3200,320139,32.750000,"[64.000000,67.000000,0.000000,0.000000]",64.000000
3300,330188,35.000000,"[31.000000,0.000000,36.000000,73.000000]",73.000000
3400,340150,36.000000,"[37.000000,50.000000,9.000000,48.000000]",50.000000
3500,350151,37.250000,"[27.000000,48.000000,30.000000,44.000000]",27.000000
3600,360175,32.000000,"[72.000000,4.000000,52.000000,0.000000]",72.000000
3700,370147,35.500000,"[61.000000,29.000000,52.000000,0.000000]",61.000000
3800,380113,34.000000,"[41.000000,0.000000,53.000000,42.000000]",53.000000
3900,390135,36.750000,"[47.000000,51.000000,23.000000,26.000000]",47.000000
4000,400166,36.500000,"[38.000000,59.000000,0.000000,49.000000]",59.000000
4100,410173,32.250000,"[0.000000,65.000000,64.000000,0.000000]",64.000000
4200,420195,35.500000,"[61.000000,0.000000,35.000000,46.000000]",61.000000
4300,430177,35.000000,"[0.000000,38.000000,54.000000,48.000000]",54.000000
4400,440135,35.500000,"[44.000000,48.000000,50.000000,0.000000]",44.000000
4500,450199,34.750000,"[47.000000,30.000000,42.000000,20.000000]",47.000000
4600,460178,28.750000,"[0.000000,60.000000,55.000000,0.000000]",60.000000
4700,470199,34.250000,"[32.000000,55.000000,24.000000,26.000000]",32.000000
