generation,ID,score,rawScores,ownScore
0,103,36.250000,"[42.000000,39.000000,36.000000,28.000000]",36.250000
100,10126,36.000000,"[43.000000,28.000000,29.000000,44.000000]",36.000000
200,20173,35.750000,"[43.000000,39.000000,23.000000,38.000000]",35.750000
300,30111,35.500000,"[35.000000,33.000000,33.000000,41.000000]",35.500000
400,40145,37.250000,"[42.000000,41.000000,26.000000,40.000000]",37.250000
500,50100,37.000000,"[35.000000,23.000000,41.000000,49.000000]",37.000000
600,60126,37.250000,"[40.000000,32.000000,35.000000,42.000000]",37.250000
700,70125,37.000000,"[22.000000,49.000000,47.000000,30.000000]",37.000000
800,80191,36.250000,"[34.000000,35.000000,28.000000,48.000000]",36.250000
900,90137,37.750000,"[29.000000,47.000000,44.000000,31.000000]",37.750000
1000,100106,37.000000,"[23.000000,51.000000,30.000000,44.000000]",37.000000
1100,110143,35.750000,"[46.000000,32.000000,29.000000,36.000000]",35.750000
1200,120109,36.000000,"[28.000000,46.000000,32.000000,38.000000]",36.000000
1300,130173,36.250000,"[39.000000,44.000000,30.000000,32.000000]",36.250000
1400,140158,37.500000,"[42.000000,42.000000,38.000000,28.000000]",37.500000
1500,150118,37.000000,"[39.000000,39.000000,41.000000,29.000000]",37.000000
1600,160161,34.750000,"[45.000000,31.000000,33.000000,30.000000]",34.750000
1700,170184,37.000000,"[40.000000,28.000000,38.000000,42.000000]",37.000000
1800,180188,35.250000,"[16.000000,29.000000,57.000000,39.000000]",35.250000
1900,190130,35.250000,"[27.000000,28.000000,47.000000,39.000000]",35.250000
2000,200110,33.500000,"[22.000000,54.000000,34.000000,24.000000]",33.500000
2100,210167,36.500000,"[23.000000,41.000000,29.000000,53.000000]",36.500000
2200,220143,35.500000,"[54.000000,25.000000,31.000000,32.000000]",35.500000
2300,230131,33.250000,"[34.000000,49.000000,28.000000,22.000000]",33.250000
2400,240196,37.000000,"[33.000000,43.000000,23.000000,49.000000]",37.000000
2500,250188,36.250000,"[32.000000,46.000000,44.000000,23.000000]",36.250000
2600,260182,36.500000,"[36.000000,33.000000,40.000000,37.000000]",36.500000
2700,270155,37.000000,"[16.000000,53.000000,34.000000,45.000000]",37.000000
2800,280169,36.500000,"[25.000000,37.000000,41.000000,43.000000]",36.500000
2900,290141,37.500000,"[27.000000,47.000000,48.000000,28.000000]",37.500000
3000,300188,36.500000,"[45.000000,36.000000,24.000000,41.000000]",36.500000
3100,310110,37.250000,"[47.000000,27.000000,23.000000,52.000000]",37.250000
3200,320180,36.500000,"[28.000000,45.000000,46.000000,27.000000]",36.500000
3300,330195,36.250000,"[37.000000,37.000000,49.000000,22.000000]",36.250000
3400,340150,36.250000,"[27.000000,44.000000,30.000000,44.000000]",36.250000
3500,350194,36.000000,"[47.000000,34.000000,40.000000,23.000000]",36.000000
3600,360100,36.750000,"[51.000000,40.000000,28.000000,28.000000]",36.750000
3700,370187,37.000000,"[54.000000,24.000000,43.000000,27.000000]",37.000000
3800,380148,36.750000,"[30.000000,41.000000,46.000000,30.000000]",36.750000
3900,390117,37.500000,"[19.000000,35.000000,56.000000,40.000000]",37.500000
4000,400172,36.500000,"[37.000000,42.000000,44.000000,23.000000]",36.500000
4100,410180,29.500000,"[34.000000,28.000000,37.000000,19.000000]",29.500000
4200,420132,37.500000,"[46.000000,37.000000,27.000000,40.000000]",37.500000
4300,430102,37.250000,"[39.000000,42.000000,30.000000,38.000000]",37.250000
4400,440134,35.750000,"[31.000000,29.000000,41.000000,42.000000]",35.750000
4500,450100,37.500000,"[38.000000,36.000000,43.000000,33.000000]",37.500000
4600,460198,36.250000,"[40.000000,36.000000,32.000000,37.000000]",36.250000
4700,470133,36.750000,"[34.000000,35.000000,39.000000,39.000000]",36.750000
