generation,ID,score,rawScores,ownScore
0,143,34.75,"[45.000000,44.000000,26.000000,24.000000]",34.75
100,10111,37.0,"[36.000000,17.000000,43.000000,52.000000]",37.0
200,20120,37.0,"[32.000000,29.000000,44.000000,43.000000]",37.0
300,30129,36.5,"[26.000000,44.000000,31.000000,45.000000]",36.5
400,40100,35.0,"[47.000000,32.000000,31.000000,30.000000]",35.0
500,50120,37.25,"[29.000000,28.000000,63.000000,29.000000]",37.25
600,60100,36.0,"[41.000000,34.000000,39.000000,30.000000]",36.0
700,70161,36.5,"[20.000000,39.000000,42.000000,45.000000]",36.5
800,80102,36.75,"[41.000000,50.000000,31.000000,25.000000]",36.75
900,90184,37.5,"[41.000000,38.000000,19.000000,52.000000]",37.5
1000,100117,35.75,"[26.000000,41.000000,34.000000,42.000000]",35.75
1100,110157,37.0,"[59.000000,25.000000,38.000000,26.000000]",37.0
1200,120189,36.75,"[41.000000,35.000000,43.000000,28.000000]",36.75
1300,130167,35.25,"[27.000000,53.000000,26.000000,35.000000]",35.25
1400,140108,37.0,"[41.000000,38.000000,33.000000,36.000000]",37.0
1500,150152,37.5,"[46.000000,25.000000,37.000000,42.000000]",37.5
1600,160118,36.5,"[34.000000,32.000000,36.000000,44.000000]",36.5
1700,170112,35.0,"[25.000000,40.000000,29.000000,46.000000]",35.0
1800,180121,37.25,"[27.000000,39.000000,29.000000,54.000000]",37.25
1900,190128,34.0,"[37.000000,19.000000,37.000000,43.000000]",34.0
2000,200153,37.0,"[39.000000,38.000000,40.000000,31.000000]",37.0
2100,210162,36.75,"[38.000000,26.000000,42.000000,41.000000]",36.75
2200,220170,35.25,"[56.000000,23.000000,35.000000,27.000000]",35.25
2300,230178,35.75,"[37.000000,33.000000,41.000000,32.000000]",35.75
2400,240136,36.5,"[28.000000,39.000000,40.000000,39.000000]",36.5
2500,250145,35.5,"[42.000000,41.000000,31.000000,28.000000]",35.5
2600,260114,36.75,"[37.000000,20.000000,49.000000,41.000000]",36.75
2700,270149,36.5,"[21.000000,53.000000,24.000000,48.000000]",36.5
2800,280132,37.75,"[16.000000,66.000000,35.000000,34.000000]",37.75
2900,290173,36.5,"[20.000000,46.000000,46.000000,34.000000]",36.5
3000,300108,35.0,"[43.000000,30.000000,36.000000,31.000000]",35.0
3100,310149,36.5,"[30.000000,52.000000,38.000000,26.000000]",36.5
3200,320188,35.75,"[29.000000,40.000000,31.000000,43.000000]",35.75
3300,330166,37.75,"[48.000000,49.000000,27.000000,27.000000]",37.75
3400,340188,36.0,"[21.000000,30.000000,53.000000,40.000000]",36.0
3500,350124,36.25,"[27.000000,50.000000,25.000000,43.000000]",36.25
3600,360135,38.25,"[40.000000,36.000000,29.000000,48.000000]",38.25
3700,370144,33.75,"[38.000000,26.000000,23.000000,48.000000]",33.75
3800,380108,35.75,"[49.000000,32.000000,24.000000,38.000000]",35.75
3900,390165,35.0,"[38.000000,20.000000,44.000000,38.000000]",35.0
4000,400164,36.75,"[39.000000,30.000000,33.000000,45.000000]",36.75
4100,410171,36.0,"[38.000000,44.000000,26.000000,36.000000]",36.0
4200,420197,36.25,"[28.000000,36.000000,35.000000,46.000000]",36.25
4300,430152,37.25,"[29.000000,42.000000,40.000000,38.000000]",37.25
4400,440103,36.5,"[36.000000,47.000000,28.000000,35.000000]",36.5
4500,450114,36.75,"[17.000000,55.000000,46.000000,29.000000]",36.75
4600,460154,37.5,"[31.000000,30.000000,42.000000,47.000000]",37.5
4700,470114,37.5,"[45.000000,24.000000,45.000000,36.000000]",37.5
4800,470114,37.5,"[45.000000,24.000000,45.000000,36.000000]",37.5
