generation,ID,score,rawScores,ownScore
0,154,81.0,"[0.000000,81.000000,35.000000,21.000000]",81.0
100,10124,52.0,"[28.000000,28.000000,39.000000,52.000000]",52.0
200,20167,71.0,"[71.000000,40.000000,30.000000,0.000000]",71.0
300,30107,42.0,"[42.000000,44.000000,46.000000,18.000000]",42.0
400,40158,38.0,"[43.000000,38.000000,0.000000,53.000000]",38.0
500,50114,35.0,"[63.000000,35.000000,45.000000,0.000000]",35.0
600,60143,51.0,"[51.000000,37.000000,36.000000,24.000000]",51.0
700,70167,33.0,"[33.000000,42.000000,28.000000,42.000000]",33.0
800,80126,51.0,"[29.000000,51.000000,28.000000,39.000000]",51.0
900,90152,24.0,"[41.000000,38.000000,38.000000,24.000000]",24.0
1000,100141,51.0,"[0.000000,42.000000,51.000000,48.000000]",51.0
1100,110142,41.0,"[44.000000,41.000000,34.000000,28.000000]",41.0
1200,120150,34.0,"[43.000000,34.000000,42.000000,22.000000]",34.0
1300,130167,50.0,"[50.000000,45.000000,31.000000,24.000000]",50.0
1400,140158,37.0,"[50.000000,37.000000,59.000000,0.000000]",37.0
1500,150193,36.0,"[25.000000,47.000000,36.000000,38.000000]",36.0
1600,160121,37.0,"[48.000000,16.000000,37.000000,44.000000]",37.0
1700,170101,25.0,"[22.000000,36.000000,25.000000,60.000000]",25.0
1800,180179,36.0,"[36.000000,32.000000,41.000000,40.000000]",36.0
1900,190134,36.0,"[39.000000,36.000000,42.000000,29.000000]",36.0
2000,200122,27.0,"[36.000000,27.000000,50.000000,37.000000]",27.0
2100,210182,22.0,"[64.000000,22.000000,26.000000,30.000000]",22.0
2200,220112,39.0,"[48.000000,26.000000,26.000000,39.000000]",39.0
2300,230167,56.0,"[56.000000,15.000000,30.000000,42.000000]",56.0
2400,240113,29.0,"[26.000000,39.000000,29.000000,53.000000]",29.0
2500,250119,70.0,"[70.000000,52.000000,18.000000,0.000000]",70.0
2600,260174,59.0,"[24.000000,59.000000,35.000000,29.000000]",59.0
2700,270176,38.0,"[54.000000,34.000000,21.000000,38.000000]",38.0
2800,280146,49.0,"[24.000000,49.000000,46.000000,27.000000]",49.0
2900,290173,52.0,"[29.000000,22.000000,52.000000,43.000000]",52.0
3000,300170,37.0,"[11.000000,37.000000,54.000000,42.000000]",37.0
3100,310127,47.0,"[47.000000,29.000000,65.000000,0.000000]",47.0
3200,320132,34.0,"[29.000000,48.000000,38.000000,34.000000]",34.0
3300,330144,31.0,"[35.000000,39.000000,44.000000,31.000000]",31.0
3400,340164,37.0,"[34.000000,57.000000,16.000000,37.000000]",37.0
3500,350120,30.0,"[52.000000,43.000000,25.000000,30.000000]",30.0
3600,360100,55.0,"[29.000000,24.000000,42.000000,55.000000]",55.0
3700,370143,57.0,"[57.000000,23.000000,27.000000,34.000000]",57.0
3800,380159,31.0,"[31.000000,44.000000,38.000000,33.000000]",31.0
3900,390105,45.0,"[18.000000,51.000000,45.000000,33.000000]",45.0
4000,400163,59.0,"[59.000000,51.000000,35.000000,0.000000]",59.0
4100,410180,50.0,"[19.000000,53.000000,30.000000,50.000000]",50.0
4200,420144,48.0,"[27.000000,35.000000,41.000000,48.000000]",48.0
4300,430114,49.0,"[44.000000,49.000000,21.000000,30.000000]",49.0
4400,440109,51.0,"[39.000000,0.000000,51.000000,58.000000]",51.0
4500,450120,48.0,"[47.000000,32.000000,19.000000,48.000000]",48.0
4600,460142,29.0,"[45.000000,29.000000,46.000000,28.000000]",29.0
4700,470127,35.0,"[35.000000,53.000000,34.000000,25.000000]",35.0
4800,470127,35.0,"[35.000000,53.000000,34.000000,25.000000]",35.0
