generation,ID,score,rawScores,ownScore
0,100,33.0,"[34.000000,33.000000,34.000000,38.000000]",33.0
100,10196,34.0,"[35.000000,34.000000,39.000000,39.000000]",34.0
200,20146,33.0,"[33.000000,35.000000,43.000000,36.000000]",33.0
300,30147,30.0,"[37.000000,36.000000,34.000000,30.000000]",30.0
400,40187,33.0,"[38.000000,33.000000,37.000000,40.000000]",33.0
500,50136,35.0,"[39.000000,35.000000,38.000000,35.000000]",35.0
600,60112,30.0,"[37.000000,30.000000,35.000000,35.000000]",30.0
700,70171,32.0,"[32.000000,37.000000,34.000000,36.000000]",32.0
800,80164,30.0,"[30.000000,39.000000,39.000000,39.000000]",30.0
900,90134,34.0,"[38.000000,38.000000,34.000000,40.000000]",34.0
1000,100172,35.0,"[38.000000,39.000000,37.000000,35.000000]",35.0
1100,110111,33.0,"[42.000000,37.000000,33.000000,39.000000]",33.0
1200,120188,36.0,"[37.000000,38.000000,36.000000,40.000000]",36.0
1300,130181,34.0,"[34.000000,37.000000,40.000000,37.000000]",34.0
1400,140186,35.0,"[36.000000,40.000000,38.000000,35.000000]",35.0
1500,150196,30.0,"[37.000000,30.000000,36.000000,36.000000]",30.0
1600,160116,35.0,"[37.000000,35.000000,39.000000,41.000000]",35.0
1700,170150,37.0,"[39.000000,37.000000,40.000000,41.000000]",37.0
1800,180148,32.0,"[37.000000,39.000000,32.000000,37.000000]",32.0
1900,190164,36.0,"[36.000000,39.000000,40.000000,37.000000]",36.0
2000,200194,35.0,"[40.000000,35.000000,37.000000,38.000000]",35.0
2100,210197,32.0,"[32.000000,34.000000,37.000000,32.000000]",32.0
2200,220197,32.0,"[39.000000,32.000000,35.000000,39.000000]",32.0
2300,230176,34.0,"[39.000000,36.000000,34.000000,42.000000]",34.0
2400,240106,35.0,"[35.000000,36.000000,37.000000,38.000000]",35.0
2500,250149,36.0,"[36.000000,36.000000,40.000000,36.000000]",36.0
2600,260125,33.0,"[35.000000,33.000000,34.000000,37.000000]",33.0
2700,270132,35.0,"[35.000000,38.000000,35.000000,35.000000]",35.0
2800,280133,35.0,"[37.000000,35.000000,35.000000,40.000000]",35.0
2900,290195,33.0,"[33.000000,41.000000,36.000000,38.000000]",33.0
3000,300160,33.0,"[33.000000,36.000000,37.000000,39.000000]",33.0
3100,310164,32.0,"[38.000000,38.000000,35.000000,32.000000]",32.0
3200,320128,33.0,"[39.000000,36.000000,33.000000,35.000000]",33.0
3300,330141,33.0,"[36.000000,39.000000,36.000000,33.000000]",33.0
3400,340124,30.0,"[38.000000,33.000000,36.000000,30.000000]",30.0
3500,350117,31.0,"[37.000000,37.000000,31.000000,33.000000]",31.0
3600,360111,33.0,"[40.000000,41.000000,33.000000,34.000000]",33.0
3700,370184,33.0,"[37.000000,33.000000,38.000000,33.000000]",33.0
3800,380164,35.0,"[35.000000,35.000000,37.000000,35.000000]",35.0
3900,390199,35.0,"[35.000000,35.000000,38.000000,38.000000]",35.0
4000,400110,31.0,"[34.000000,31.000000,33.000000,36.000000]",31.0
4100,410101,35.0,"[35.000000,44.000000,35.000000,37.000000]",35.0
4200,420178,32.0,"[40.000000,32.000000,36.000000,38.000000]",32.0
4300,430193,32.0,"[37.000000,36.000000,32.000000,42.000000]",32.0
4400,440163,34.0,"[34.000000,36.000000,35.000000,36.000000]",34.0
4500,450153,36.0,"[36.000000,36.000000,38.000000,40.000000]",36.0
4600,460179,34.0,"[37.000000,34.000000,40.000000,37.000000]",34.0
4700,460179,34.0,"[37.000000,34.000000,40.000000,37.000000]",34.0
4800,460179,34.0,"[37.000000,34.000000,40.000000,37.000000]",34.0
