generation,ID,score,rawScores,ownScore,minimumScore,maximumScore,averageOfScores,sumOfScores
0,189,34.0,"45.000000,37.000000,34.000000,34.000000",34.0,34.0,45.0,37.5,150.0
100,10122,34.0,"40.000000,35.000000,34.000000,37.000000",34.0,34.0,40.0,36.5,146.0
200,20118,34.0,"36.000000,40.000000,38.000000,34.000000",34.0,34.0,40.0,37.0,148.0
300,30119,32.0,"32.000000,35.000000,42.000000,40.000000",32.0,32.0,42.0,37.25,149.0
400,40175,35.0,"35.000000,36.000000,40.000000,37.000000",35.0,35.0,40.0,37.0,148.0
500,50155,30.0,"30.000000,36.000000,45.000000,39.000000",30.0,30.0,45.0,37.5,150.0
600,60101,37.0,"39.000000,38.000000,37.000000,38.000000",37.0,37.0,39.0,38.0,152.0
700,70143,34.0,"39.000000,34.000000,44.000000,37.000000",34.0,34.0,44.0,38.5,154.0
800,80133,32.0,"38.000000,35.000000,32.000000,39.000000",32.0,32.0,39.0,36.0,144.0
900,90170,33.0,"33.000000,36.000000,41.000000,38.000000",33.0,33.0,41.0,37.0,148.0
1000,100126,34.0,"40.000000,34.000000,42.000000,36.000000",34.0,34.0,42.0,38.0,152.0
1100,110161,37.0,"38.000000,37.000000,38.000000,37.000000",37.0,37.0,38.0,37.5,150.0
1200,120124,31.0,"38.000000,39.000000,31.000000,39.000000",31.0,31.0,39.0,36.75,147.0
1300,130197,33.0,"33.000000,35.000000,40.000000,37.000000",33.0,33.0,40.0,36.25,145.0
1400,140131,35.0,"38.000000,35.000000,38.000000,37.000000",35.0,35.0,38.0,37.0,148.0
1500,150135,36.0,"38.000000,39.000000,36.000000,37.000000",36.0,36.0,39.0,37.5,150.0
1600,160161,32.0,"32.000000,34.000000,36.000000,38.000000",32.0,32.0,38.0,35.0,140.0
1700,170174,34.0,"40.000000,37.000000,40.000000,34.000000",34.0,34.0,40.0,37.75,151.0
1800,180134,36.0,"38.000000,36.000000,37.000000,36.000000",36.0,36.0,38.0,36.75,147.0
1900,190138,31.0,"38.000000,31.000000,38.000000,38.000000",31.0,31.0,38.0,36.25,145.0
2000,200100,35.0,"35.000000,35.000000,38.000000,38.000000",35.0,35.0,38.0,36.5,146.0
2100,210164,33.0,"33.000000,37.000000,39.000000,38.000000",33.0,33.0,39.0,36.75,147.0
2200,220101,34.0,"38.000000,34.000000,36.000000,37.000000",34.0,34.0,38.0,36.25,145.0
2300,230177,35.0,"35.000000,40.000000,37.000000,37.000000",35.0,35.0,40.0,37.25,149.0
2400,240151,36.0,"36.000000,36.000000,37.000000,37.000000",36.0,36.0,37.0,36.5,146.0
2500,250173,32.0,"35.000000,32.000000,36.000000,35.000000",32.0,32.0,36.0,34.5,138.0
2600,260111,35.0,"35.000000,36.000000,35.000000,36.000000",35.0,35.0,36.0,35.5,142.0
2700,270120,31.0,"33.000000,40.000000,31.000000,40.000000",31.0,31.0,40.0,36.0,144.0
2800,280182,34.0,"34.000000,38.000000,37.000000,34.000000",34.0,34.0,38.0,35.75,143.0
2900,290181,36.0,"38.000000,41.000000,36.000000,39.000000",36.0,36.0,41.0,38.5,154.0
3000,300184,37.0,"37.000000,38.000000,38.000000,38.000000",37.0,37.0,38.0,37.75,151.0
3100,310154,33.0,"39.000000,40.000000,40.000000,33.000000",33.0,33.0,40.0,38.0,152.0
3200,320178,32.0,"34.000000,35.000000,39.000000,32.000000",32.0,32.0,39.0,35.0,140.0
3300,330177,34.0,"38.000000,34.000000,42.000000,35.000000",34.0,34.0,42.0,37.25,149.0
3400,340125,32.0,"38.000000,35.000000,32.000000,41.000000",32.0,32.0,41.0,36.5,146.0
3500,350150,33.0,"33.000000,38.000000,40.000000,40.000000",33.0,33.0,40.0,37.75,151.0
3600,360124,35.0,"36.000000,35.000000,36.000000,38.000000",35.0,35.0,38.0,36.25,145.0
3700,370106,31.0,"38.000000,36.000000,39.000000,31.000000",31.0,31.0,39.0,36.0,144.0
3800,380189,33.0,"39.000000,33.000000,40.000000,34.000000",33.0,33.0,40.0,36.5,146.0
3900,390180,31.0,"36.000000,40.000000,43.000000,31.000000",31.0,31.0,43.0,37.5,150.0
4000,400150,33.0,"34.000000,33.000000,38.000000,37.000000",33.0,33.0,38.0,35.5,142.0
4100,410181,36.0,"37.000000,38.000000,38.000000,36.000000",36.0,36.0,38.0,37.25,149.0
4200,420118,35.0,"35.000000,39.000000,39.000000,38.000000",35.0,35.0,39.0,37.75,151.0
4300,430121,33.0,"34.000000,35.000000,33.000000,36.000000",33.0,33.0,36.0,34.5,138.0
4400,440175,35.0,"39.000000,38.000000,35.000000,35.000000",35.0,35.0,39.0,36.75,147.0
4500,450198,32.0,"37.000000,38.000000,32.000000,39.000000",32.0,32.0,39.0,36.5,146.0
4600,460178,30.0,"30.000000,40.000000,39.000000,38.000000",30.0,30.0,40.0,36.75,147.0
4700,470164,33.0,"33.000000,39.000000,36.000000,36.000000",33.0,33.0,39.0,36.0,144.0
4800,470164,33.0,"33.000000,39.000000,36.000000,36.000000",33.0,33.0,39.0,36.0,144.0
