generation,ID,score,rawScores,ownScore,minimumScore,maximumScore,averageOfScores,sumOfScores
0,123,28.25,"61.000000,52.000000,0.000000,0.000000",61.0,0.0,61.0,28.25,113.0
100,10128,29.0,"12.000000,0.000000,42.000000,62.000000",62.0,0.0,62.0,29.0,116.0
200,20143,34.5,"49.000000,37.000000,33.000000,19.000000",49.0,19.0,49.0,34.5,138.0
300,30163,34.0,"42.000000,56.000000,38.000000,0.000000",42.0,0.0,56.0,34.0,136.0
400,40115,32.0,"50.000000,24.000000,0.000000,54.000000",50.0,0.0,54.0,32.0,128.0
500,50124,34.75,"39.000000,14.000000,16.000000,70.000000",70.0,14.0,70.0,34.75,139.0
600,60187,35.5,"35.000000,36.000000,45.000000,26.000000",35.0,26.0,45.0,35.5,142.0
700,70119,35.5,"67.000000,30.000000,42.000000,3.000000",67.0,3.0,67.0,35.5,142.0
800,80112,34.25,"41.000000,27.000000,19.000000,50.000000",50.0,19.0,50.0,34.25,137.0
900,90105,36.5,"31.000000,40.000000,44.000000,31.000000",44.0,31.0,44.0,36.5,146.0
1000,100194,34.5,"31.000000,19.000000,35.000000,53.000000",19.0,19.0,53.0,34.5,138.0
1100,110111,35.75,"49.000000,19.000000,34.000000,41.000000",49.0,19.0,49.0,35.75,143.0
1200,120163,36.5,"33.000000,46.000000,28.000000,39.000000",33.0,28.0,46.0,36.5,146.0
1300,130184,36.5,"34.000000,28.000000,30.000000,54.000000",54.0,28.0,54.0,36.5,146.0
1400,140109,37.0,"38.000000,47.000000,38.000000,25.000000",38.0,25.0,47.0,37.0,148.0
1500,150147,22.25,"34.000000,0.000000,0.000000,55.000000",34.0,0.0,55.0,22.25,89.0
1600,160160,36.25,"45.000000,48.000000,0.000000,52.000000",52.0,0.0,52.0,36.25,145.0
1700,170195,35.5,"36.000000,44.000000,29.000000,33.000000",36.0,29.0,44.0,35.5,142.0
1800,180199,35.25,"33.000000,51.000000,43.000000,14.000000",33.0,14.0,51.0,35.25,141.0
1900,190167,36.75,"41.000000,43.000000,16.000000,47.000000",41.0,16.0,47.0,36.75,147.0
2000,200164,37.0,"50.000000,30.000000,44.000000,24.000000",24.0,24.0,50.0,37.0,148.0
2100,210199,36.25,"44.000000,37.000000,23.000000,41.000000",44.0,23.0,44.0,36.25,145.0
2200,220126,36.75,"32.000000,35.000000,43.000000,37.000000",35.0,32.0,43.0,36.75,147.0
2300,230144,35.75,"35.000000,36.000000,43.000000,29.000000",29.0,29.0,43.0,35.75,143.0
2400,240194,35.25,"28.000000,47.000000,17.000000,49.000000",47.0,17.0,49.0,35.25,141.0
2500,250149,35.25,"43.000000,27.000000,25.000000,46.000000",25.0,25.0,46.0,35.25,141.0
2600,260184,34.0,"9.000000,44.000000,54.000000,29.000000",29.0,9.0,54.0,34.0,136.0
2700,270128,35.25,"38.000000,52.000000,24.000000,27.000000",27.0,24.0,52.0,35.25,141.0
2800,280190,37.25,"24.000000,27.000000,50.000000,48.000000",27.0,24.0,50.0,37.25,149.0
2900,290108,35.5,"41.000000,43.000000,0.000000,58.000000",58.0,0.0,58.0,35.5,142.0
3000,300114,35.5,"0.000000,49.000000,55.000000,38.000000",49.0,0.0,55.0,35.5,142.0
3100,310151,35.5,"43.000000,56.000000,0.000000,43.000000",43.0,0.0,56.0,35.5,142.0
3200,320176,35.75,"0.000000,57.000000,32.000000,54.000000",54.0,0.0,57.0,35.75,143.0
3300,330179,34.0,"46.000000,21.000000,27.000000,42.000000",46.0,21.0,46.0,34.0,136.0
3400,340193,36.75,"0.000000,63.000000,51.000000,33.000000",51.0,0.0,63.0,36.75,147.0
3500,350193,35.0,"56.000000,27.000000,46.000000,11.000000",46.0,11.0,56.0,35.0,140.0
3600,360148,31.5,"0.000000,51.000000,0.000000,75.000000",75.0,0.0,75.0,31.5,126.0
3700,370116,35.25,"58.000000,0.000000,55.000000,28.000000",28.0,0.0,58.0,35.25,141.0
3800,380141,35.25,"63.000000,45.000000,12.000000,21.000000",12.0,12.0,63.0,35.25,141.0
3900,390115,33.5,"52.000000,21.000000,29.000000,32.000000",52.0,21.0,52.0,33.5,134.0
4000,400139,32.75,"28.000000,46.000000,30.000000,27.000000",28.0,27.0,46.0,32.75,131.0
4100,410178,32.5,"27.000000,78.000000,0.000000,25.000000",78.0,0.0,78.0,32.5,130.0
4200,420114,30.5,"0.000000,50.000000,61.000000,11.000000",50.0,0.0,61.0,30.5,122.0
4300,430112,34.25,"35.000000,39.000000,30.000000,33.000000",33.0,30.0,39.0,34.25,137.0
4400,440143,33.0,"57.000000,28.000000,0.000000,47.000000",57.0,0.0,57.0,33.0,132.0
4500,450122,35.5,"30.000000,55.000000,38.000000,19.000000",55.0,19.0,55.0,35.5,142.0
4600,460104,32.0,"49.000000,63.000000,16.000000,0.000000",0.0,0.0,63.0,32.0,128.0
4700,470178,36.0,"39.000000,49.000000,13.000000,43.000000",49.0,13.0,49.0,36.0,144.0
4800,480155,35.75,"57.000000,45.000000,41.000000,0.000000",57.0,0.0,57.0,35.75,143.0
