generation,ID,score,rawScores,ownScore,minimumScore,maximumScore,averageOfScores,sumOfScores
0,103,2.0,"49.000000,2.000000,24.000000,6.000000",49.0,2.0,49.0,20.25,81.0
100,10196,6.0,"6.000000,29.000000,38.000000,36.000000",36.0,6.0,38.0,27.25,109.0
200,20119,15.0,"27.000000,15.000000,43.000000,26.000000",27.0,15.0,43.0,27.75,111.0
300,30169,21.0,"21.000000,40.000000,31.000000,27.000000",31.0,21.0,40.0,29.75,119.0
400,40162,26.0,"53.000000,32.000000,33.000000,26.000000",32.0,26.0,53.0,36.0,144.0
500,50168,27.0,"39.000000,27.000000,27.000000,50.000000",50.0,27.0,50.0,35.75,143.0
600,60181,24.0,"28.000000,24.000000,44.000000,27.000000",44.0,24.0,44.0,30.75,123.0
700,70177,20.0,"42.000000,36.000000,20.000000,30.000000",20.0,20.0,42.0,32.0,128.0
800,80137,24.0,"25.000000,59.000000,36.000000,24.000000",36.0,24.0,59.0,36.0,144.0
900,90154,14.0,"46.000000,14.000000,41.000000,32.000000",14.0,14.0,46.0,33.25,133.0
1000,100110,24.0,"24.000000,24.000000,30.000000,46.000000",24.0,24.0,46.0,31.0,124.0
1100,110137,24.0,"65.000000,24.000000,31.000000,29.000000",31.0,24.0,65.0,37.25,149.0
1200,120138,21.0,"55.000000,36.000000,21.000000,25.000000",36.0,21.0,55.0,34.25,137.0
1300,130109,21.0,"30.000000,26.000000,40.000000,21.000000",40.0,21.0,40.0,29.25,117.0
1400,140154,27.0,"29.000000,34.000000,27.000000,34.000000",34.0,27.0,34.0,31.0,124.0
1500,150196,14.0,"31.000000,14.000000,30.000000,49.000000",49.0,14.0,49.0,31.0,124.0
1600,160118,10.0,"28.000000,48.000000,10.000000,46.000000",48.0,10.0,48.0,33.0,132.0
1700,170156,25.0,"31.000000,34.000000,25.000000,39.000000",39.0,25.0,39.0,32.25,129.0
1800,180199,17.0,"36.000000,47.000000,20.000000,17.000000",36.0,17.0,47.0,30.0,120.0
1900,190196,27.0,"37.000000,32.000000,35.000000,27.000000",27.0,27.0,37.0,32.75,131.0
2000,200156,33.0,"34.000000,38.000000,38.000000,33.000000",33.0,33.0,38.0,35.75,143.0
2100,210131,22.0,"22.000000,30.000000,47.000000,33.000000",22.0,22.0,47.0,33.0,132.0
2200,220109,26.0,"26.000000,35.000000,33.000000,28.000000",33.0,26.0,35.0,30.5,122.0
2300,230188,20.0,"20.000000,29.000000,24.000000,50.000000",50.0,20.0,50.0,30.75,123.0
2400,240106,26.0,"38.000000,26.000000,34.000000,32.000000",26.0,26.0,38.0,32.5,130.0
2500,250193,21.0,"38.000000,21.000000,26.000000,40.000000",26.0,21.0,40.0,31.25,125.0
2600,260167,28.0,"35.000000,36.000000,28.000000,29.000000",35.0,28.0,36.0,32.0,128.0
2700,270154,17.0,"31.000000,17.000000,34.000000,35.000000",17.0,17.0,35.0,29.25,117.0
2800,280133,25.0,"25.000000,28.000000,34.000000,27.000000",34.0,25.0,34.0,28.5,114.0
2900,290105,23.0,"23.000000,30.000000,28.000000,31.000000",28.0,23.0,31.0,28.0,112.0
3000,300134,25.0,"25.000000,32.000000,32.000000,27.000000",32.0,25.0,32.0,29.0,116.0
3100,310162,24.0,"24.000000,38.000000,24.000000,30.000000",38.0,24.0,38.0,29.0,116.0
3200,320107,18.0,"48.000000,30.000000,18.000000,48.000000",48.0,18.0,48.0,36.0,144.0
3300,330105,18.0,"25.000000,65.000000,20.000000,18.000000",20.0,18.0,65.0,32.0,128.0
3400,340138,19.0,"19.000000,44.000000,42.000000,24.000000",44.0,19.0,44.0,32.25,129.0
3500,350181,24.0,"32.000000,50.000000,24.000000,32.000000",24.0,24.0,50.0,34.5,138.0
3600,360121,24.0,"25.000000,50.000000,39.000000,24.000000",39.0,24.0,50.0,34.5,138.0
3700,370185,18.0,"41.000000,25.000000,39.000000,18.000000",39.0,18.0,41.0,30.75,123.0
3800,380168,24.0,"32.000000,24.000000,39.000000,33.000000",33.0,24.0,39.0,32.0,128.0
3900,390108,20.0,"41.000000,20.000000,41.000000,37.000000",37.0,20.0,41.0,34.75,139.0
4000,400180,20.0,"36.000000,37.000000,20.000000,43.000000",43.0,20.0,43.0,34.0,136.0
4100,410127,27.0,"29.000000,28.000000,41.000000,27.000000",29.0,27.0,41.0,31.25,125.0
4200,420150,22.0,"26.000000,29.000000,51.000000,22.000000",29.0,22.0,51.0,32.0,128.0
4300,430186,26.0,"37.000000,40.000000,26.000000,35.000000",40.0,26.0,40.0,34.5,138.0
4400,440180,26.0,"29.000000,26.000000,32.000000,37.000000",37.0,26.0,37.0,31.0,124.0
4500,450104,20.0,"32.000000,20.000000,30.000000,56.000000",56.0,20.0,56.0,34.5,138.0
4600,460187,27.0,"36.000000,39.000000,31.000000,27.000000",36.0,27.0,39.0,33.25,133.0
4700,460187,27.0,"36.000000,39.000000,31.000000,27.000000",36.0,27.0,39.0,33.25,133.0
4800,460187,27.0,"36.000000,39.000000,31.000000,27.000000",36.0,27.0,39.0,33.25,133.0
