generation,ID,score,rawScores,ownScore
0,150,26.000000,"[43.000000,27.000000,26.000000,50.000000]",26.000000
100,10109,20.000000,"[40.000000,20.000000,38.000000,51.000000]",20.000000
200,20199,32.000000,"[42.000000,32.000000,42.000000,33.000000]",32.000000
300,30170,28.000000,"[43.000000,37.000000,28.000000,34.000000]",28.000000
400,40123,31.000000,"[40.000000,38.000000,31.000000,40.000000]",31.000000
500,50114,33.000000,"[34.000000,33.000000,40.000000,33.000000]",33.000000
600,60144,32.000000,"[45.000000,32.000000,36.000000,34.000000]",32.000000
700,70101,21.000000,"[31.000000,21.000000,40.000000,47.000000]",21.000000
800,80105,23.000000,"[41.000000,23.000000,36.000000,43.000000]",23.000000
900,90123,26.000000,"[32.000000,26.000000,46.000000,36.000000]",26.000000
1000,100143,24.000000,"[42.000000,44.000000,36.000000,24.000000]",24.000000
1100,110183,25.000000,"[25.000000,51.000000,27.000000,44.000000]",25.000000
1200,120191,24.000000,"[38.000000,24.000000,42.000000,36.000000]",24.000000
1300,130169,22.000000,"[40.000000,38.000000,22.000000,38.000000]",22.000000
1400,140156,29.000000,"[29.000000,38.000000,43.000000,29.000000]",29.000000
1500,150194,23.000000,"[51.000000,42.000000,23.000000,32.000000]",23.000000
1600,160147,34.000000,"[35.000000,34.000000,38.000000,35.000000]",34.000000
1700,170103,29.000000,"[35.000000,29.000000,44.000000,39.000000]",29.000000
1800,180135,23.000000,"[23.000000,38.000000,46.000000,35.000000]",23.000000
1900,190125,27.000000,"[38.000000,47.000000,27.000000,35.000000]",27.000000
2000,200199,31.000000,"[33.000000,46.000000,31.000000,37.000000]",31.000000
2100,210124,28.000000,"[37.000000,49.000000,28.000000,31.000000]",28.000000
2200,220196,27.000000,"[39.000000,27.000000,35.000000,40.000000]",27.000000
2300,230167,28.000000,"[34.000000,32.000000,45.000000,28.000000]",28.000000
2400,240179,30.000000,"[37.000000,30.000000,34.000000,45.000000]",30.000000
2500,250196,32.000000,"[40.000000,39.000000,35.000000,32.000000]",32.000000
2600,260160,23.000000,"[32.000000,42.000000,51.000000,23.000000]",23.000000
2700,270144,25.000000,"[58.000000,28.000000,32.000000,25.000000]",25.000000
2800,280129,27.000000,"[44.000000,27.000000,52.000000,28.000000]",27.000000
2900,290199,34.000000,"[34.000000,40.000000,39.000000,36.000000]",34.000000
3000,300100,33.000000,"[40.000000,40.000000,38.000000,33.000000]",33.000000
3100,310133,36.000000,"[36.000000,36.000000,36.000000,37.000000]",36.000000
3200,320186,32.000000,"[39.000000,37.000000,37.000000,32.000000]",32.000000
3300,330188,33.000000,"[40.000000,40.000000,36.000000,33.000000]",33.000000
3400,340145,32.000000,"[32.000000,41.000000,32.000000,35.000000]",32.000000
3500,350148,30.000000,"[32.000000,30.000000,34.000000,34.000000]",30.000000
3600,360121,34.000000,"[35.000000,36.000000,35.000000,34.000000]",34.000000
3700,370175,34.000000,"[37.000000,34.000000,38.000000,38.000000]",34.000000
3800,380155,35.000000,"[35.000000,37.000000,35.000000,36.000000]",35.000000
3900,390154,35.000000,"[38.000000,38.000000,38.000000,35.000000]",35.000000
4000,400136,34.000000,"[34.000000,39.000000,36.000000,40.000000]",34.000000
4100,410120,35.000000,"[38.000000,41.000000,36.000000,35.000000]",35.000000
4200,420124,33.000000,"[39.000000,33.000000,36.000000,37.000000]",33.000000
4300,430154,35.000000,"[40.000000,35.000000,39.000000,38.000000]",35.000000
4400,440171,31.000000,"[31.000000,41.000000,40.000000,36.000000]",31.000000
4500,450127,34.000000,"[34.000000,40.000000,38.000000,43.000000]",34.000000
4600,460188,34.000000,"[41.000000,34.000000,35.000000,37.000000]",34.000000
4700,470162,33.000000,"[42.000000,38.000000,37.000000,33.000000]",33.000000
