generation,ID,score,rawScores,ownScore
0,173,18.750000,"[8.000000,11.000000,53.000000,3.000000]",53.000000
100,10130,34.000000,"[63.000000,72.000000,1.000000,0.000000]",72.000000
200,20164,22.250000,"[22.000000,0.000000,0.000000,67.000000]",67.000000
300,30113,36.750000,"[31.000000,51.000000,28.000000,37.000000]",28.000000
400,40180,34.500000,"[22.000000,0.000000,57.000000,59.000000]",59.000000
500,50110,27.250000,"[0.000000,57.000000,0.000000,52.000000]",57.000000
600,60173,28.750000,"[0.000000,0.000000,65.000000,50.000000]",65.000000
700,70196,32.750000,"[0.000000,61.000000,24.000000,46.000000]",46.000000
800,80168,35.750000,"[50.000000,29.000000,22.000000,42.000000]",42.000000
900,90149,35.250000,"[24.000000,38.000000,67.000000,12.000000]",67.000000
1000,100132,27.000000,"[43.000000,0.000000,40.000000,25.000000]",25.000000
1100,110174,35.250000,"[14.000000,44.000000,37.000000,46.000000]",44.000000
1200,120165,35.000000,"[25.000000,40.000000,45.000000,30.000000]",45.000000
1300,130113,27.000000,"[8.000000,0.000000,52.000000,48.000000]",52.000000
1400,140155,30.250000,"[68.000000,0.000000,0.000000,53.000000]",68.000000
1500,150163,29.250000,"[62.000000,55.000000,0.000000,0.000000]",62.000000
1600,160157,31.500000,"[0.000000,0.000000,85.000000,41.000000]",85.000000
1700,170100,35.750000,"[0.000000,39.000000,48.000000,56.000000]",56.000000
1800,180193,33.250000,"[0.000000,53.000000,56.000000,24.000000]",56.000000
1900,190143,30.750000,"[59.000000,0.000000,14.000000,50.000000]",59.000000
2000,200183,27.500000,"[44.000000,0.000000,0.000000,66.000000]",44.000000
2100,210101,31.750000,"[20.000000,68.000000,19.000000,20.000000]",19.000000
2200,220155,31.500000,"[36.000000,0.000000,60.000000,30.000000]",36.000000
2300,230146,30.000000,"[13.000000,53.000000,6.000000,48.000000]",53.000000
2400,240102,37.000000,"[45.000000,58.000000,11.000000,34.000000]",58.000000
2500,250181,33.500000,"[44.000000,0.000000,45.000000,45.000000]",45.000000
2600,260164,34.500000,"[38.000000,16.000000,55.000000,29.000000]",29.000000
2700,270112,32.500000,"[30.000000,37.000000,27.000000,36.000000]",36.000000
2800,280192,35.500000,"[0.000000,36.000000,56.000000,50.000000]",50.000000
2900,290175,36.000000,"[45.000000,18.000000,50.000000,31.000000]",45.000000
3000,300147,28.000000,"[20.000000,28.000000,15.000000,49.000000]",20.000000
3100,310176,34.500000,"[22.000000,33.000000,31.000000,52.000000]",52.000000
3200,320165,31.000000,"[24.000000,45.000000,55.000000,0.000000]",55.000000
3300,330113,36.000000,"[28.000000,47.000000,50.000000,19.000000]",50.000000
3400,340111,32.250000,"[95.000000,34.000000,0.000000,0.000000]",95.000000
3500,350146,28.250000,"[1.000000,57.000000,55.000000,0.000000]",57.000000
3600,360188,30.500000,"[45.000000,0.000000,55.000000,22.000000]",22.000000
3700,370182,34.500000,"[29.000000,50.000000,41.000000,18.000000]",50.000000
3800,380106,27.250000,"[37.000000,6.000000,56.000000,10.000000]",6.000000
3900,390194,33.250000,"[43.000000,36.000000,27.000000,27.000000]",36.000000
4000,400122,36.250000,"[16.000000,49.000000,27.000000,53.000000]",49.000000
4100,410164,34.250000,"[27.000000,36.000000,31.000000,43.000000]",43.000000
4200,420129,37.000000,"[35.000000,43.000000,37.000000,33.000000]",37.000000
4300,430172,33.750000,"[60.000000,0.000000,25.000000,50.000000]",50.000000
4400,440121,35.250000,"[22.000000,30.000000,31.000000,58.000000]",31.000000
4500,450176,36.750000,"[35.000000,46.000000,31.000000,35.000000]",35.000000
4600,460186,26.250000,"[0.000000,61.000000,44.000000,0.000000]",61.000000
4700,470129,25.250000,"[50.000000,13.000000,38.000000,0.000000]",38.000000
4800,480125,35.750000,"[56.000000,0.000000,42.000000,45.000000]",42.000000
