generation,ID,score,rawScores,ownScore
0,106,24.0,"[0.000000,96.000000,0.000000,0.000000]",96.0
100,10134,36.5,"[33.000000,39.000000,27.000000,47.000000]",39.0
200,20149,37.25,"[39.000000,32.000000,18.000000,60.000000]",18.0
300,30190,35.25,"[0.000000,66.000000,53.000000,22.000000]",66.0
400,40100,37.25,"[39.000000,44.000000,28.000000,38.000000]",38.0
500,50197,36.25,"[44.000000,0.000000,41.000000,60.000000]",41.0
600,60116,36.0,"[27.000000,33.000000,53.000000,31.000000]",31.0
700,70148,36.5,"[39.000000,22.000000,43.000000,42.000000]",42.0
800,80135,30.25,"[62.000000,0.000000,0.000000,59.000000]",62.0
900,90134,34.25,"[0.000000,72.000000,65.000000,0.000000]",72.0
1000,100109,34.5,"[0.000000,55.000000,51.000000,32.000000]",51.0
1100,110189,37.5,"[37.000000,51.000000,32.000000,30.000000]",32.0
1200,120116,34.5,"[0.000000,43.000000,37.000000,58.000000]",58.0
1300,130148,37.25,"[40.000000,27.000000,57.000000,25.000000]",25.0
1400,140106,34.5,"[17.000000,60.000000,8.000000,53.000000]",60.0
1500,150171,36.75,"[60.000000,42.000000,0.000000,45.000000]",60.0
1600,160157,32.75,"[68.000000,0.000000,0.000000,63.000000]",0.0
1700,170188,30.25,"[0.000000,0.000000,52.000000,69.000000]",69.0
1800,180167,32.75,"[62.000000,0.000000,0.000000,69.000000]",62.0
1900,190198,33.0,"[0.000000,64.000000,0.000000,68.000000]",64.0
2000,200164,30.0,"[81.000000,8.000000,0.000000,31.000000]",31.0
2100,210166,34.5,"[0.000000,72.000000,0.000000,66.000000]",72.0
2200,220115,35.75,"[45.000000,31.000000,30.000000,37.000000]",45.0
2300,230101,37.0,"[36.000000,37.000000,45.000000,30.000000]",45.0
2400,240171,33.75,"[73.000000,0.000000,39.000000,23.000000]",73.0
2500,250107,35.0,"[52.000000,55.000000,0.000000,33.000000]",52.0
2600,260142,33.75,"[32.000000,51.000000,52.000000,0.000000]",51.0
2700,270131,37.0,"[44.000000,34.000000,25.000000,45.000000]",44.0
2800,280149,29.5,"[0.000000,39.000000,79.000000,0.000000]",79.0
2900,290109,36.75,"[32.000000,47.000000,27.000000,41.000000]",27.0
3000,300179,34.75,"[44.000000,22.000000,41.000000,32.000000]",44.0
3100,310165,34.0,"[0.000000,62.000000,74.000000,0.000000]",74.0
3200,320174,34.5,"[72.000000,66.000000,0.000000,0.000000]",66.0
3300,330184,33.25,"[22.000000,36.000000,0.000000,75.000000]",75.0
3400,340190,36.0,"[34.000000,49.000000,21.000000,40.000000]",49.0
3500,350149,33.75,"[0.000000,25.000000,60.000000,50.000000]",60.0
3600,360134,34.75,"[47.000000,38.000000,19.000000,35.000000]",38.0
3700,370189,35.25,"[17.000000,22.000000,49.000000,53.000000]",49.0
3800,380166,26.5,"[47.000000,59.000000,0.000000,0.000000]",59.0
3900,390136,34.25,"[31.000000,18.000000,28.000000,60.000000]",60.0
4000,400173,32.75,"[36.000000,23.000000,31.000000,41.000000]",31.0
4100,410168,36.0,"[0.000000,64.000000,17.000000,63.000000]",63.0
4200,420116,36.0,"[25.000000,26.000000,38.000000,55.000000]",55.0
4300,430186,36.5,"[20.000000,48.000000,34.000000,44.000000]",48.0
4400,440131,33.5,"[64.000000,0.000000,0.000000,70.000000]",64.0
4500,450162,22.0,"[0.000000,88.000000,0.000000,0.000000]",88.0
4600,460197,36.25,"[52.000000,47.000000,46.000000,0.000000]",46.0
4700,470110,35.75,"[0.000000,43.000000,54.000000,46.000000]",43.0
4800,470110,35.75,"[0.000000,43.000000,54.000000,46.000000]",43.0
