fileName,aBiggerThanThree,movLength*4,aBiggerThanThreePercentage
movement_0_0_0.csv,0,2000,0
movement_0_0_1.csv,0,2000,0
movement_0_0_2.csv,0,2000,0
movement_0_0_3.csv,0,2000,0
movement_0_0_4.csv,0,2000,0
movement_0_0_5.csv,0,2000,0
movement_0_0_6.csv,0,2000,0
movement_0_0_7.csv,0,2000,0
movement_0_0_8.csv,0,2000,0
movement_0_0_9.csv,0,2000,0
movement_0_0_10.csv,0,2000,0
movement_0_0_11.csv,0,2000,0
movement_0_0_12.csv,0,2000,0
movement_0_0_13.csv,0,2000,0
movement_0_0_14.csv,0,2000,0
movement_0_0_15.csv,0,2000,0
movement_0_0_16.csv,0,2000,0
movement_0_0_17.csv,0,2000,0
movement_0_0_18.csv,0,2000,0
movement_0_0_19.csv,0,2000,0
movement_0_0_20.csv,0,2000,0
movement_0_0_21.csv,0,2000,0
movement_0_0_22.csv,0,2000,0
movement_0_0_23.csv,0,2000,0
movement_0_0_24.csv,0,2000,0
movement_0_0_25.csv,0,2000,0
movement_0_0_26.csv,0,2000,0
movement_0_0_27.csv,0,2000,0
movement_0_0_28.csv,0,2000,0
movement_0_0_29.csv,0,2000,0
movement_0_0_30.csv,0,2000,0
movement_0_0_31.csv,0,2000,0
movement_0_0_32.csv,0,2000,0
movement_0_0_33.csv,0,2000,0
movement_0_0_34.csv,0,2000,0
movement_0_0_35.csv,0,2000,0
movement_0_0_36.csv,0,2000,0
movement_0_0_37.csv,0,2000,0
movement_0_0_38.csv,0,2000,0
movement_0_0_39.csv,0,2000,0
movement_0_0_40.csv,0,2000,0
movement_0_0_41.csv,0,2000,0
movement_0_0_42.csv,0,2000,0
movement_0_0_43.csv,0,2000,0
movement_0_0_44.csv,0,2000,0
movement_0_0_45.csv,0,2000,0
movement_0_0_46.csv,0,2000,0
movement_0_0_47.csv,0,2000,0
movement_0_0_48.csv,0,2000,0
movement_0_0_49.csv,0,2000,0
movement_0_0_50.csv,0,2000,0
movement_0_0_51.csv,0,2000,0
movement_0_0_52.csv,0,2000,0
movement_0_0_53.csv,0,2000,0
movement_0_0_54.csv,0,2000,0
movement_0_0_55.csv,0,2000,0
movement_0_0_56.csv,0,2000,0
movement_0_0_57.csv,0,2000,0
movement_0_0_58.csv,0,2000,0
movement_0_0_59.csv,0,2000,0
movement_0_0_60.csv,0,2000,0
movement_0_0_61.csv,0,2000,0
movement_0_0_62.csv,0,2000,0
movement_0_0_63.csv,0,2000,0
movement_0_0_64.csv,0,2000,0
movement_0_0_65.csv,0,2000,0
movement_0_0_66.csv,0,2000,0
movement_0_0_67.csv,0,2000,0
movement_0_0_68.csv,0,2000,0
movement_0_0_69.csv,0,2000,0
movement_0_0_70.csv,0,2000,0
movement_0_0_71.csv,0,2000,0
movement_0_0_72.csv,0,2000,0
movement_0_0_73.csv,0,2000,0
movement_0_0_74.csv,0,2000,0
movement_0_0_75.csv,0,2000,0
movement_0_0_76.csv,0,2000,0
movement_0_0_77.csv,0,2000,0
movement_0_0_78.csv,0,2000,0
movement_0_0_79.csv,0,2000,0
movement_0_0_80.csv,0,2000,0
movement_0_0_81.csv,0,2000,0
movement_0_0_82.csv,0,2000,0
movement_0_0_83.csv,0,2000,0
movement_0_0_84.csv,0,2000,0
movement_0_0_85.csv,0,2000,0
movement_0_0_86.csv,0,2000,0
movement_0_0_87.csv,0,2000,0
movement_0_0_88.csv,0,2000,0
movement_0_0_89.csv,0,2000,0
movement_0_0_90.csv,0,2000,0
movement_0_0_91.csv,0,2000,0
movement_0_0_92.csv,0,2000,0
movement_0_0_93.csv,0,2000,0
movement_0_0_94.csv,0,2000,0
movement_0_0_95.csv,0,2000,0
movement_0_0_96.csv,0,2000,0
movement_0_0_97.csv,0,2000,0
movement_0_0_98.csv,0,2000,0
movement_0_0_99.csv,0,2000,0
movement_0_1_0.csv,0,2000,0
movement_0_1_1.csv,0,2000,0
movement_0_1_2.csv,0,2000,0
movement_0_1_3.csv,0,2000,0
movement_0_1_4.csv,0,2000,0
movement_0_1_5.csv,0,2000,0
movement_0_1_6.csv,0,2000,0
movement_0_1_7.csv,0,2000,0
movement_0_1_8.csv,0,2000,0
movement_0_1_9.csv,0,2000,0
movement_0_1_10.csv,0,2000,0
movement_0_1_11.csv,0,2000,0
movement_0_1_12.csv,0,2000,0
movement_0_1_13.csv,0,2000,0
movement_0_1_14.csv,0,2000,0
movement_0_1_15.csv,0,2000,0
movement_0_1_16.csv,0,2000,0
movement_0_1_17.csv,0,2000,0
movement_0_1_18.csv,0,2000,0
movement_0_1_19.csv,0,2000,0
movement_0_1_20.csv,0,2000,0
movement_0_1_21.csv,0,2000,0
movement_0_1_22.csv,0,2000,0
movement_0_1_23.csv,0,2000,0
movement_0_1_24.csv,0,2000,0
movement_0_1_25.csv,0,2000,0
movement_0_1_26.csv,0,2000,0
movement_0_1_27.csv,0,2000,0
movement_0_1_28.csv,0,2000,0
movement_0_1_29.csv,0,2000,0
movement_0_1_30.csv,0,2000,0
movement_0_1_31.csv,0,2000,0
movement_0_1_32.csv,0,2000,0
movement_0_1_33.csv,0,2000,0
movement_0_1_34.csv,0,2000,0
movement_0_1_35.csv,0,2000,0
movement_0_1_36.csv,0,2000,0
movement_0_1_37.csv,0,2000,0
movement_0_1_38.csv,0,2000,0
movement_0_1_39.csv,0,2000,0
movement_0_1_40.csv,0,2000,0
movement_0_1_41.csv,0,2000,0
movement_0_1_42.csv,0,2000,0
movement_0_1_43.csv,0,2000,0
movement_0_1_44.csv,0,2000,0
movement_0_1_45.csv,0,2000,0
movement_0_1_46.csv,0,2000,0
movement_0_1_47.csv,0,2000,0
movement_0_1_48.csv,0,2000,0
movement_0_1_49.csv,0,2000,0
movement_0_1_50.csv,0,2000,0
movement_0_1_51.csv,0,2000,0
movement_0_1_52.csv,0,2000,0
movement_0_1_53.csv,0,2000,0
movement_0_1_54.csv,0,2000,0
movement_0_1_55.csv,0,2000,0
movement_0_1_56.csv,0,2000,0
movement_0_1_57.csv,0,2000,0
movement_0_1_58.csv,0,2000,0
movement_0_1_59.csv,0,2000,0
movement_0_1_60.csv,0,2000,0
movement_0_1_61.csv,0,2000,0
movement_0_1_62.csv,0,2000,0
movement_0_1_63.csv,0,2000,0
movement_0_1_64.csv,0,2000,0
movement_0_1_65.csv,0,2000,0
movement_0_1_66.csv,0,2000,0
movement_0_1_67.csv,0,2000,0
movement_0_1_68.csv,0,2000,0
movement_0_1_69.csv,0,2000,0
movement_0_1_70.csv,0,2000,0
movement_0_1_71.csv,0,2000,0
movement_0_1_72.csv,0,2000,0
movement_0_1_73.csv,0,2000,0
movement_0_1_74.csv,0,2000,0
movement_0_1_75.csv,0,2000,0
movement_0_1_76.csv,0,2000,0
movement_0_1_77.csv,0,2000,0
movement_0_1_78.csv,0,2000,0
movement_0_1_79.csv,0,2000,0
movement_0_1_80.csv,0,2000,0
movement_0_1_81.csv,0,2000,0
movement_0_1_82.csv,0,2000,0
movement_0_1_83.csv,0,2000,0
movement_0_1_84.csv,0,2000,0
movement_0_1_85.csv,0,2000,0
movement_0_1_86.csv,0,2000,0
movement_0_1_87.csv,0,2000,0
movement_0_1_88.csv,0,2000,0
movement_0_1_89.csv,0,2000,0
movement_0_1_90.csv,0,2000,0
movement_0_1_91.csv,0,2000,0
movement_0_1_92.csv,0,2000,0
movement_0_1_93.csv,0,2000,0
movement_0_1_94.csv,0,2000,0
movement_0_1_95.csv,0,2000,0
movement_0_1_96.csv,0,2000,0
movement_0_1_97.csv,0,2000,0
movement_0_1_98.csv,0,2000,0
movement_0_1_99.csv,0,2000,0
movement_1_0_0.csv,0,2000,0
movement_1_0_1.csv,0,2000,0
movement_1_0_2.csv,0,2000,0
movement_1_0_3.csv,0,2000,0
movement_1_0_4.csv,0,2000,0
movement_1_0_5.csv,0,2000,0
movement_1_0_6.csv,0,2000,0
movement_1_0_7.csv,0,2000,0
movement_1_0_8.csv,0,2000,0
movement_1_0_9.csv,0,2000,0
movement_1_0_10.csv,0,2000,0
movement_1_0_11.csv,0,2000,0
movement_1_0_12.csv,0,2000,0
movement_1_0_13.csv,0,2000,0
movement_1_0_14.csv,0,2000,0
movement_1_0_15.csv,0,2000,0
movement_1_0_16.csv,0,2000,0
movement_1_0_17.csv,0,2000,0
movement_1_0_18.csv,0,2000,0
movement_1_0_19.csv,0,2000,0
movement_1_0_20.csv,0,2000,0
movement_1_0_21.csv,0,2000,0
movement_1_0_22.csv,0,2000,0
movement_1_0_23.csv,0,2000,0
movement_1_0_24.csv,0,2000,0
movement_1_0_25.csv,0,2000,0
movement_1_0_26.csv,0,2000,0
movement_1_0_27.csv,0,2000,0
movement_1_0_28.csv,0,2000,0
movement_1_0_29.csv,0,2000,0
movement_1_0_30.csv,0,2000,0
movement_1_0_31.csv,0,2000,0
movement_1_0_32.csv,0,2000,0
movement_1_0_33.csv,0,2000,0
movement_1_0_34.csv,0,2000,0
movement_1_0_35.csv,0,2000,0
movement_1_0_36.csv,0,2000,0
movement_1_0_37.csv,0,2000,0
movement_1_0_38.csv,0,2000,0
movement_1_0_39.csv,0,2000,0
movement_1_0_40.csv,0,2000,0
movement_1_0_41.csv,0,2000,0
movement_1_0_42.csv,0,2000,0
movement_1_0_43.csv,0,2000,0
movement_1_0_44.csv,0,2000,0
movement_1_0_45.csv,0,2000,0
movement_1_0_46.csv,0,2000,0
movement_1_0_47.csv,0,2000,0
movement_1_0_48.csv,0,2000,0
movement_1_0_49.csv,0,2000,0
movement_1_0_50.csv,0,2000,0
movement_1_0_51.csv,0,2000,0
movement_1_0_52.csv,0,2000,0
movement_1_0_53.csv,0,2000,0
movement_1_0_54.csv,0,2000,0
movement_1_0_55.csv,0,2000,0
movement_1_0_56.csv,0,2000,0
movement_1_0_57.csv,0,2000,0
movement_1_0_58.csv,0,2000,0
movement_1_0_59.csv,0,2000,0
movement_1_0_60.csv,0,2000,0
movement_1_0_61.csv,0,2000,0
movement_1_0_62.csv,0,2000,0
movement_1_0_63.csv,0,2000,0
movement_1_0_64.csv,0,2000,0
movement_1_0_65.csv,0,2000,0
movement_1_0_66.csv,0,2000,0
movement_1_0_67.csv,0,2000,0
movement_1_0_68.csv,0,2000,0
movement_1_0_69.csv,0,2000,0
movement_1_0_70.csv,0,2000,0
movement_1_0_71.csv,0,2000,0
movement_1_0_72.csv,0,2000,0
movement_1_0_73.csv,0,2000,0
movement_1_0_74.csv,0,2000,0
movement_1_0_75.csv,0,2000,0
movement_1_0_76.csv,0,2000,0
movement_1_0_77.csv,0,2000,0
movement_1_0_78.csv,0,2000,0
movement_1_0_79.csv,0,2000,0
movement_1_0_80.csv,0,2000,0
movement_1_0_81.csv,0,2000,0
movement_1_0_82.csv,0,2000,0
movement_1_0_83.csv,0,2000,0
movement_1_0_84.csv,0,2000,0
movement_1_0_85.csv,0,2000,0
movement_1_0_86.csv,0,2000,0
movement_1_0_87.csv,0,2000,0
movement_1_0_88.csv,0,2000,0
movement_1_0_89.csv,0,2000,0
movement_1_0_90.csv,0,2000,0
movement_1_0_91.csv,0,2000,0
movement_1_0_92.csv,0,2000,0
movement_1_0_93.csv,0,2000,0
movement_1_0_94.csv,0,2000,0
movement_1_0_95.csv,0,2000,0
movement_1_0_96.csv,0,2000,0
movement_1_0_97.csv,0,2000,0
movement_1_0_98.csv,0,2000,0
movement_1_0_99.csv,0,2000,0
movement_1_1_0.csv,0,2000,0
movement_1_1_1.csv,0,2000,0
movement_1_1_2.csv,0,2000,0
movement_1_1_3.csv,0,2000,0
movement_1_1_4.csv,0,2000,0
movement_1_1_5.csv,0,2000,0
movement_1_1_6.csv,0,2000,0
movement_1_1_7.csv,0,2000,0
movement_1_1_8.csv,0,2000,0
movement_1_1_9.csv,0,2000,0
movement_1_1_10.csv,0,2000,0
movement_1_1_11.csv,0,2000,0
movement_1_1_12.csv,0,2000,0
movement_1_1_13.csv,0,2000,0
movement_1_1_14.csv,0,2000,0
movement_1_1_15.csv,0,2000,0
movement_1_1_16.csv,0,2000,0
movement_1_1_17.csv,0,2000,0
movement_1_1_18.csv,0,2000,0
movement_1_1_19.csv,0,2000,0
movement_1_1_20.csv,0,2000,0
movement_1_1_21.csv,0,2000,0
movement_1_1_22.csv,0,2000,0
movement_1_1_23.csv,0,2000,0
movement_1_1_24.csv,0,2000,0
movement_1_1_25.csv,0,2000,0
movement_1_1_26.csv,0,2000,0
movement_1_1_27.csv,0,2000,0
movement_1_1_28.csv,0,2000,0
movement_1_1_29.csv,0,2000,0
movement_1_1_30.csv,0,2000,0
movement_1_1_31.csv,0,2000,0
movement_1_1_32.csv,0,2000,0
movement_1_1_33.csv,0,2000,0
movement_1_1_34.csv,0,2000,0
movement_1_1_35.csv,0,2000,0
movement_1_1_36.csv,0,2000,0
movement_1_1_37.csv,0,2000,0
movement_1_1_38.csv,0,2000,0
movement_1_1_39.csv,0,2000,0
movement_1_1_40.csv,0,2000,0
movement_1_1_41.csv,0,2000,0
movement_1_1_42.csv,0,2000,0
movement_1_1_43.csv,0,2000,0
movement_1_1_44.csv,0,2000,0
movement_1_1_45.csv,0,2000,0
movement_1_1_46.csv,0,2000,0
movement_1_1_47.csv,0,2000,0
movement_1_1_48.csv,0,2000,0
movement_1_1_49.csv,0,2000,0
movement_1_1_50.csv,0,2000,0
movement_1_1_51.csv,0,2000,0
movement_1_1_52.csv,0,2000,0
movement_1_1_53.csv,0,2000,0
movement_1_1_54.csv,0,2000,0
movement_1_1_55.csv,0,2000,0
movement_1_1_56.csv,0,2000,0
movement_1_1_57.csv,0,2000,0
movement_1_1_58.csv,0,2000,0
movement_1_1_59.csv,0,2000,0
movement_1_1_60.csv,0,2000,0
movement_1_1_61.csv,0,2000,0
movement_1_1_62.csv,0,2000,0
movement_1_1_63.csv,0,2000,0
movement_1_1_64.csv,0,2000,0
movement_1_1_65.csv,0,2000,0
movement_1_1_66.csv,0,2000,0
movement_1_1_67.csv,0,2000,0
movement_1_1_68.csv,0,2000,0
movement_1_1_69.csv,0,2000,0
movement_1_1_70.csv,0,2000,0
movement_1_1_71.csv,0,2000,0
movement_1_1_72.csv,0,2000,0
movement_1_1_73.csv,0,2000,0
movement_1_1_74.csv,0,2000,0
movement_1_1_75.csv,0,2000,0
movement_1_1_76.csv,0,2000,0
movement_1_1_77.csv,0,2000,0
movement_1_1_78.csv,0,2000,0
movement_1_1_79.csv,0,2000,0
movement_1_1_80.csv,0,2000,0
movement_1_1_81.csv,0,2000,0
movement_1_1_82.csv,0,2000,0
movement_1_1_83.csv,0,2000,0
movement_1_1_84.csv,0,2000,0
movement_1_1_85.csv,0,2000,0
movement_1_1_86.csv,0,2000,0
movement_1_1_87.csv,4,2000,0.2
movement_1_1_88.csv,0,2000,0
movement_1_1_89.csv,0,2000,0
movement_1_1_90.csv,0,2000,0
movement_1_1_91.csv,0,2000,0
movement_1_1_92.csv,0,2000,0
movement_1_1_93.csv,0,2000,0
movement_1_1_94.csv,0,2000,0
movement_1_1_95.csv,0,2000,0
movement_1_1_96.csv,0,2000,0
movement_1_1_97.csv,0,2000,0
movement_1_1_98.csv,0,2000,0
movement_1_1_99.csv,0,2000,0
movement_2_0_0.csv,0,2000,0
movement_2_0_1.csv,0,2000,0
movement_2_0_2.csv,0,2000,0
movement_2_0_3.csv,0,2000,0
movement_2_0_4.csv,0,2000,0
movement_2_0_5.csv,745,2000,37.25
movement_2_0_6.csv,85,2000,4.25
movement_2_0_7.csv,890,2000,44.5
movement_2_0_8.csv,0,2000,0
movement_2_0_9.csv,748,2000,37.4
movement_2_0_10.csv,60,2000,3
movement_2_0_11.csv,0,2000,0
movement_2_0_12.csv,1489,2000,74.45
movement_2_0_13.csv,0,2000,0
movement_2_0_14.csv,494,2000,24.7
movement_2_0_15.csv,0,2000,0
movement_2_0_16.csv,130,2000,6.5
movement_2_0_17.csv,0,2000,0
movement_2_0_18.csv,0,2000,0
movement_2_0_19.csv,0,2000,0
movement_2_0_20.csv,0,2000,0
movement_2_0_21.csv,0,2000,0
movement_2_0_22.csv,0,2000,0
movement_2_0_23.csv,734,2000,36.7
movement_2_0_24.csv,0,2000,0
movement_2_0_25.csv,89,2000,4.45
movement_2_0_26.csv,0,2000,0
movement_2_0_27.csv,1554,2000,77.7
