t,x0,y0,d0,e0,a0,b0,x1,y1,d1,e1,a1,b1,x2,y2,d2,e2,a2,b2,x3,y3,d3,e3,a3,b3
0,1,2,2,1,3,0,13,1,3,1,3,0,14,13,0,1,3,0,2,14,1,0,3,0
1,1,3,2,2,3,0,12,1,3,2,3,0,14,12,0,2,3,0,3,14,1,1,3,0
2,1,4,2,3,3,0,11,1,3,3,3,0,14,11,0,3,3,0,4,14,1,2,3,0
3,1,5,2,3,3,0,10,1,3,4,3,0,14,10,0,4,3,0,5,14,1,3,3,0
4,1,6,2,4,3,0,9,1,3,4,3,0,14,9,0,5,3,0,6,14,1,3,3,0
5,1,7,2,5,3,0,8,1,3,5,3,0,14,8,0,5,3,0,7,14,1,4,3,0
6,1,8,2,6,3,0,7,1,3,6,3,0,14,7,0,6,3,0,8,14,1,4,3,0
7,1,9,2,7,3,0,7,1,0,6,2,0,14,6,0,7,3,0,9,14,1,4,3,0
8,1,10,2,8,3,0,7,1,1,6,2,0,14,5,0,8,3,0,9,14,2,4,2,0
9,1,11,2,9,3,0,7,1,2,6,2,0,14,4,0,9,3,0,9,14,3,4,2,0
10,1,12,2,10,3,0,7,2,2,7,3,0,14,3,0,9,3,0,9,14,0,4,2,0
11,1,13,2,11,3,0,7,2,3,7,2,0,14,2,0,10,3,0,9,13,0,5,3,0
12,1,13,3,11,2,0,6,2,3,8,3,0,14,1,0,10,3,0,9,12,0,6,3,0
13,1,13,0,11,2,0,6,2,0,8,2,0,14,1,1,10,2,0,9,11,0,7,3,0
14,1,12,0,11,3,0,6,2,1,8,2,0,14,1,0,10,1,0,9,10,0,8,3,0
15,1,12,1,11,2,0,7,2,1,8,3,0,14,1,0,10,3,0,9,9,0,9,3,0
16,2,12,1,12,3,0,7,2,2,8,2,0,14,1,3,10,1,0,9,8,0,9,3,0
17,3,12,1,13,3,0,7,2,3,8,2,0,14,1,0,10,2,0,9,8,1,9,2,0
18,4,12,1,14,3,0,7,2,0,8,2,0,14,1,0,10,0,0,9,8,2,9,2,0
19,5,12,1,15,3,0,7,2,1,8,2,0,14,1,1,10,2,0,9,9,2,9,3,0
20,6,12,1,15,3,0,8,2,1,8,3,0,14,1,1,10,3,0,9,9,3,9,2,0
21,7,12,1,16,3,0,8,2,2,8,2,0,14,1,1,10,0,0,8,9,3,10,3,0
22,8,12,1,17,3,0,8,3,2,9,3,0,14,1,0,10,1,0,7,9,3,11,3,0
23,8,12,2,17,2,0,8,4,2,10,3,0,14,1,0,10,0,0,6,9,3,12,3,0
24,8,13,2,18,3,0,8,4,3,10,2,0,14,1,1,10,2,0,5,9,3,13,3,0
25,8,14,2,18,3,0,7,4,3,11,3,0,14,1,1,10,3,0,5,9,0,13,2,0
26,8,14,2,18,3,0,6,4,3,12,3,0,14,1,0,10,1,0,5,8,0,14,3,0
27,8,14,3,18,2,0,5,4,3,13,3,0,14,1,1,10,2,0,5,7,0,15,3,0
28,8,14,0,18,2,0,4,4,3,13,3,0,14,1,2,10,2,0,5,6,0,16,3,0
29,8,13,0,18,3,0,3,4,3,14,3,0,14,1,3,10,2,0,5,5,0,17,3,0
30,8,13,1,18,2,0,2,4,3,15,3,0,13,1,3,10,3,0,5,4,0,17,3,0
31,8,13,2,18,2,0,1,4,3,15,3,0,13,1,0,10,2,0,5,3,0,18,3,0
32,8,14,2,18,3,0,1,4,3,15,0,0,13,1,3,10,1,0,5,2,0,18,3,0
33,8,14,2,18,0,0,1,4,3,15,3,0,13,1,0,10,2,0,5,1,0,19,3,0
34,8,14,2,18,0,0,1,4,3,15,3,0,13,1,3,10,1,0,5,1,3,19,1,0
35,8,14,1,18,1,0,1,4,0,15,2,0,13,1,0,10,2,0,4,1,3,20,3,0
36,8,14,2,18,2,0,1,3,0,15,3,0,13,1,0,10,3,0,3,1,3,21,3,0
37,8,14,1,18,1,0,1,3,1,15,2,0,13,1,0,10,3,0,2,1,3,22,3,0
38,8,14,2,18,2,0,2,3,1,16,3,0,13,1,0,10,0,0,2,1,0,22,2,0
39,8,14,2,18,0,0,3,3,1,17,3,0,13,1,1,10,2,0,2,1,0,22,3,0
