t,x0,y0,d0,e0,a0,b0,x1,y1,d1,e1,a1,b1,x2,y2,d2,e2,a2,b2,x3,y3,d3,e3,a3,b3
0,1,2,2,1,3,3,13,1,3,1,3,1,14,13,0,1,3,2,2,14,1,1,3,3
1,1,3,2,2,3,1,13,1,2,1,1,1,14,13,3,1,1,0,3,14,1,2,3,1
2,1,4,2,2,3,3,13,2,2,2,3,2,13,13,3,2,3,3,4,14,1,3,3,2
3,1,5,2,2,3,0,13,2,1,2,1,2,12,13,3,3,3,3,5,14,1,4,3,2
4,1,5,1,2,1,1,14,2,1,2,3,2,11,13,3,3,3,1,6,14,1,5,3,1
5,2,5,1,2,3,1,14,2,0,2,1,0,10,13,3,4,3,3,6,14,0,5,1,1
6,2,5,0,2,1,2,14,2,3,2,1,2,9,13,3,4,3,2,6,13,0,6,3,1
7,2,5,3,2,1,1,13,2,3,2,3,1,8,13,3,4,3,2,6,12,0,7,3,2
8,1,5,3,2,3,1,12,2,3,3,3,1,7,13,3,5,3,1,6,12,3,7,1,2
9,1,5,3,2,3,3,11,2,3,4,3,2,6,13,3,5,3,0,5,12,3,8,3,2
10,1,5,2,2,1,0,10,2,3,5,3,1,5,13,3,5,3,2,5,12,2,8,1,1
11,1,5,1,2,1,3,9,2,3,5,3,2,4,13,3,6,3,2,5,13,2,8,3,0
12,2,5,1,2,3,1,8,2,3,5,3,1,4,13,2,6,1,1,5,14,2,8,3,1
13,3,5,1,2,3,2,7,2,3,6,3,2,4,13,1,6,1,2,5,14,2,8,3,2
14,4,5,1,3,3,3,7,2,2,6,1,2,4,13,0,6,1,2,5,14,2,8,3,1
15,5,5,1,3,3,1,7,2,1,6,1,1,4,12,0,7,3,2,5,14,1,8,1,2
16,6,5,1,4,3,2,8,2,1,6,3,2,4,11,0,8,3,2,6,14,1,8,3,2
17,7,5,1,5,3,2,9,2,1,6,3,2,4,11,3,8,1,3,7,14,1,8,3,0
18,7,5,0,5,1,3,10,2,1,6,3,0,3,11,3,8,3,1,8,14,1,9,3,2
19,7,5,3,5,1,0,10,2,0,6,1,1,3,11,2,8,1,1,8,14,0,9,1,1
20,7,5,2,5,1,3,10,2,3,6,1,2,3,12,2,9,3,1,8,13,0,9,3,2
21,7,6,2,6,3,1,9,2,3,6,3,2,3,12,1,9,1,1,8,12,0,9,3,2
22,7,7,2,6,3,2,8,2,3,6,3,1,4,12,1,9,3,2,8,11,0,10,3,2
23,7,8,2,7,3,2,8,2,2,6,1,1,5,12,1,9,3,3,8,11,3,10,1,1
24,7,9,2,8,3,2,8,3,2,7,3,2,6,12,1,9,3,2,7,11,3,11,3,1
25,7,10,2,9,3,2,8,3,1,7,1,1,7,12,1,10,3,1,6,11,3,12,3,2
26,7,11,2,9,3,2,9,3,1,8,3,1,8,12,1,10,3,1,6,11,2,12,1,1
27,7,12,2,9,3,1,10,3,1,9,3,2,8,12,0,10,1,2,6,12,2,12,3,1
28,7,13,2,9,3,2,10,3,0,9,1,1,8,12,3,10,1,0,6,13,2,12,3,0
29,7,14,2,9,3,2,10,2,0,9,3,2,7,12,3,10,3,2,6,14,2,12,3,3
30,7,14,2,9,3,2,10,1,0,10,3,2,6,12,3,10,3,1,6,14,2,12,3,2
31,7,14,2,9,3,0,10,1,0,10,3,1,5,12,3,10,3,1,6,14,2,12,3,2
32,7,14,2,9,3,1,10,1,0,10,3,2,4,12,3,10,3,1,6,14,2,12,3,2
33,7,14,2,9,3,1,10,1,3,10,1,2,4,12,2,10,1,1,6,14,1,12,1,1
34,7,14,1,9,1,2,10,1,2,10,1,2,4,13,2,10,3,3,6,14,0,12,1,3
35,7,14,0,9,1,1,10,2,2,10,3,1,4,13,1,10,1,1,6,13,0,12,3,2
36,7,13,0,9,3,1,10,2,1,10,1,1,5,13,1,10,3,1,6,12,0,12,3,1
