t,x0,y0,d0,e0,a0,b0,x1,y1,d1,e1,a1,b1,x2,y2,d2,e2,a2,b2,x3,y3,d3,e3,a3,b3
0,1,1,3,0,2,0,14,1,3,0,0,0,14,14,1,0,2,0,1,14,1,0,0,0
1,1,1,3,0,3,0,13,1,3,1,3,0,14,14,2,0,2,0,2,14,1,1,3,0
2,1,1,3,0,3,0,13,1,3,1,0,0,14,14,1,0,1,0,2,14,2,1,2,0
3,1,1,3,0,3,0,13,1,0,1,2,0,14,14,2,0,2,0,2,14,2,1,3,0
4,1,1,3,0,0,0,13,1,0,1,3,0,14,14,2,0,3,0,2,14,2,1,3,0
5,1,1,3,0,3,0,13,1,1,1,2,0,14,14,2,0,3,0,2,14,2,1,3,0
6,1,1,2,0,1,0,14,1,1,1,3,0,14,14,3,0,2,0,2,14,3,1,2,0
7,1,2,2,0,3,0,14,1,2,1,2,0,14,14,0,0,2,0,2,14,0,1,2,0
8,1,2,1,0,1,0,14,1,3,1,2,0,14,14,0,0,0,0,2,14,0,1,0,0
9,1,2,2,0,2,0,14,1,0,1,2,0,14,13,0,1,3,0,2,14,0,1,0,0
10,1,2,2,0,0,0,14,1,3,1,1,0,14,13,1,1,2,0,2,14,0,1,0,0
11,1,2,1,0,1,0,13,1,3,1,3,0,14,13,1,1,0,0,2,14,1,1,2,0
12,2,2,1,1,3,0,13,1,0,1,2,0,14,13,2,1,2,0,2,14,1,1,0,0
13,2,2,2,1,2,0,13,1,0,1,3,0,14,13,3,1,2,0,2,14,1,1,0,0
14,2,2,2,1,0,0,13,1,1,1,2,0,13,13,3,2,3,0,2,14,2,1,2,0
15,2,3,2,2,3,0,13,1,1,1,0,0,13,13,0,2,2,0,2,14,3,1,2,0
16,2,4,2,2,3,0,13,1,2,1,2,0,13,13,1,2,2,0,2,14,0,1,2,0
17,2,4,3,2,2,0,13,1,3,1,2,0,13,13,2,2,2,0,2,14,0,1,0,0
18,2,4,0,2,2,0,12,1,3,2,3,0,13,14,2,3,3,0,2,14,1,1,2,0
19,2,3,0,2,3,0,11,1,3,3,3,0,13,14,2,3,3,0,2,14,2,1,2,0
20,2,2,0,2,3,0,10,1,3,4,3,0,13,14,1,3,1,0,2,14,2,1,0,0
21,2,1,0,3,3,0,10,1,0,4,2,0,14,14,1,3,3,0,2,14,2,1,0,0
22,2,1,1,3,2,0,10,1,0,4,3,0,14,14,2,3,2,0,2,14,2,1,3,0
23,3,1,1,4,3,0,10,1,0,4,3,0,14,14,2,3,0,0,2,14,3,1,2,0
24,3,1,0,4,1,0,10,1,0,4,3,0,14,14,1,3,1,0,1,14,3,1,3,0
25,3,1,1,4,2,0,10,1,1,4,2,0,14,14,1,3,0,0,1,14,2,1,1,0
26,4,1,1,5,3,0,10,1,1,4,0,0,14,14,1,3,3,0,1,14,2,1,3,0
27,5,1,1,6,3,0,10,1,0,4,1,0,14,14,2,3,2,0,1,14,2,1,3,0
28,5,1,1,6,0,0,10,1,3,4,1,0,14,14,2,3,3,0,1,14,3,1,2,0
29,5,1,0,6,1,0,10,1,0,4,2,0,14,14,3,3,2,0,1,14,0,1,2,0
30,5,1,1,6,2,0,10,1,1,4,2,0,14,14,0,3,2,0,1,14,0,1,0,0
31,5,1,1,6,0,0,10,1,1,4,0,0,14,13,0,3,3,0,1,14,1,1,2,0
32,5,1,1,6,0,0,11,1,1,4,3,0,14,12,0,4,3,0,1,14,2,1,2,0
33,5,1,2,6,2,0,11,1,1,4,0,0,14,12,1,4,2,0,1,14,2,1,3,0
34,5,1,2,6,0,0,12,1,1,4,3,0,14,12,1,4,0,0,1,14,2,1,0,0
35,5,1,3,6,2,0,13,1,1,4,3,0,14,12,2,4,2,0,1,14,2,1,0,0
36,5,1,2,6,1,0,13,1,2,4,2,0,14,12,2,4,0,0,1,14,3,1,2,0
37,5,2,2,7,3,0,13,1,1,4,1,0,14,12,3,4,2,0,1,14,3,1,0,0
38,5,2,3,7,2,0,14,1,1,4,3,0,14,12,0,4,2,0,1,14,3,1,3,0
39,4,2,3,8,3,0,14,1,2,4,2,0,14,11,0,5,3,0,1,14,3,1,3,0
40,4,2,0,8,2,0,14,2,2,4,3,0,14,11,0,5,0,0,1,14,0,1,2,0
41,4,2,1,8,2,0,14,2,2,4,0,0,14,11,1,5,2,0,1,14,1,1,2,0
42,4,2,2,8,2,0,14,2,3,4,2,0,14,11,2,5,2,0,1,14,2,1,2,0
43,4,3,2,9,3,0,13,2,3,5,3,0,14,11,3,5,2,0,1,14,2,1,0,0
44,4,3,3,9,2,0,12,2,3,5,3,0,14,11,2,5,1,0,1,14,2,1,3,0
45,4,3,0,9,2,0,11,2,3,6,3,0,14,12,2,5,3,0,1,14,2,1,0,0
46,4,3,3,9,1,0,10,2,3,6,3,0,14,13,2,5,3,0,1,14,2,1,0,0
47,4,3,0,9,2,0,9,2,3,7,3,0,14,13,2,5,0,0,1,14,1,1,1,0
48,4,3,1,9,2,0,9,2,0,7,2,0,14,13,3,5,2,0,2,14,1,1,3,0
49,5,3,1,10,3,0,9,1,0,8,3,0,13,13,3,5,3,0,2,14,2,1,2,0
50,6,3,1,11,3,0,9,1,1,8,2,0,13,13,2,5,1,0,2,14,1,1,1,0
51,6,3,2,11,2,0,10,1,1,8,3,0,13,13,3,5,2,0,2,14,1,1,0,0
52,6,3,3,11,2,0,10,1,2,8,2,0,12,13,3,5,3,0,3,14,1,2,3,0
53,5,3,3,11,3,0,10,1,3,8,2,0,12,13,0,5,2,0,4,14,1,3,3,0
54,4,3,3,11,3,0,10,1,2,8,1,0,12,12,0,6,3,0,5,14,1,3,3,0
55,3,3,3,12,3,0,10,1,3,8,2,0,12,11,0,6,3,0,5,14,2,3,2,0
56,3,3,0,12,2,0,10,1,2,8,1,0,12,10,0,7,3,0,5,14,3,3,2,0
57,3,2,0,13,3,0,10,1,3,8,2,0,12,9,0,7,3,0,5,14,3,3,0,0
58,3,2,1,13,2,0,10,1,3,8,0,0,12,9,1,7,2,0,5,14,3,3,0,0
59,4,2,1,13,3,0,9,1,3,8,3,0,13,9,1,8,3,0,5,14,2,3,1,0
60,5,2,1,13,3,0,9,1,3,8,0,0,13,9,1,8,0,0,5,14,1,3,1,0
61,5,2,0,13,1,0,8,1,3,9,3,0,13,9,2,8,2,0,5,14,2,3,2,0
62,5,2,0,13,0,0,7,1,3,10,3,0,13,10,2,8,3,0,5,14,1,3,1,0
63,5,1,0,13,3,0,6,1,3,11,3,0,13,11,2,9,3,0,5,14,2,3,2,0
64,5,1,1,13,2,0,6,1,0,11,2,0,13,11,1,9,1,0,5,14,2,3,3,0
65,5,1,2,13,2,0,6,1,0,11,0,0,14,11,1,9,3,0,5,14,2,3,0,0
66,5,2,2,13,3,0,6,1,1,11,2,0,14,11,1,9,3,0,5,14,2,3,0,0
67,5,3,2,13,3,0,6,1,2,11,2,0,14,11,2,9,2,0,5,14,2,3,0,0
68,5,3,3,13,2,0,6,1,3,11,2,0,14,12,2,9,3,0,5,14,2,3,3,0
69,4,3,3,13,3,0,6,1,0,11,2,0,14,12,3,9,2,0,5,14,2,3,3,0
70,3,3,3,13,3,0,6,1,1,11,2,0,13,12,3,9,3,0,5,14,3,3,2,0
71,3,3,3,13,0,0,7,1,1,11,3,0,13,12,0,9,2,0,5,14,0,3,2,0
72,3,3,2,13,1,0,8,1,1,11,3,0,13,11,0,9,3,0,5,14,0,3,0,0
73,3,3,2,13,0,0,9,1,1,11,3,0,13,11,1,9,2,0,5,13,0,4,3,0
74,3,3,2,13,0,0,9,1,0,11,1,0,13,11,2,9,2,0,5,12,0,4,3,0
75,3,4,2,13,3,0,9,1,0,11,3,0,13,12,2,9,3,0,5,12,1,4,2,0
76,3,4,2,13,0,0,9,1,1,11,2,0,13,12,2,9,0,0,5,12,2,4,2,0
77,3,4,3,13,2,0,10,1,1,11,3,0,13,13,2,9,3,0,5,13,2,4,3,0
78,3,4,3,13,0,0,11,1,1,11,3,0,13,14,2,9,3,0,5,13,1,4,1,0
79,3,4,0,13,2,0,11,1,0,11,1,0,13,14,3,9,2,0,5,13,2,4,2,0
80,3,4,3,13,1,0,11,1,1,11,2,0,12,14,3,9,3,0,5,14,2,4,3,0
81,2,4,3,13,3,0,12,1,1,11,3,0,12,14,0,9,2,0,5,14,2,4,3,0
82,2,4,2,13,1,0,13,1,1,11,3,0,12,14,3,9,1,0,5,14,2,4,3,0
83,2,4,3,13,2,0,14,1,1,11,3,0,12,14,0,9,2,0,5,14,1,4,1,0
84,2,4,0,13,2,0,14,1,2,11,2,0,12,14,0,9,0,0,6,14,1,5,3,0
85,2,4,1,13,2,0,14,1,3,11,2,0,12,13,0,9,3,0,7,14,1,6,3,0
86,2,4,2,13,2,0,13,1,3,11,3,0,12,13,1,9,2,0,7,14,1,6,0,0
87,2,4,3,13,2,0,13,1,0,11,2,0,13,13,1,9,3,0,7,14,2,6,2,0
88,1,4,3,14,3,0,13,1,0,11,0,0,13,13,1,9,0,0,7,14,2,6,3,0
89,1,4,3,14,3,0,13,1,0,11,3,0,13,13,0,9,1,0,7,14,1,6,1,0
90,1,4,0,14,2,0,13,1,3,11,1,0,13,12,0,9,3,0,7,14,2,6,2,0
91,1,3,0,15,3,0,13,1,0,11,2,0,13,12,1,9,2,0,7,14,1,6,1,0
92,1,3,1,15,2,0,13,1,1,11,2,0,13,12,0,9,1,0,7,14,1,6,0,0
93,1,3,1,15,0,0,13,1,1,11,0,0,13,12,1,9,2,0,8,14,1,7,3,0
94,1,3,2,15,2,0,14,1,1,11,3,0,13,12,2,9,2,0,9,14,1,8,3,0
95,1,3,2,15,0,0,14,1,2,11,2,0,13,12,2,9,0,0,10,14,1,9,3,0
96,1,3,3,15,2,0,14,1,3,11,2,0,13,12,3,9,2,0,10,14,1,9,0,0
97,1,3,3,15,3,0,14,1,0,11,2,0,12,12,3,9,3,0,10,14,0,9,1,0
98,1,3,0,15,2,0,14,1,0,11,3,0,12,12,2,9,1,0,10,14,1,9,2,0
99,1,3,1,15,2,0,14,1,0,11,3,0,12,12,3,9,2,0,11,14,1,10,3,0
100,2,3,1,15,3,0,14,1,0,11,3,0,12,12,0,9,2,0,11,14,2,10,2,0
101,3,3,1,15,3,0,14,1,1,11,2,0,12,12,1,9,2,0,11,14,2,10,3,0
102,4,3,1,15,3,0,14,1,2,11,2,0,13,12,1,9,3,0,11,14,2,10,3,0
103,5,3,1,15,3,0,14,1,3,11,2,0,13,12,0,9,1,0,11,14,3,10,2,0
104,5,3,2,15,2,0,14,1,0,11,2,0,13,12,0,9,0,0,11,14,0,10,2,0
105,5,3,3,15,2,0,14,1,0,11,3,0,13,12,3,9,1,0,11,14,3,10,1,0
106,5,3,3,15,0,0,14,1,0,11,3,0,12,12,3,9,3,0,10,14,3,10,3,0
107,5,3,2,15,1,0,14,1,0,11,3,0,12,12,0,9,2,0,10,14,0,10,2,0
108,5,3,3,15,2,0,14,1,0,11,3,0,12,12,1,9,2,0,10,13,0,11,3,0
