generation,ID,score,rawScores,ownScore,minimumScore,maximumScore,averageOfScores,sumOfScores
0,103,70.0,"70.000000,29.000000,1.000000,2.000000",70.0,1.0,70.0,25.5,102.0
100,10162,53.0,"41.000000,53.000000,11.000000,37.000000",53.0,11.0,53.0,35.5,142.0
200,20182,48.0,"35.000000,48.000000,39.000000,29.000000",48.0,29.0,48.0,37.75,151.0
300,30116,21.0,"50.000000,41.000000,38.000000,21.000000",21.0,21.0,50.0,37.5,150.0
400,40151,53.0,"53.000000,35.000000,16.000000,42.000000",53.0,16.0,53.0,36.5,146.0
500,50112,33.0,"34.000000,45.000000,33.000000,33.000000",33.0,33.0,45.0,36.25,145.0
600,60109,44.0,"7.000000,65.000000,44.000000,30.000000",44.0,7.0,65.0,36.5,146.0
700,70131,77.0,"77.000000,51.000000,16.000000,0.000000",77.0,0.0,77.0,36.0,144.0
800,80144,68.0,"16.000000,24.000000,38.000000,68.000000",68.0,16.0,68.0,36.5,146.0
900,90103,32.0,"32.000000,35.000000,37.000000,47.000000",32.0,32.0,47.0,37.75,151.0
1000,100176,63.0,"39.000000,40.000000,10.000000,63.000000",63.0,10.0,63.0,38.0,152.0
1100,110165,30.0,"0.000000,61.000000,30.000000,59.000000",30.0,0.0,61.0,37.5,150.0
1200,120181,21.0,"46.000000,35.000000,21.000000,45.000000",21.0,21.0,46.0,36.75,147.0
1300,130133,28.0,"35.000000,37.000000,28.000000,46.000000",28.0,28.0,46.0,36.5,146.0
1400,140120,85.0,"0.000000,34.000000,27.000000,85.000000",85.0,0.0,85.0,36.5,146.0
1500,150159,64.0,"64.000000,44.000000,10.000000,30.000000",64.0,10.0,64.0,37.0,148.0
1600,160100,44.0,"37.000000,20.000000,48.000000,44.000000",44.0,20.0,48.0,37.25,149.0
1700,170190,29.0,"43.000000,29.000000,36.000000,38.000000",29.0,29.0,43.0,36.5,146.0
1800,180166,63.0,"27.000000,63.000000,51.000000,11.000000",63.0,11.0,63.0,38.0,152.0
1900,190174,51.0,"46.000000,51.000000,40.000000,10.000000",51.0,10.0,51.0,36.75,147.0
2000,200173,45.0,"47.000000,44.000000,45.000000,15.000000",45.0,15.0,47.0,37.75,151.0
2100,210152,64.0,"37.000000,32.000000,17.000000,64.000000",64.0,17.0,64.0,37.5,150.0
2200,220162,37.0,"45.000000,37.000000,37.000000,30.000000",37.0,30.0,45.0,37.25,149.0
2300,230196,80.0,"31.000000,4.000000,26.000000,80.000000",80.0,4.0,80.0,35.25,141.0
2400,240172,59.0,"39.000000,32.000000,22.000000,59.000000",59.0,22.0,59.0,38.0,152.0
2500,250196,29.0,"46.000000,35.000000,39.000000,29.000000",29.0,29.0,46.0,37.25,149.0
2600,260182,37.0,"36.000000,37.000000,37.000000,38.000000",37.0,36.0,38.0,37.0,148.0
2700,270141,34.0,"35.000000,34.000000,34.000000,45.000000",34.0,34.0,45.0,37.0,148.0
2800,280103,47.0,"47.000000,29.000000,34.000000,41.000000",47.0,29.0,47.0,37.75,151.0
2900,290128,68.0,"10.000000,34.000000,35.000000,68.000000",68.0,10.0,68.0,36.75,147.0
3000,300175,45.0,"45.000000,38.000000,48.000000,16.000000",45.0,16.0,48.0,36.75,147.0
3100,310189,33.0,"32.000000,30.000000,33.000000,50.000000",33.0,30.0,50.0,36.25,145.0
3200,320110,37.0,"44.000000,37.000000,39.000000,32.000000",37.0,32.0,44.0,38.0,152.0
3300,330166,68.0,"48.000000,68.000000,8.000000,21.000000",68.0,8.0,68.0,36.25,145.0
3400,340119,85.0,"85.000000,0.000000,0.000000,65.000000",85.0,0.0,85.0,37.5,150.0
3500,350181,37.0,"40.000000,25.000000,37.000000,45.000000",37.0,25.0,45.0,36.75,147.0
3600,360132,115.0,"19.000000,0.000000,12.000000,115.000000",115.0,0.0,115.0,36.5,146.0
3700,370179,46.0,"46.000000,35.000000,33.000000,36.000000",46.0,33.0,46.0,37.5,150.0
3800,380132,80.0,"8.000000,17.000000,42.000000,80.000000",80.0,8.0,80.0,36.75,147.0
3900,390106,47.0,"36.000000,47.000000,10.000000,55.000000",47.0,10.0,55.0,37.0,148.0
4000,400179,45.0,"45.000000,55.000000,39.000000,12.000000",45.0,12.0,55.0,37.75,151.0
4100,410160,44.0,"49.000000,8.000000,46.000000,44.000000",44.0,8.0,49.0,36.75,147.0
4200,420161,40.0,"36.000000,29.000000,40.000000,47.000000",40.0,29.0,47.0,38.0,152.0
4300,430143,39.0,"39.000000,48.000000,19.000000,39.000000",39.0,19.0,48.0,36.25,145.0
4400,440179,46.0,"46.000000,42.000000,23.000000,33.000000",46.0,23.0,46.0,36.0,144.0
4500,450124,32.0,"38.000000,35.000000,45.000000,32.000000",32.0,32.0,45.0,37.5,150.0
4600,460112,53.0,"60.000000,0.000000,35.000000,53.000000",53.0,0.0,60.0,37.0,148.0
4700,470158,53.0,"30.000000,53.000000,39.000000,26.000000",53.0,26.0,53.0,37.0,148.0
4800,470158,53.0,"30.000000,53.000000,39.000000,26.000000",53.0,26.0,53.0,37.0,148.0
