generation,ID,score,rawScores,ownScore,minimumScore,maximumScore,averageOfScores,sumOfScores
0,138,0.0,"0.000000,9.000000,6.000000,3.000000",9.0,0.0,9.0,4.5,18.0
100,10125,7.0,"9.000000,7.000000,43.000000,63.000000",43.0,7.0,63.0,30.5,122.0
200,20141,25.0,"42.000000,43.000000,36.000000,25.000000",36.0,25.0,43.0,36.5,146.0
300,30174,28.0,"46.000000,29.000000,28.000000,35.000000",29.0,28.0,46.0,34.5,138.0
400,40100,26.0,"48.000000,34.000000,39.000000,26.000000",26.0,26.0,48.0,36.75,147.0
500,50110,23.0,"23.000000,37.000000,47.000000,29.000000",37.0,23.0,47.0,34.0,136.0
600,60109,26.0,"31.000000,56.000000,29.000000,26.000000",29.0,26.0,56.0,35.5,142.0
700,70123,26.0,"33.000000,30.000000,58.000000,26.000000",33.0,26.0,58.0,36.75,147.0
800,80167,32.0,"37.000000,32.000000,46.000000,33.000000",37.0,32.0,46.0,37.0,148.0
900,90169,28.0,"42.000000,28.000000,31.000000,47.000000",31.0,28.0,47.0,37.0,148.0
1000,100146,28.0,"28.000000,49.000000,30.000000,33.000000",49.0,28.0,49.0,35.0,140.0
1100,110127,29.0,"29.000000,35.000000,36.000000,36.000000",29.0,29.0,36.0,34.0,136.0
1200,120171,33.0,"33.000000,38.000000,36.000000,33.000000",33.0,33.0,38.0,35.0,140.0
1300,130115,28.0,"38.000000,33.000000,28.000000,42.000000",38.0,28.0,42.0,35.25,141.0
1400,140133,31.0,"31.000000,46.000000,36.000000,33.000000",36.0,31.0,46.0,36.5,146.0
1500,150129,31.0,"46.000000,31.000000,37.000000,32.000000",37.0,31.0,46.0,36.5,146.0
1600,160107,20.0,"38.000000,27.000000,56.000000,20.000000",38.0,20.0,56.0,35.25,141.0
1700,170180,24.0,"24.000000,47.000000,32.000000,41.000000",41.0,24.0,47.0,36.0,144.0
1800,180179,32.0,"32.000000,38.000000,39.000000,40.000000",32.0,32.0,40.0,37.25,149.0
1900,190150,29.0,"29.000000,31.000000,37.000000,39.000000",31.0,29.0,39.0,34.0,136.0
2000,200168,28.0,"47.000000,34.000000,28.000000,34.000000",34.0,28.0,47.0,35.75,143.0
2100,210127,22.0,"26.000000,22.000000,44.000000,31.000000",26.0,22.0,44.0,30.75,123.0
2200,220160,25.0,"25.000000,43.000000,34.000000,30.000000",30.0,25.0,43.0,33.0,132.0
2300,230111,18.0,"18.000000,33.000000,53.000000,22.000000",18.0,18.0,53.0,31.5,126.0
2400,240195,7.0,"18.000000,33.000000,47.000000,7.000000",18.0,7.0,47.0,26.25,105.0
2500,250184,24.0,"24.000000,36.000000,32.000000,25.000000",25.0,24.0,36.0,29.25,117.0
2600,260143,26.0,"26.000000,46.000000,31.000000,37.000000",26.0,26.0,46.0,35.0,140.0
2700,270103,24.0,"25.000000,48.000000,24.000000,39.000000",25.0,24.0,48.0,34.0,136.0
2800,280142,30.0,"32.000000,47.000000,30.000000,31.000000",47.0,30.0,47.0,35.0,140.0
2900,290163,22.0,"41.000000,34.000000,33.000000,22.000000",41.0,22.0,41.0,32.5,130.0
3000,300151,28.0,"36.000000,28.000000,36.000000,38.000000",36.0,28.0,38.0,34.5,138.0
3100,310113,23.0,"39.000000,25.000000,23.000000,30.000000",23.0,23.0,39.0,29.25,117.0
3200,320150,32.0,"32.000000,32.000000,38.000000,38.000000",32.0,32.0,38.0,35.0,140.0
3300,330187,30.0,"37.000000,30.000000,33.000000,37.000000",37.0,30.0,37.0,34.25,137.0
3400,340194,30.0,"30.000000,37.000000,38.000000,39.000000",37.0,30.0,39.0,36.0,144.0
3500,350194,34.0,"35.000000,34.000000,34.000000,43.000000",34.0,34.0,43.0,36.5,146.0
3600,360188,31.0,"37.000000,31.000000,31.000000,37.000000",37.0,31.0,37.0,34.0,136.0
3700,370156,10.0,"10.000000,40.000000,19.000000,62.000000",62.0,10.0,62.0,32.75,131.0
3800,380194,31.0,"39.000000,34.000000,31.000000,37.000000",34.0,31.0,39.0,35.25,141.0
3900,390150,25.0,"25.000000,44.000000,37.000000,39.000000",44.0,25.0,44.0,36.25,145.0
4000,400176,30.0,"39.000000,39.000000,30.000000,33.000000",33.0,30.0,39.0,35.25,141.0
4100,410152,24.0,"40.000000,34.000000,24.000000,38.000000",38.0,24.0,40.0,34.0,136.0
4200,420103,29.0,"30.000000,45.000000,37.000000,29.000000",30.0,29.0,45.0,35.25,141.0
4300,430156,34.0,"37.000000,34.000000,34.000000,34.000000",34.0,34.0,37.0,34.75,139.0
4400,440196,23.0,"43.000000,37.000000,23.000000,33.000000",33.0,23.0,43.0,34.0,136.0
4500,450139,22.0,"39.000000,40.000000,32.000000,22.000000",39.0,22.0,40.0,33.25,133.0
4600,460185,25.0,"25.000000,35.000000,33.000000,41.000000",33.0,25.0,41.0,33.5,134.0
4700,470174,23.0,"45.000000,30.000000,23.000000,42.000000",30.0,23.0,45.0,35.0,140.0
4800,470174,23.0,"45.000000,30.000000,23.000000,42.000000",30.0,23.0,45.0,35.0,140.0
