generation,ID,score,rawScores,ownScore,minimumScore,maximumScore,averageOfScores,sumOfScores
0,132,17.0,"34.000000,59.000000,17.000000,29.000000",17.0,17.0,59.0,34.75,139.0
100,10109,21.0,"46.000000,21.000000,33.000000,54.000000",21.0,21.0,54.0,38.5,154.0
200,20157,30.0,"39.000000,30.000000,36.000000,41.000000",30.0,30.0,41.0,36.5,146.0
300,30103,29.0,"30.000000,40.000000,29.000000,29.000000",29.0,29.0,40.0,32.0,128.0
400,40148,30.0,"43.000000,32.000000,30.000000,39.000000",30.0,30.0,43.0,36.0,144.0
500,50141,29.0,"29.000000,31.000000,38.000000,46.000000",29.0,29.0,46.0,36.0,144.0
600,60168,25.0,"42.000000,38.000000,25.000000,41.000000",25.0,25.0,42.0,36.5,146.0
700,70160,31.0,"33.000000,35.000000,43.000000,31.000000",31.0,31.0,43.0,35.5,142.0
800,80196,28.0,"43.000000,31.000000,28.000000,44.000000",28.0,28.0,44.0,36.5,146.0
900,90119,22.0,"22.000000,39.000000,37.000000,44.000000",22.0,22.0,44.0,35.5,142.0
1000,100127,27.0,"42.000000,27.000000,45.000000,35.000000",27.0,27.0,45.0,37.25,149.0
1100,110175,25.0,"29.000000,41.000000,25.000000,39.000000",25.0,25.0,41.0,33.5,134.0
1200,120110,14.0,"14.000000,23.000000,55.000000,53.000000",14.0,14.0,55.0,36.25,145.0
1300,130132,28.0,"28.000000,37.000000,38.000000,42.000000",28.0,28.0,42.0,36.25,145.0
1400,140172,29.0,"36.000000,30.000000,52.000000,29.000000",29.0,29.0,52.0,36.75,147.0
1500,150180,21.0,"21.000000,35.000000,52.000000,39.000000",21.0,21.0,52.0,36.75,147.0
1600,160111,30.0,"30.000000,41.000000,38.000000,37.000000",30.0,30.0,41.0,36.5,146.0
1700,170183,27.0,"37.000000,41.000000,27.000000,35.000000",27.0,27.0,41.0,35.0,140.0
1800,180124,11.0,"47.000000,11.000000,49.000000,34.000000",11.0,11.0,49.0,35.25,141.0
1900,190145,31.0,"31.000000,41.000000,42.000000,33.000000",31.0,31.0,42.0,36.75,147.0
2000,200189,27.0,"41.000000,57.000000,27.000000,27.000000",27.0,27.0,57.0,38.0,152.0
2100,210151,26.0,"35.000000,34.000000,46.000000,26.000000",26.0,26.0,46.0,35.25,141.0
2200,220112,26.0,"30.000000,26.000000,49.000000,46.000000",26.0,26.0,49.0,37.75,151.0
2300,230138,19.0,"40.000000,23.000000,62.000000,19.000000",19.0,19.0,62.0,36.0,144.0
2400,240100,35.0,"41.000000,36.000000,35.000000,35.000000",35.0,35.0,41.0,36.75,147.0
2500,250193,29.0,"53.000000,34.000000,32.000000,29.000000",29.0,29.0,53.0,37.0,148.0
2600,260128,31.0,"44.000000,31.000000,37.000000,33.000000",31.0,31.0,44.0,36.25,145.0
2700,270144,19.0,"42.000000,48.000000,36.000000,19.000000",19.0,19.0,48.0,36.25,145.0
2800,280105,29.0,"45.000000,43.000000,34.000000,29.000000",29.0,29.0,45.0,37.75,151.0
2900,290113,29.0,"47.000000,34.000000,33.000000,29.000000",29.0,29.0,47.0,35.75,143.0
3000,300185,29.0,"47.000000,29.000000,35.000000,34.000000",29.0,29.0,47.0,36.25,145.0
3100,310176,28.0,"35.000000,46.000000,28.000000,42.000000",28.0,28.0,46.0,37.75,151.0
3200,320188,35.0,"35.000000,36.000000,36.000000,38.000000",35.0,35.0,38.0,36.25,145.0
3300,330115,27.0,"31.000000,27.000000,42.000000,41.000000",27.0,27.0,42.0,35.25,141.0
3400,340132,24.0,"49.000000,42.000000,28.000000,24.000000",24.0,24.0,49.0,35.75,143.0
3500,350109,31.0,"47.000000,31.000000,42.000000,32.000000",31.0,31.0,47.0,38.0,152.0
3600,360185,21.0,"42.000000,41.000000,43.000000,21.000000",21.0,21.0,43.0,36.75,147.0
3700,370140,29.0,"40.000000,47.000000,29.000000,31.000000",29.0,29.0,47.0,36.75,147.0
3800,380121,28.0,"32.000000,41.000000,42.000000,28.000000",28.0,28.0,42.0,35.75,143.0
3900,390195,28.0,"32.000000,28.000000,37.000000,49.000000",28.0,28.0,49.0,36.5,146.0
4000,400135,20.0,"20.000000,40.000000,64.000000,24.000000",20.0,20.0,64.0,37.0,148.0
4100,410117,27.0,"44.000000,27.000000,39.000000,40.000000",27.0,27.0,44.0,37.5,150.0
4200,420123,31.0,"37.000000,36.000000,31.000000,39.000000",31.0,31.0,39.0,35.75,143.0
4300,430150,29.0,"29.000000,36.000000,46.000000,35.000000",29.0,29.0,46.0,36.5,146.0
4400,440110,31.0,"44.000000,36.000000,32.000000,31.000000",31.0,31.0,44.0,35.75,143.0
4500,450164,27.0,"39.000000,39.000000,42.000000,27.000000",27.0,27.0,42.0,36.75,147.0
4600,460172,30.0,"43.000000,30.000000,32.000000,40.000000",30.0,30.0,43.0,36.25,145.0
4700,460172,30.0,"43.000000,30.000000,32.000000,40.000000",30.0,30.0,43.0,36.25,145.0
4800,460172,30.0,"43.000000,30.000000,32.000000,40.000000",30.0,30.0,43.0,36.25,145.0
