generation,ID,score,rawScores,ownScore,minimumScore,maximumScore,averageOfScores,sumOfScores
0,143,38.0,"30.000000,52.000000,46.000000,24.000000",38.0,24.0,52.0,38.0,152.0
100,10185,33.75,"25.000000,22.000000,32.000000,56.000000",33.75,22.0,56.0,33.75,135.0
200,20106,36.5,"35.000000,40.000000,51.000000,20.000000",36.5,20.0,51.0,36.5,146.0
300,30136,37.25,"48.000000,36.000000,29.000000,36.000000",37.25,29.0,48.0,37.25,149.0
400,40106,34.75,"32.000000,19.000000,45.000000,43.000000",34.75,19.0,45.0,34.75,139.0
500,50128,37.0,"45.000000,33.000000,39.000000,31.000000",37.0,31.0,45.0,37.0,148.0
600,60178,36.5,"41.000000,23.000000,55.000000,27.000000",36.5,23.0,55.0,36.5,146.0
700,70180,36.75,"23.000000,30.000000,48.000000,46.000000",36.75,23.0,48.0,36.75,147.0
800,80104,36.5,"45.000000,42.000000,22.000000,37.000000",36.5,22.0,45.0,36.5,146.0
900,90193,35.25,"44.000000,32.000000,31.000000,34.000000",35.25,31.0,44.0,35.25,141.0
1000,100113,35.0,"44.000000,37.000000,31.000000,28.000000",35.0,28.0,44.0,35.0,140.0
1100,110145,37.25,"37.000000,28.000000,41.000000,43.000000",37.25,28.0,43.0,37.25,149.0
1200,120168,36.5,"40.000000,15.000000,50.000000,41.000000",36.5,15.0,50.0,36.5,146.0
1300,130199,35.5,"66.000000,25.000000,24.000000,27.000000",35.5,24.0,66.0,35.5,142.0
1400,140141,37.75,"51.000000,34.000000,32.000000,34.000000",37.75,32.0,51.0,37.75,151.0
1500,150138,37.0,"22.000000,49.000000,41.000000,36.000000",37.0,22.0,49.0,37.0,148.0
1600,160106,36.25,"40.000000,48.000000,24.000000,33.000000",36.25,24.0,48.0,36.25,145.0
1700,170193,37.5,"48.000000,34.000000,44.000000,24.000000",37.5,24.0,48.0,37.5,150.0
1800,180113,37.25,"33.000000,35.000000,42.000000,39.000000",37.25,33.0,42.0,37.25,149.0
1900,190133,37.0,"40.000000,28.000000,30.000000,50.000000",37.0,28.0,50.0,37.0,148.0
2000,200199,36.5,"37.000000,43.000000,31.000000,35.000000",36.5,31.0,43.0,36.5,146.0
2100,210149,37.5,"28.000000,40.000000,49.000000,33.000000",37.5,28.0,49.0,37.5,150.0
2200,220126,35.25,"53.000000,43.000000,27.000000,18.000000",35.25,18.0,53.0,35.25,141.0
2300,230157,37.25,"35.000000,39.000000,28.000000,47.000000",37.25,28.0,47.0,37.25,149.0
2400,240126,36.25,"37.000000,45.000000,38.000000,25.000000",36.25,25.0,45.0,36.25,145.0
2500,250133,36.5,"27.000000,37.000000,38.000000,44.000000",36.5,27.0,44.0,36.5,146.0
2600,260114,36.25,"55.000000,35.000000,17.000000,38.000000",36.25,17.0,55.0,36.25,145.0
2700,270100,35.75,"44.000000,28.000000,39.000000,32.000000",35.75,28.0,44.0,35.75,143.0
2800,280189,36.25,"58.000000,27.000000,29.000000,31.000000",36.25,27.0,58.0,36.25,145.0
2900,290130,36.25,"33.000000,38.000000,35.000000,39.000000",36.25,33.0,39.0,36.25,145.0
3000,300197,37.75,"23.000000,40.000000,43.000000,45.000000",37.75,23.0,45.0,37.75,151.0
3100,310154,36.75,"44.000000,27.000000,29.000000,47.000000",36.75,27.0,47.0,36.75,147.0
3200,320115,36.25,"24.000000,44.000000,45.000000,32.000000",36.25,24.0,45.0,36.25,145.0
3300,330172,37.25,"21.000000,39.000000,53.000000,36.000000",37.25,21.0,53.0,37.25,149.0
3400,340158,36.5,"37.000000,28.000000,36.000000,45.000000",36.5,28.0,45.0,36.5,146.0
3500,350184,36.5,"45.000000,20.000000,36.000000,45.000000",36.5,20.0,45.0,36.5,146.0
3600,360102,36.5,"32.000000,23.000000,40.000000,51.000000",36.5,23.0,51.0,36.5,146.0
3700,370179,35.75,"29.000000,40.000000,49.000000,25.000000",35.75,25.0,49.0,35.75,143.0
3800,380140,35.25,"29.000000,30.000000,42.000000,40.000000",35.25,29.0,42.0,35.25,141.0
3900,390184,37.0,"41.000000,25.000000,46.000000,36.000000",37.0,25.0,46.0,37.0,148.0
4000,400133,37.25,"22.000000,30.000000,45.000000,52.000000",37.25,22.0,52.0,37.25,149.0
4100,410120,37.0,"51.000000,39.000000,28.000000,30.000000",37.0,28.0,51.0,37.0,148.0
4200,420134,34.75,"44.000000,42.000000,32.000000,21.000000",34.75,21.0,44.0,34.75,139.0
4300,430103,36.5,"37.000000,35.000000,29.000000,45.000000",36.5,29.0,45.0,36.5,146.0
4400,440117,36.75,"54.000000,40.000000,22.000000,31.000000",36.75,22.0,54.0,36.75,147.0
4500,450180,37.25,"30.000000,43.000000,32.000000,44.000000",37.25,30.0,44.0,37.25,149.0
4600,460167,36.5,"56.000000,38.000000,16.000000,36.000000",36.5,16.0,56.0,36.5,146.0
4700,470125,35.75,"23.000000,52.000000,23.000000,45.000000",35.75,23.0,52.0,35.75,143.0
4800,480139,38.0,"41.000000,43.000000,29.000000,39.000000",38.0,29.0,43.0,38.0,152.0
