generation,ID,score,rawScores,ownScore,minimumScore,maximumScore,averageOfScores,sumOfScores
0,149,0.0,"99.000000,27.000000,0.000000,0.000000",0.0,0.0,99.0,31.5,126.0
100,10122,21.0,"34.000000,30.000000,21.000000,51.000000",30.0,21.0,51.0,34.0,136.0
200,20124,20.0,"20.000000,44.000000,33.000000,42.000000",42.0,20.0,44.0,34.75,139.0
300,30144,29.0,"37.000000,32.000000,30.000000,29.000000",29.0,29.0,37.0,32.0,128.0
400,40147,21.0,"21.000000,29.000000,23.000000,54.000000",21.0,21.0,54.0,31.75,127.0
500,50198,25.0,"25.000000,32.000000,49.000000,34.000000",32.0,25.0,49.0,35.0,140.0
600,60188,25.0,"42.000000,25.000000,33.000000,39.000000",39.0,25.0,42.0,34.75,139.0
700,70188,34.0,"34.000000,39.000000,35.000000,36.000000",36.0,34.0,39.0,36.0,144.0
800,80147,35.0,"35.000000,38.000000,39.000000,39.000000",35.0,35.0,39.0,37.75,151.0
900,90106,34.0,"35.000000,37.000000,34.000000,38.000000",37.0,34.0,38.0,36.0,144.0
1000,100106,36.0,"39.000000,38.000000,38.000000,36.000000",38.0,36.0,39.0,37.75,151.0
1100,110169,26.0,"34.000000,26.000000,45.000000,38.000000",45.0,26.0,45.0,35.75,143.0
1200,120199,35.0,"35.000000,35.000000,38.000000,40.000000",35.0,35.0,40.0,37.0,148.0
1300,130154,34.0,"41.000000,34.000000,36.000000,35.000000",34.0,34.0,41.0,36.5,146.0
1400,140105,30.0,"33.000000,30.000000,32.000000,31.000000",32.0,30.0,33.0,31.5,126.0
1500,150105,28.0,"28.000000,31.000000,33.000000,32.000000",33.0,28.0,33.0,31.0,124.0
1600,160177,32.0,"32.000000,33.000000,33.000000,38.000000",33.0,32.0,38.0,34.0,136.0
1700,170141,36.0,"38.000000,37.000000,36.000000,36.000000",36.0,36.0,38.0,36.75,147.0
1800,180155,35.0,"35.000000,39.000000,39.000000,38.000000",35.0,35.0,39.0,37.75,151.0
1900,190179,32.0,"32.000000,36.000000,39.000000,41.000000",32.0,32.0,41.0,37.0,148.0
2000,200137,33.0,"38.000000,33.000000,39.000000,34.000000",39.0,33.0,39.0,36.0,144.0
2100,210160,36.0,"36.000000,36.000000,38.000000,37.000000",37.0,36.0,38.0,36.75,147.0
2200,220111,29.0,"34.000000,30.000000,29.000000,37.000000",34.0,29.0,37.0,32.5,130.0
2300,230117,35.0,"35.000000,40.000000,39.000000,38.000000",39.0,35.0,40.0,38.0,152.0
2400,240156,34.0,"36.000000,36.000000,42.000000,34.000000",34.0,34.0,42.0,37.0,148.0
2500,250113,31.0,"35.000000,34.000000,31.000000,36.000000",31.0,31.0,36.0,34.0,136.0
2600,260146,33.0,"33.000000,39.000000,38.000000,37.000000",39.0,33.0,39.0,36.75,147.0
2700,270199,19.0,"28.000000,19.000000,26.000000,38.000000",28.0,19.0,38.0,27.75,111.0
2800,280152,34.0,"35.000000,37.000000,38.000000,34.000000",34.0,34.0,38.0,36.0,144.0
2900,290130,33.0,"34.000000,35.000000,33.000000,38.000000",35.0,33.0,38.0,35.0,140.0
3000,300170,28.0,"32.000000,28.000000,31.000000,33.000000",28.0,28.0,33.0,31.0,124.0
3100,310126,31.0,"31.000000,36.000000,43.000000,31.000000",36.0,31.0,43.0,35.25,141.0
3200,320196,35.0,"37.000000,37.000000,37.000000,35.000000",35.0,35.0,37.0,36.5,146.0
3300,330127,31.0,"37.000000,39.000000,34.000000,31.000000",37.0,31.0,39.0,35.25,141.0
3400,340160,36.0,"37.000000,39.000000,36.000000,37.000000",37.0,36.0,39.0,37.25,149.0
3500,350153,26.0,"42.000000,31.000000,26.000000,34.000000",26.0,26.0,42.0,33.25,133.0
3600,360170,31.0,"33.000000,35.000000,31.000000,34.000000",35.0,31.0,35.0,33.25,133.0
3700,370141,36.0,"36.000000,39.000000,36.000000,37.000000",36.0,36.0,39.0,37.0,148.0
3800,380137,32.0,"32.000000,37.000000,39.000000,38.000000",39.0,32.0,39.0,36.5,146.0
3900,390125,29.0,"29.000000,36.000000,31.000000,32.000000",31.0,29.0,36.0,32.0,128.0
4000,400196,33.0,"35.000000,33.000000,40.000000,40.000000",40.0,33.0,40.0,37.0,148.0
4100,410149,24.0,"41.000000,45.000000,35.000000,24.000000",35.0,24.0,45.0,36.25,145.0
4200,420109,31.0,"34.000000,37.000000,31.000000,36.000000",31.0,31.0,37.0,34.5,138.0
4300,430197,36.0,"38.000000,36.000000,37.000000,38.000000",37.0,36.0,38.0,37.25,149.0
4400,440186,32.0,"40.000000,40.000000,32.000000,39.000000",40.0,32.0,40.0,37.75,151.0
4500,450167,34.0,"37.000000,35.000000,34.000000,38.000000",37.0,34.0,38.0,36.0,144.0
4600,460100,35.0,"35.000000,39.000000,37.000000,35.000000",35.0,35.0,39.0,36.5,146.0
4700,470118,24.0,"24.000000,29.000000,30.000000,30.000000",29.0,24.0,30.0,28.25,113.0
4800,480129,34.0,"34.000000,41.000000,34.000000,39.000000",34.0,34.0,41.0,37.0,148.0
